Variant,Seed,Condition,AP50
R1 Reliability p=0.00,0,w/o RGB,0.673004
R1 Reliability p=0.00,0,w/o Thermal,0.328742
R1 Reliability p=0.00,0,w/o Event,0.425560
R1 Reliability p=0.00,2,w/o RGB,0.752975
R1 Reliability p=0.00,2,w/o Thermal,0.332811
R1 Reliability p=0.00,2,w/o Event,0.711880
R2 Reliability p=0.15,0,w/o RGB,0.911342
R2 Reliability p=0.15,0,w/o Thermal,0.682321
R2 Reliability p=0.15,0,w/o Event,0.961223
R2 Reliability p=0.15,2,w/o RGB,0.904481
R2 Reliability p=0.15,2,w/o Thermal,0.658199
R2 Reliability p=0.15,2,w/o Event,0.955474
R4 Reliability p=0.20,0,w/o RGB,0.923708
R4 Reliability p=0.20,0,w/o Thermal,0.729869
R4 Reliability p=0.20,0,w/o Event,0.963677
R4 Reliability p=0.20,2,w/o RGB,0.908394
R4 Reliability p=0.20,2,w/o Thermal,0.706685
R4 Reliability p=0.20,2,w/o Event,0.959476
