requirement,status,notes
V40-v2 split audit pass,PASS,validation-only manuscript scope
contract/amendment pass,PASS,validation-only manuscript scope
all four core runs completed,PASS,validation-only manuscript scope
source lock complete,PASS,validation-only manuscript scope
channel removal complete,PASS,validation-only manuscript scope
efficiency complete,PASS,validation-only manuscript scope
bootstrap complete,PASS,validation-only manuscript scope
deterministic qualitative packet complete,PASS,validation-only manuscript scope
reproducibility/provenance complete,PASS,validation-only manuscript scope
limitations registered,PASS,validation-only manuscript scope
