variant,seed,model_type,modality_dropout,checkpoint_path,checkpoint_sha256,split_path,split_sha256,image_size,batch_size,device,git_commit,status
R0 Early Fusion,0,early,NA,<LOCAL_CHECKPOINT_PATH>\R0_early_seed0_block64g16_e50\weights\best.pt,4b118dfffe096c36279aff05e1913c13a908ecea2aa5a6e3e368470a4a5b6740,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R0 Early Fusion,2,early,NA,<LOCAL_CHECKPOINT_PATH>\R0_early_seed2_block64g16_e50\weights\best.pt,2190f57219e8617b716c5f52b4ff8593fd45e4f9929169a74b586bdc608205a2,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R1 Reliability p=0.00,0,reliability,0.00,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R1 Reliability p=0.00,2,reliability,0.00,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R2 Reliability p=0.15,0,reliability,0.15,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R2 Reliability p=0.15,2,reliability,0.15,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R4 Reliability p=0.20,0,reliability,0.20,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready
R4 Reliability p=0.20,2,reliability,0.20,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed2_block64g16_e50\weights\best.pt,a87f80f90ffbd65bef0c47a87e07bba9a52cda3bc7fcd610d6426b36a9bce6e8,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,640,4,cuda,693277e7691eb553312754390569482d6aaa2686,ready


