variant,metric,mean,min,max,range,seed0,seed2,detector_score_thr,metric_score_thr
R0 Early Fusion,precision,0.8964187112794477,0.8905908096280087,0.9022466129308866,0.011655803302877854,0.8905908096280087,0.9022466129308866,0.001,0.5
R0 Early Fusion,recall,0.8936314363143631,0.8910907859078591,0.8961720867208672,0.005081300813008172,0.8961720867208672,0.8910907859078591,0.001,0.5
R0 Early Fusion,f1,0.8950033659811624,0.8933727311101731,0.8966340008521516,0.0032612697419784897,0.8933727311101731,0.8966340008521516,0.001,0.5
R0 Early Fusion,ap50,0.9410897195339203,0.9407908916473389,0.9413885474205017,0.0005976557731628418,0.9407908916473389,0.9413885474205017,0.001,0.5
R0 Early Fusion,ap75,0.8325663208961487,0.8304921388626099,0.8346405029296875,0.004148364067077637,0.8304921388626099,0.8346405029296875,0.001,0.5
R1 Reliability p=0.00,precision,0.9054082362987299,0.8905529953917051,0.9202634772057549,0.029710481814049783,0.8905529953917051,0.9202634772057549,0.001,0.5
R1 Reliability p=0.00,recall,0.9078590785907859,0.8992208672086721,0.9164972899728997,0.017276422764227584,0.9164972899728997,0.8992208672086721,0.001,0.5
R1 Reliability p=0.00,f1,0.9064796949483327,0.9033388981636061,0.9096204917330593,0.0062815935694531255,0.9033388981636061,0.9096204917330593,0.001,0.5
R1 Reliability p=0.00,ap50,0.9553038477897644,0.954266369342804,0.9563413262367249,0.0020749568939208984,0.954266369342804,0.9563413262367249,0.001,0.5
R1 Reliability p=0.00,ap75,0.8936520516872406,0.8918557167053223,0.8954483866691589,0.00359266996383667,0.8918557167053223,0.8954483866691589,0.001,0.5
R2 Reliability p=0.15,precision,0.9115823753680308,0.9067967698519516,0.9163679808841099,0.0095712110321583,0.9067967698519516,0.9163679808841099,0.001,0.5
R2 Reliability p=0.15,recall,0.9111619241192412,0.9093834688346883,0.912940379403794,0.0035569105691056757,0.912940379403794,0.9093834688346883,0.001,0.5
R2 Reliability p=0.15,f1,0.911360284479602,0.9098582039162728,0.9128623650429312,0.0030041611266583557,0.9098582039162728,0.9128623650429312,0.001,0.5
R2 Reliability p=0.15,ap50,0.9606128334999084,0.9588375091552734,0.9623881578445435,0.0035506486892700195,0.9623881578445435,0.9588375091552734,0.001,0.5
R2 Reliability p=0.15,ap75,0.8858364522457123,0.8715863823890686,0.900086522102356,0.028500139713287354,0.900086522102356,0.8715863823890686,0.001,0.5
R4 Reliability p=0.20,precision,0.9228060901668502,0.9067626380984265,0.9388495422352738,0.03208690413684734,0.9388495422352738,0.9067626380984265,0.001,0.5
R4 Reliability p=0.20,recall,0.9190379403794038,0.9175135501355014,0.9205623306233063,0.0030487804878048808,0.9205623306233063,0.9175135501355014,0.001,0.5
R4 Reliability p=0.20,f1,0.920861212399899,0.9121064152214179,0.9296160095783802,0.01750959435696231,0.9296160095783802,0.9121064152214179,0.001,0.5
R4 Reliability p=0.20,ap50,0.9628656208515167,0.9603855013847351,0.9653457403182983,0.004960238933563232,0.9653457403182983,0.9603855013847351,0.001,0.5
R4 Reliability p=0.20,ap75,0.8917860090732574,0.8881215453147888,0.8954504728317261,0.007328927516937256,0.8954504728317261,0.8881215453147888,0.001,0.5


