variant,run_id,seed,model_type,precision,recall,f1,ap50,ap75,gt_boxes,predictions,mean_confidence,detector_score_thr,metric_score_thr,nms_thresh,detections_per_img,checkpoint_path,checkpoint_sha256,split_path,split_sha256,runtime_seconds,fps,gpu,cuda,pytorch,git_commit
R0 Early Fusion,R0_seed0,0,early,0.8905908096280087,0.8961720867208672,0.8933727311101731,0.9407908916473389,0.8304921388626099,5904,5941,0.7344945527511582,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R0_early_seed0_block64g16_e50\weights\best.pt,4b118dfffe096c36279aff05e1913c13a908ecea2aa5a6e3e368470a4a5b6740,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,74.97077775001526,29.518167830392418,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R0 Early Fusion,R0_seed2,2,early,0.9022466129308866,0.8910907859078591,0.8966340008521516,0.9413885474205017,0.8346405029296875,5904,5831,0.7830721429497888,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R0_early_seed2_block64g16_e50\weights\best.pt,2190f57219e8617b716c5f52b4ff8593fd45e4f9929169a74b586bdc608205a2,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,75.18419194221497,29.43437899420222,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,reliability,0.8905529953917051,0.9164972899728997,0.9033388981636061,0.954266369342804,0.8918557167053223,5904,6076,0.800256669570381,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.21354842185974,28.66077320924527,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,reliability,0.9202634772057549,0.8992208672086721,0.9096204917330593,0.9563413262367249,0.8954483866691589,5904,5769,0.7596109008784929,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,86.73528790473938,25.51441349258584,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,reliability,0.9067967698519516,0.912940379403794,0.9098582039162728,0.9623881578445435,0.900086522102356,5904,5944,0.7654205581942927,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,76.76789832115173,28.827153646203907,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,reliability,0.9163679808841099,0.9093834688346883,0.9128623650429312,0.9588375091552734,0.8715863823890686,5904,5859,0.755435311666099,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.19021391868591,28.302774594035697,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed0,0,reliability,0.9388495422352738,0.9205623306233063,0.9296160095783802,0.9653457403182983,0.8954504728317261,5904,5789,0.7655989653212889,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,79.53800654411316,27.823176568709098,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed2,2,reliability,0.9067626380984265,0.9175135501355014,0.9121064152214179,0.9603855013847351,0.8881215453147888,5904,5974,0.7399917012239564,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed2_block64g16_e50\weights\best.pt,a87f80f90ffbd65bef0c47a87e07bba9a52cda3bc7fcd610d6426b36a9bce6e8,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.15670990943909,28.681886547488325,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686


