variant,condition,metric,mean,min,max,range,seed0,seed2,detector_score_thr,metric_score_thr
R1 Reliability p=0.00,event_only,precision,0.5297619047619048,0.14285714285714285,0.9166666666666666,0.7738095238095237,0.14285714285714285,0.9166666666666666,0.001,0.5
R1 Reliability p=0.00,event_only,recall,0.001609078590785908,0.0013550135501355014,0.0018631436314363143,0.000508130081300813,0.0013550135501355014,0.0018631436314363143,0.001,0.5
R1 Reliability p=0.00,event_only,f1,0.003201646314623975,0.0026845637583892616,0.0037187288708586883,0.0010341651124694267,0.0026845637583892616,0.0037187288708586883,0.001,0.5
R1 Reliability p=0.00,event_only,ap50,0.013770740013569593,0.005592857487499714,0.021948622539639473,0.01635576505213976,0.005592857487499714,0.021948622539639473,0.001,0.5
R1 Reliability p=0.00,event_only,ap75,0.0006036536215106025,0.00023376793251372874,0.0009735393105074763,0.0007397713779937476,0.00023376793251372874,0.0009735393105074763,0.001,0.5
R1 Reliability p=0.00,full,precision,0.9054082362987299,0.8905529953917051,0.9202634772057549,0.029710481814049783,0.8905529953917051,0.9202634772057549,0.001,0.5
R1 Reliability p=0.00,full,recall,0.9078590785907859,0.8992208672086721,0.9164972899728997,0.017276422764227584,0.9164972899728997,0.8992208672086721,0.001,0.5
R1 Reliability p=0.00,full,f1,0.9064796949483327,0.9033388981636061,0.9096204917330593,0.0062815935694531255,0.9033388981636061,0.9096204917330593,0.001,0.5
R1 Reliability p=0.00,full,ap50,0.9553038477897644,0.954266369342804,0.9563413262367249,0.0020749568939208984,0.954266369342804,0.9563413262367249,0.001,0.5
R1 Reliability p=0.00,full,ap75,0.8936520516872406,0.8918557167053223,0.8954483866691589,0.00359266996383667,0.8918557167053223,0.8954483866691589,0.001,0.5
R1 Reliability p=0.00,no_event,precision,0.7712121392611079,0.6820181871516574,0.8604060913705583,0.17838790421890094,0.6820181871516574,0.8604060913705583,0.001,0.5
R1 Reliability p=0.00,no_event,recall,0.45528455284552843,0.3938008130081301,0.5167682926829268,0.12296747967479671,0.3938008130081301,0.5167682926829268,0.001,0.5
R1 Reliability p=0.00,no_event,f1,0.5725081683054409,0.4993020508965962,0.6457142857142857,0.1464122348176895,0.4993020508965962,0.6457142857142857,0.001,0.5
R1 Reliability p=0.00,no_event,ap50,0.5687199831008911,0.4255604147911072,0.711879551410675,0.28631913661956787,0.4255604147911072,0.711879551410675,0.001,0.5
R1 Reliability p=0.00,no_event,ap75,0.36975426971912384,0.28395766019821167,0.455550879240036,0.17159321904182434,0.28395766019821167,0.455550879240036,0.001,0.5
R1 Reliability p=0.00,no_rgb,precision,0.8848065429633213,0.8597690313457459,0.9098440545808967,0.050075023235150784,0.8597690313457459,0.9098440545808967,0.001,0.5
R1 Reliability p=0.00,no_rgb,recall,0.6251693766937669,0.6178861788617886,0.6324525745257452,0.014566395663956566,0.6178861788617886,0.6324525745257452,0.001,0.5
R1 Reliability p=0.00,no_rgb,f1,0.7326166464089003,0.7190302552478565,0.7462030375699441,0.02717278232208764,0.7190302552478565,0.7462030375699441,0.001,0.5
R1 Reliability p=0.00,no_rgb,ap50,0.7129895091056824,0.6730044484138489,0.7529745697975159,0.07997012138366699,0.6730044484138489,0.7529745697975159,0.001,0.5
R1 Reliability p=0.00,no_rgb,ap75,0.5851732790470123,0.5811824202537537,0.589164137840271,0.007981717586517334,0.5811824202537537,0.589164137840271,0.001,0.5
R1 Reliability p=0.00,no_thermal,precision,0.9026614278116597,0.8877349159248269,0.9175879396984925,0.02985302377366561,0.8877349159248269,0.9175879396984925,0.001,0.5
R1 Reliability p=0.00,no_thermal,recall,0.30665650406504064,0.30403116531165314,0.3092818428184282,0.005250677506775048,0.30403116531165314,0.3092818428184282,0.001,0.5
R1 Reliability p=0.00,no_thermal,f1,0.45778476880232594,0.45293969215240976,0.4626298454522421,0.00969015329983236,0.45293969215240976,0.4626298454522421,0.001,0.5
R1 Reliability p=0.00,no_thermal,ap50,0.3307768851518631,0.32874244451522827,0.3328113257884979,0.004068881273269653,0.32874244451522827,0.3328113257884979,0.001,0.5
R1 Reliability p=0.00,no_thermal,ap75,0.3039955198764801,0.2999885678291321,0.3080024719238281,0.008013904094696045,0.2999885678291321,0.3080024719238281,0.001,0.5
R1 Reliability p=0.00,rgb_only,precision,0.7455743888493584,0.6826697892271663,0.8084789884715508,0.1258091992443845,0.6826697892271663,0.8084789884715508,0.001,0.5
R1 Reliability p=0.00,rgb_only,recall,0.38160569105691056,0.3682249322493225,0.39498644986449866,0.026761517615176145,0.39498644986449866,0.3682249322493225,0.001,0.5
R1 Reliability p=0.00,rgb_only,f1,0.5032112174346921,0.5004291845493563,0.505993250320028,0.0055640657706717,0.5004291845493563,0.505993250320028,0.001,0.5
R1 Reliability p=0.00,rgb_only,ap50,0.42394813895225525,0.42337554693222046,0.42452073097229004,0.00114518404006958,0.42452073097229004,0.42337554693222046,0.001,0.5
R1 Reliability p=0.00,rgb_only,ap75,0.2837798446416855,0.2833400368690491,0.2842196524143219,0.0008796155452728271,0.2842196524143219,0.2833400368690491,0.001,0.5
R1 Reliability p=0.00,thermal_only,precision,0.4350764852365706,0.0,0.8701529704731412,0.8701529704731412,0.0,0.8701529704731412,0.001,0.5
R1 Reliability p=0.00,thermal_only,recall,0.20714769647696477,0.0,0.41429539295392953,0.41429539295392953,0.0,0.41429539295392953,0.001,0.5
R1 Reliability p=0.00,thermal_only,f1,0.2806655192197361,0.0,0.5613310384394722,0.5613310384394722,0.0,0.5613310384394722,0.001,0.5
R1 Reliability p=0.00,thermal_only,ap50,0.3012306631717365,0.0005919816321693361,0.6018693447113037,0.6012773630791344,0.0005919816321693361,0.6018693447113037,0.001,0.5
R1 Reliability p=0.00,thermal_only,ap75,0.18515193863822788,1.62204923981335e-05,0.3702876567840576,0.3702714362916595,1.62204923981335e-05,0.3702876567840576,0.001,0.5
R2 Reliability p=0.15,event_only,precision,0.7226285503997859,0.7053521126760564,0.7399049881235155,0.03455287544745911,0.7053521126760564,0.7399049881235155,0.001,0.5
R2 Reliability p=0.15,event_only,recall,0.21155149051490513,0.21104336043360433,0.21205962059620595,0.0010162601626016177,0.21205962059620595,0.21104336043360433,0.001,0.5
R2 Reliability p=0.15,event_only,f1,0.32724870483501034,0.3260841255371793,0.3284132841328414,0.002329158595662073,0.3260841255371793,0.3284132841328414,0.001,0.5
R2 Reliability p=0.15,event_only,ap50,0.2604353576898575,0.2536754906177521,0.2671952247619629,0.013519734144210815,0.2536754906177521,0.2671952247619629,0.001,0.5
R2 Reliability p=0.15,event_only,ap75,0.1218649186193943,0.12125372886657715,0.12247610837221146,0.0012223795056343079,0.12247610837221146,0.12125372886657715,0.001,0.5
R2 Reliability p=0.15,full,precision,0.9115823753680308,0.9067967698519516,0.9163679808841099,0.0095712110321583,0.9067967698519516,0.9163679808841099,0.001,0.5
R2 Reliability p=0.15,full,recall,0.9111619241192412,0.9093834688346883,0.912940379403794,0.0035569105691056757,0.912940379403794,0.9093834688346883,0.001,0.5
R2 Reliability p=0.15,full,f1,0.911360284479602,0.9098582039162728,0.9128623650429312,0.0030041611266583557,0.9098582039162728,0.9128623650429312,0.001,0.5
R2 Reliability p=0.15,full,ap50,0.9606128334999084,0.9588375091552734,0.9623881578445435,0.0035506486892700195,0.9623881578445435,0.9588375091552734,0.001,0.5
R2 Reliability p=0.15,full,ap75,0.8858364522457123,0.8715863823890686,0.900086522102356,0.028500139713287354,0.900086522102356,0.8715863823890686,0.001,0.5
R2 Reliability p=0.15,no_event,precision,0.9157413301008881,0.9127778720515867,0.9187047881501894,0.005926916098602741,0.9127778720515867,0.9187047881501894,0.001,0.5
R2 Reliability p=0.15,no_event,recall,0.9072662601626016,0.9034552845528455,0.9110772357723578,0.007621951219512257,0.9110772357723578,0.9034552845528455,0.001,0.5
R2 Reliability p=0.15,no_event,f1,0.9114714932446386,0.9110162254483347,0.9119267610409426,0.0009105355926078973,0.9119267610409426,0.9110162254483347,0.001,0.5
R2 Reliability p=0.15,no_event,ap50,0.9583483040332794,0.9554735422134399,0.9612230658531189,0.005749523639678955,0.9612230658531189,0.9554735422134399,0.001,0.5
R2 Reliability p=0.15,no_event,ap75,0.8693899512290955,0.8555238246917725,0.8832560777664185,0.027732253074645996,0.8832560777664185,0.8555238246917725,0.001,0.5
R2 Reliability p=0.15,no_rgb,precision,0.845018594121894,0.8356954515491101,0.8543417366946778,0.018646285145567765,0.8356954515491101,0.8543417366946778,0.001,0.5
R2 Reliability p=0.15,no_rgb,recall,0.8427337398373984,0.8265582655826558,0.8589092140921409,0.03235094850948517,0.8589092140921409,0.8265582655826558,0.001,0.5
R2 Reliability p=0.15,no_rgb,f1,0.843681860060987,0.840220385674931,0.847143334447043,0.006922948772112081,0.847143334447043,0.840220385674931,0.001,0.5
R2 Reliability p=0.15,no_rgb,ap50,0.9079112708568573,0.9044808149337769,0.9113417267799377,0.006860911846160889,0.9113417267799377,0.9044808149337769,0.001,0.5
R2 Reliability p=0.15,no_rgb,ap75,0.7410126626491547,0.7294940948486328,0.7525312304496765,0.0230371356010437,0.7525312304496765,0.7294940948486328,0.001,0.5
R2 Reliability p=0.15,no_thermal,precision,0.8299808000848476,0.8071151984511132,0.8528464017185822,0.045731203267468934,0.8528464017185822,0.8071151984511132,0.001,0.5
R2 Reliability p=0.15,no_thermal,recall,0.5514058265582655,0.537940379403794,0.5648712737127372,0.026930894308943132,0.537940379403794,0.5648712737127372,0.001,0.5
R2 Reliability p=0.15,no_thermal,f1,0.6621749156298646,0.6597424179476526,0.6646074133120766,0.004864995364423974,0.6597424179476526,0.6646074133120766,0.001,0.5
R2 Reliability p=0.15,no_thermal,ap50,0.6702602505683899,0.6581994891166687,0.6823210120201111,0.024121522903442383,0.6823210120201111,0.6581994891166687,0.001,0.5
R2 Reliability p=0.15,no_thermal,ap75,0.3658965975046158,0.3533431887626648,0.3784500062465668,0.025106817483901978,0.3784500062465668,0.3533431887626648,0.001,0.5
R2 Reliability p=0.15,rgb_only,precision,0.8310003459299224,0.8113817097415507,0.8506189821182943,0.03923727237674368,0.8506189821182943,0.8113817097415507,0.001,0.5
R2 Reliability p=0.15,rgb_only,recall,0.5383638211382114,0.5237127371273713,0.5530149051490515,0.029302168021680175,0.5237127371273713,0.5530149051490515,0.001,0.5
R2 Reliability p=0.15,rgb_only,f1,0.6530108404371417,0.6482859838557501,0.6577356970185334,0.009449713162783313,0.6482859838557501,0.6577356970185334,0.001,0.5
R2 Reliability p=0.15,rgb_only,ap50,0.6564451456069946,0.6506466865539551,0.6622436046600342,0.011596918106079102,0.6622436046600342,0.6506466865539551,0.001,0.5
R2 Reliability p=0.15,rgb_only,ap75,0.3569076955318451,0.34831327199935913,0.36550211906433105,0.017188847064971924,0.36550211906433105,0.34831327199935913,0.001,0.5
R2 Reliability p=0.15,thermal_only,precision,0.8130464039283534,0.7849768600925596,0.8411159477641472,0.056139087671587595,0.7849768600925596,0.8411159477641472,0.001,0.5
R2 Reliability p=0.15,thermal_only,recall,0.7334857723577235,0.720020325203252,0.7469512195121951,0.026930894308943132,0.7469512195121951,0.720020325203252,0.001,0.5
R2 Reliability p=0.15,thermal_only,f1,0.7706818057325695,0.7654921020656136,0.7758715093995254,0.01037940733391185,0.7654921020656136,0.7758715093995254,0.001,0.5
R2 Reliability p=0.15,thermal_only,ap50,0.789697140455246,0.7825735211372375,0.7968207597732544,0.014247238636016846,0.7825735211372375,0.7968207597732544,0.001,0.5
R2 Reliability p=0.15,thermal_only,ap75,0.5638986825942993,0.5603545308113098,0.5674428343772888,0.007088303565979004,0.5674428343772888,0.5603545308113098,0.001,0.5
R4 Reliability p=0.20,event_only,precision,0.6838045078347346,0.672544080604534,0.695064935064935,0.022520854460401085,0.672544080604534,0.695064935064935,0.001,0.5
R4 Reliability p=0.20,event_only,recall,0.24898373983739838,0.2266260162601626,0.27134146341463417,0.044715447154471566,0.27134146341463417,0.2266260162601626,0.001,0.5
R4 Reliability p=0.20,event_only,f1,0.364241213505664,0.34180610550517304,0.386676321506155,0.044870216000981955,0.386676321506155,0.34180610550517304,0.001,0.5
R4 Reliability p=0.20,event_only,ap50,0.2866113930940628,0.2586073875427246,0.314615398645401,0.05600801110267639,0.314615398645401,0.2586073875427246,0.001,0.5
R4 Reliability p=0.20,event_only,ap75,0.15450763702392578,0.1435757279396057,0.16543954610824585,0.021863818168640137,0.16543954610824585,0.1435757279396057,0.001,0.5
R4 Reliability p=0.20,full,precision,0.9228060901668502,0.9067626380984265,0.9388495422352738,0.03208690413684734,0.9388495422352738,0.9067626380984265,0.001,0.5
R4 Reliability p=0.20,full,recall,0.9190379403794038,0.9175135501355014,0.9205623306233063,0.0030487804878048808,0.9205623306233063,0.9175135501355014,0.001,0.5
R4 Reliability p=0.20,full,f1,0.920861212399899,0.9121064152214179,0.9296160095783802,0.01750959435696231,0.9296160095783802,0.9121064152214179,0.001,0.5
R4 Reliability p=0.20,full,ap50,0.9628656208515167,0.9603855013847351,0.9653457403182983,0.004960238933563232,0.9653457403182983,0.9603855013847351,0.001,0.5
R4 Reliability p=0.20,full,ap75,0.8917860090732574,0.8881215453147888,0.8954504728317261,0.007328927516937256,0.8954504728317261,0.8881215453147888,0.001,0.5
R4 Reliability p=0.20,no_event,precision,0.9217079778810987,0.906380840730196,0.9370351150320014,0.03065427430180545,0.9370351150320014,0.906380840730196,0.001,0.5
R4 Reliability p=0.20,no_event,recall,0.9170901084010841,0.9166666666666666,0.9175135501355014,0.0008468834688347693,0.9175135501355014,0.9166666666666666,0.001,0.5
R4 Reliability p=0.20,no_event,f1,0.9193331621737271,0.9114947368421052,0.9271715875053488,0.015676850663243536,0.9271715875053488,0.9114947368421052,0.001,0.5
R4 Reliability p=0.20,no_event,ap50,0.9615768194198608,0.9594763517379761,0.9636772871017456,0.004200935363769531,0.9636772871017456,0.9594763517379761,0.001,0.5
R4 Reliability p=0.20,no_event,ap75,0.885172963142395,0.8784834742546082,0.8918624520301819,0.01337897777557373,0.8918624520301819,0.8784834742546082,0.001,0.5
R4 Reliability p=0.20,no_rgb,precision,0.8513497263674659,0.8151582986888392,0.8875411540460926,0.07238285535725342,0.8875411540460926,0.8151582986888392,0.001,0.5
R4 Reliability p=0.20,no_rgb,recall,0.8655149051490515,0.8634823848238482,0.8675474254742548,0.004065040650406582,0.8675474254742548,0.8634823848238482,0.001,0.5
R4 Reliability p=0.20,no_rgb,f1,0.8580275903318653,0.838624773811482,0.8774304068522484,0.03880563304076634,0.8774304068522484,0.838624773811482,0.001,0.5
R4 Reliability p=0.20,no_rgb,ap50,0.9160512983798981,0.908394455909729,0.9237081408500671,0.015313684940338135,0.9237081408500671,0.908394455909729,0.001,0.5
