variant,run_id,seed,condition,manuscript_condition,precision,recall,f1,ap50,ap75,gt_boxes,predictions,mean_confidence,detector_score_thr,metric_score_thr,nms_thresh,detections_per_img,checkpoint_path,checkpoint_sha256,split_path,split_sha256,runtime_seconds,fps,gpu,cuda,pytorch,git_commit
R1 Reliability p=0.00,R1_seed0,0,full,true,0.8905529953917051,0.9164972899728997,0.9033388981636061,0.954266369342804,0.8918557167053223,5904,6076,0.800256669570381,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.98784065246582,28.37621841412055,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,no_rgb,true,0.8597690313457459,0.6178861788617886,0.7190302552478565,0.6730044484138489,0.5811824202537537,5904,4243,0.789359540049265,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.01021790504456,28.368078688021402,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,no_thermal,true,0.8877349159248269,0.30403116531165314,0.45293969215240976,0.32874244451522827,0.2999885678291321,5904,2022,0.8005139700972598,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.34534239768982,28.611936173497355,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,no_event,true,0.6820181871516574,0.3938008130081301,0.4993020508965962,0.4255604147911072,0.28395766019821167,5904,3409,0.7550158573406888,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.58508825302124,28.523522365315138,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,rgb_only,false,0.6826697892271663,0.39498644986449866,0.5004291845493563,0.42452073097229004,0.2842196524143219,5904,3416,0.7548368411788616,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.96967959403992,28.38282793416999,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,thermal_only,false,0.0,0.0,0.0,0.0005919816321693361,1.62204923981335e-05,5904,0,0.0,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.80183839797974,28.444057949888553,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed0,0,event_only,false,0.14285714285714285,0.0013550135501355014,0.0026845637583892616,0.005592857487499714,0.00023376793251372874,5904,56,0.5633393728307315,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed0_block64g16_e50\weights\best.pt,7d0b9da066529890dabad866a510df96a787f8827b77a6e581d6cf6f03dd218c,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.69571375846863,28.482909712104792,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,full,true,0.9202634772057549,0.8992208672086721,0.9096204917330593,0.9563413262367249,0.8954483866691589,5904,5769,0.7596109008784929,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.70271229743958,28.48034430933142,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,no_rgb,true,0.9098440545808967,0.6324525745257452,0.7462030375699441,0.7529745697975159,0.589164137840271,5904,4104,0.7463276677022436,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.11565589904785,28.329788369951768,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,no_thermal,true,0.9175879396984925,0.3092818428184282,0.4626298454522421,0.3328113257884979,0.3080024719238281,5904,1990,0.7591543069137401,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.434739112854,28.57890431805751,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
