table_or_figure,variant,seed,condition,metric,v22_value,v23_value,absolute_difference,reason_for_change
Table 3 / Fig. 3,R0 Early Fusion,0,full,precision,0.890591,0.8905908096280087,1.9037199128213445e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,0,full,recall,0.896172,0.8961720867208672,8.672086726502215e-08,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,0,full,f1,0.893373,0.8933727311101731,2.68889826848806e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,0,full,ap50,0.93856,0.9407908916473389,0.0022308916473389173,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,0,full,ap75,0.82756,0.8304921388626099,0.002932138862609901,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,2,full,precision,0.902247,0.9022466129308866,3.8706911342778483e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,2,full,recall,0.891091,0.8910907859078591,2.1409214090439832e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,2,full,f1,0.896634,0.8966340008521516,8.521515715287364e-10,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,2,full,ap50,0.937711,0.9413885474205017,0.0036775474205017478,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R0 Early Fusion,2,full,ap75,0.831114,0.8346405029296875,0.0035265029296874806,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,0,full,precision,0.890553,0.8905529953917051,4.608294967844984e-09,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,0,full,recall,0.916497,0.9164972899728997,2.8997289969190376e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,0,full,f1,0.903339,0.9033388981636061,1.0183639387317811e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,0,full,ap50,0.952112,0.954266369342804,0.0021543693428039967,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,0,full,ap75,0.889847,0.8918557167053223,0.002008716705322211,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,2,full,precision,0.920263,0.9202634772057549,4.772057548008135e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,2,full,recall,0.899221,0.8992208672086721,1.3279132793364568e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R1 Reliability p=0.00,2,full,f1,0.90962,0.9096204917330593,4.917330592713043e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
