component_id,node_count,v39_train_count,v39_validation_count,v39_guard_count,v39_outside_count,represented_in_both_train_validation,source_tvcc_components
cdc_0001,2,2,0,0,0,no,
cdc_0002,3,3,0,0,0,no,
cdc_0003,2,2,0,0,0,no,
cdc_0004,5,5,0,0,0,no,
cdc_0005,2,2,0,0,0,no,
cdc_0006,2,2,0,0,0,no,
cdc_0007,2,2,0,0,0,no,
cdc_0008,2,2,0,0,0,no,
cdc_0009,3,3,0,0,0,no,
cdc_0010,2,2,0,0,0,no,
cdc_0011,2,2,0,0,0,no,
cdc_0012,2,2,0,0,0,no,
cdc_0013,2,2,0,0,0,no,
cdc_0014,3,3,0,0,0,no,
cdc_0015,2,2,0,0,0,no,
cdc_0016,2,2,0,0,0,no,
cdc_0017,2,2,0,0,0,no,
cdc_0018,6,6,0,0,0,no,
cdc_0019,4,4,0,0,0,no,
cdc_0020,3,3,0,0,0,no,
cdc_0021,7,7,0,0,0,no,
cdc_0022,2,2,0,0,0,no,
cdc_0023,2,2,0,0,0,no,
cdc_0024,2,2,0,0,0,no,
cdc_0025,2,2,0,0,0,no,
cdc_0026,2,2,0,0,0,no,
cdc_0027,2,2,0,0,0,no,
cdc_0028,3,3,0,0,0,no,
cdc_0029,2,2,0,0,0,no,
cdc_0030,3,3,0,0,0,no,
cdc_0031,2,2,0,0,0,no,
cdc_0032,2,2,0,0,0,no,
cdc_0033,2,2,0,0,0,no,
cdc_0034,2,0,2,0,0,no,
cdc_0035,2,0,2,0,0,no,
cdc_0036,2,0,2,0,0,no,
cdc_0037,5,0,5,0,0,no,
cdc_0038,5,0,5,0,0,no,
cdc_0039,2,0,2,0,0,no,
cdc_0040,2,2,0,0,0,no,
cdc_0041,2,2,0,0,0,no,
cdc_0042,2,2,0,0,0,no,
cdc_0043,2,2,0,0,0,no,
cdc_0044,3,3,0,0,0,no,
cdc_0045,2,2,0,0,0,no,
cdc_0046,2,2,0,0,0,no,
cdc_0047,37,37,0,0,0,no,
cdc_0048,2,2,0,0,0,no,
cdc_0049,4,4,0,0,0,no,
cdc_0050,2,2,0,0,0,no,
cdc_0051,7,7,0,0,0,no,
cdc_0052,3,3,0,0,0,no,
cdc_0053,2,2,0,0,0,no,
cdc_0054,17,0,17,0,0,no,tvcc_0001
cdc_0055,2,2,0,0,0,no,
cdc_0056,5,0,5,0,0,no,
cdc_0057,9,0,9,0,0,no,
cdc_0058,2,0,2,0,0,no,
cdc_0059,2,0,2,0,0,no,
cdc_0060,3,0,3,0,0,no,
cdc_0061,4,0,4,0,0,no,
cdc_0062,2,0,2,0,0,no,
cdc_0063,3,0,3,0,0,no,
cdc_0064,2,0,2,0,0,no,
cdc_0065,47,47,0,0,0,no,tvcc_0002
cdc_0066,2,0,2,0,0,no,
cdc_0067,7,0,7,0,0,no,
cdc_0068,6,6,0,0,0,no,
cdc_0069,4,4,0,0,0,no,
cdc_0070,12,12,0,0,0,no,
cdc_0071,33,33,0,0,0,no,
cdc_0072,8,8,0,0,0,no,
cdc_0073,3,3,0,0,0,no,
cdc_0074,3,3,0,0,0,no,
cdc_0075,4,4,0,0,0,no,
cdc_0076,3,3,0,0,0,no,
cdc_0077,2,2,0,0,0,no,
cdc_0078,2,2,0,0,0,no,
cdc_0079,3,3,0,0,0,no,
cdc_0080,2,0,2,0,0,no,
cdc_0081,2,0,2,0,0,no,
cdc_0082,4,0,4,0,0,no,
cdc_0083,3,0,3,0,0,no,
cdc_0084,2,0,2,0,0,no,
cdc_0085,3,0,3,0,0,no,
cdc_0086,3,0,3,0,0,no,
cdc_0087,2,0,2,0,0,no,
cdc_0088,7,7,0,0,0,no,
cdc_0089,2,2,0,0,0,no,
cdc_0090,7,7,0,0,0,no,
cdc_0091,2,0,2,0,0,no,
cdc_0092,4,0,4,0,0,no,
cdc_0093,2,0,2,0,0,no,
cdc_0094,4,0,4,0,0,no,
cdc_0095,7,0,7,0,0,no,
cdc_0096,3,0,3,0,0,no,
cdc_0097,3,3,0,0,0,no,
cdc_0098,2,2,0,0,0,no,
cdc_0099,6,6,0,0,0,no,
cdc_0100,4,4,0,0,0,no,
cdc_0101,18,0,18,0,0,no,tvcc_0003
cdc_0102,2,0,2,0,0,no,tvcc_0004
cdc_0103,2,0,2,0,0,no,
cdc_0104,2,0,2,0,0,no,
cdc_0105,2,0,2,0,0,no,
cdc_0106,3,0,3,0,0,no,
cdc_0107,2,0,2,0,0,no,
cdc_0108,2,0,2,0,0,no,
cdc_0109,2,0,2,0,0,no,
cdc_0110,2,0,2,0,0,no,
cdc_0111,3,0,3,0,0,no,
cdc_0112,6,0,6,0,0,no,
cdc_0113,2,0,2,0,0,no,
cdc_0114,3,3,0,0,0,no,
cdc_0115,2,2,0,0,0,no,
cdc_0116,2,2,0,0,0,no,
cdc_0117,7,0,7,0,0,no,tvcc_0005
cdc_0118,2,2,0,0,0,no,
cdc_0119,10,0,10,0,0,no,tvcc_0006
cdc_0120,3,3,0,0,0,no,
cdc_0121,2,2,0,0,0,no,
cdc_0122,2,2,0,0,0,no,
cdc_0123,5,5,0,0,0,no,tvcc_0007
cdc_0124,2,0,2,0,0,no,tvcc_0008
cdc_0125,4,4,0,0,0,no,
cdc_0126,4,4,0,0,0,no,
cdc_0127,2,2,0,0,0,no,
cdc_0128,2,2,0,0,0,no,
cdc_0129,11,0,11,0,0,no,tvcc_0009
cdc_0130,2,2,0,0,0,no,
cdc_0131,10,10,0,0,0,no,tvcc_0010
cdc_0132,2,0,2,0,0,no,
cdc_0133,2,0,2,0,0,no,
cdc_0134,4,0,4,0,0,no,
cdc_0135,2,0,2,0,0,no,
cdc_0136,8,0,8,0,0,no,
cdc_0137,7,0,7,0,0,no,
cdc_0138,2,0,2,0,0,no,
cdc_0139,3,0,3,0,0,no,
cdc_0140,2,0,2,0,0,no,tvcc_0011
cdc_0141,2,0,2,0,0,no,
cdc_0142,3,0,3,0,0,no,
cdc_0143,3,3,0,0,0,no,
cdc_0144,2,2,0,0,0,no,
cdc_0145,2,2,0,0,0,no,
cdc_0146,2,2,0,0,0,no,
cdc_0147,3,3,0,0,0,no,
cdc_0148,3,3,0,0,0,no,
cdc_0149,2,2,0,0,0,no,
cdc_0150,2,2,0,0,0,no,
cdc_0151,3,3,0,0,0,no,
cdc_0152,2,2,0,0,0,no,
cdc_0153,3,3,0,0,0,no,
cdc_0154,4,4,0,0,0,no,
cdc_0155,2,2,0,0,0,no,
cdc_0156,3,3,0,0,0,no,
cdc_0157,2,2,0,0,0,no,
cdc_0158,2,2,0,0,0,no,
cdc_0159,2,2,0,0,0,no,
cdc_0160,2,2,0,0,0,no,
cdc_0161,2,2,0,0,0,no,
cdc_0162,2,2,0,0,0,no,
cdc_0163,4,4,0,0,0,no,
cdc_0164,2,2,0,0,0,no,
cdc_0165,2,2,0,0,0,no,
cdc_0166,2,2,0,0,0,no,
cdc_0167,2,2,0,0,0,no,
cdc_0168,2,2,0,0,0,no,
cdc_0169,3,3,0,0,0,no,
cdc_0170,3,3,0,0,0,no,
cdc_0171,6,6,0,0,0,no,
cdc_0172,5,5,0,0,0,no,
cdc_0173,2,2,0,0,0,no,
cdc_0174,2,2,0,0,0,no,
cdc_0175,2,2,0,0,0,no,
cdc_0176,4,4,0,0,0,no,
cdc_0177,2,2,0,0,0,no,
cdc_0178,2,2,0,0,0,no,
cdc_0179,7,7,0,0,0,no,
cdc_0180,2,2,0,0,0,no,
cdc_0181,4,4,0,0,0,no,
cdc_0182,2,2,0,0,0,no,
cdc_0183,2,2,0,0,0,no,
cdc_0184,3,3,0,0,0,no,
cdc_0185,2,2,0,0,0,no,
cdc_0186,2,2,0,0,0,no,
cdc_0187,2,2,0,0,0,no,
cdc_0188,2,2,0,0,0,no,
cdc_0189,2,2,0,0,0,no,
cdc_0190,11,11,0,0,0,no,
cdc_0191,2,2,0,0,0,no,
cdc_0192,3,3,0,0,0,no,
cdc_0193,4,4,0,0,0,no,
cdc_0194,4,4,0,0,0,no,
cdc_0195,2,2,0,0,0,no,
cdc_0196,2,2,0,0,0,no,
cdc_0197,2,2,0,0,0,no,
cdc_0198,4,4,0,0,0,no,
cdc_0199,4,4,0,0,0,no,
cdc_0200,3,3,0,0,0,no,
cdc_0201,2,2,0,0,0,no,
cdc_0202,6,6,0,0,0,no,
cdc_0203,4,4,0,0,0,no,
cdc_0204,4,4,0,0,0,no,
cdc_0205,4,4,0,0,0,no,
cdc_0206,5,5,0,0,0,no,
cdc_0207,6,6,0,0,0,no,
cdc_0208,2,2,0,0,0,no,
cdc_0209,2,2,0,0,0,no,
cdc_0210,3,3,0,0,0,no,
cdc_0211,2,2,0,0,0,no,
cdc_0212,4,4,0,0,0,no,
cdc_0213,25,25,0,0,0,no,
cdc_0214,4,4,0,0,0,no,
cdc_0215,8,8,0,0,0,no,
cdc_0216,2,2,0,0,0,no,
cdc_0217,2,2,0,0,0,no,
cdc_0218,2,2,0,0,0,no,
cdc_0219,6,6,0,0,0,no,
cdc_0220,2,2,0,0,0,no,
cdc_0221,4,4,0,0,0,no,
cdc_0222,2,2,0,0,0,no,
cdc_0223,3,0,3,0,0,no,
cdc_0224,2,0,2,0,0,no,
cdc_0225,3,0,3,0,0,no,
cdc_0226,3,0,3,0,0,no,
cdc_0227,3,0,3,0,0,no,
cdc_0228,2,0,2,0,0,no,
cdc_0229,2,0,2,0,0,no,
cdc_0230,2,0,2,0,0,no,
cdc_0231,2,0,2,0,0,no,
cdc_0232,2,0,2,0,0,no,
cdc_0233,4,4,0,0,0,no,
cdc_0234,2,2,0,0,0,no,
cdc_0235,3,3,0,0,0,no,
cdc_0236,2,2,0,0,0,no,
cdc_0237,4,4,0,0,0,no,
cdc_0238,2,2,0,0,0,no,
cdc_0239,3,3,0,0,0,no,
cdc_0240,4,4,0,0,0,no,
cdc_0241,3,3,0,0,0,no,
cdc_0242,2,2,0,0,0,no,
cdc_0243,2,2,0,0,0,no,
cdc_0244,6,6,0,0,0,no,
cdc_0245,2,2,0,0,0,no,
cdc_0246,4,4,0,0,0,no,
cdc_0247,2,2,0,0,0,no,
cdc_0248,2,2,0,0,0,no,
cdc_0249,3,3,0,0,0,no,
cdc_0250,4,4,0,0,0,no,
cdc_0251,3,3,0,0,0,no,
cdc_0252,2,2,0,0,0,no,
cdc_0253,2,2,0,0,0,no,
cdc_0254,2,2,0,0,0,no,
cdc_0255,2,0,2,0,0,no,
cdc_0256,2,0,2,0,0,no,
cdc_0257,2,0,2,0,0,no,
cdc_0258,2,0,2,0,0,no,
cdc_0259,2,0,2,0,0,no,
cdc_0260,4,0,4,0,0,no,
cdc_0261,3,0,3,0,0,no,
cdc_0262,2,0,2,0,0,no,
cdc_0263,3,0,3,0,0,no,
cdc_0264,2,0,2,0,0,no,
cdc_0265,4,0,4,0,0,no,
cdc_0266,3,0,3,0,0,no,
cdc_0267,2,0,2,0,0,no,
cdc_0268,6,0,6,0,0,no,
cdc_0269,2,0,2,0,0,no,
cdc_0270,2,0,2,0,0,no,
cdc_0271,2,0,2,0,0,no,
cdc_0272,3,0,3,0,0,no,
cdc_0273,3,0,3,0,0,no,
cdc_0274,5,0,5,0,0,no,
cdc_0275,6,0,6,0,0,no,
cdc_0276,2,0,2,0,0,no,
cdc_0277,3,0,3,0,0,no,
cdc_0278,2,0,2,0,0,no,
cdc_0279,2,0,2,0,0,no,
cdc_0280,2,0,2,0,0,no,
cdc_0281,7,0,7,0,0,no,
cdc_0282,2,0,2,0,0,no,
cdc_0283,3,0,3,0,0,no,
cdc_0284,2,0,2,0,0,no,
cdc_0285,4,0,4,0,0,no,
cdc_0286,2,2,0,0,0,no,
cdc_0287,2,2,0,0,0,no,
cdc_0288,5,5,0,0,0,no,
cdc_0289,3,3,0,0,0,no,
cdc_0290,2,2,0,0,0,no,
cdc_0291,2,2,0,0,0,no,
cdc_0292,5,5,0,0,0,no,
cdc_0293,3,3,0,0,0,no,
cdc_0294,4,4,0,0,0,no,
cdc_0295,2,2,0,0,0,no,
cdc_0296,3,3,0,0,0,no,
cdc_0297,2,2,0,0,0,no,
cdc_0298,4,4,0,0,0,no,
cdc_0299,2,2,0,0,0,no,
cdc_0300,2,2,0,0,0,no,
cdc_0301,2,2,0,0,0,no,
cdc_0302,2,2,0,0,0,no,
cdc_0303,4,4,0,0,0,no,
cdc_0304,3,3,0,0,0,no,
cdc_0305,5,5,0,0,0,no,
cdc_0306,3,3,0,0,0,no,
cdc_0307,4,4,0,0,0,no,
cdc_0308,2,2,0,0,0,no,
cdc_0309,9,9,0,0,0,no,
cdc_0310,10,10,0,0,0,no,
cdc_0311,3,0,3,0,0,no,
cdc_0312,3,0,3,0,0,no,
cdc_0313,7,0,7,0,0,no,
cdc_0314,2,0,2,0,0,no,
cdc_0315,8,0,8,0,0,no,
cdc_0316,2,0,2,0,0,no,
cdc_0317,3,0,3,0,0,no,
cdc_0318,4,0,4,0,0,no,
cdc_0319,2,0,2,0,0,no,
cdc_0320,3,0,3,0,0,no,
cdc_0321,2,0,2,0,0,no,
cdc_0322,2,0,2,0,0,no,
cdc_0323,4,0,4,0,0,no,
cdc_0324,7,0,7,0,0,no,
cdc_0325,2,0,2,0,0,no,
cdc_0326,2,0,2,0,0,no,
cdc_0327,2,0,2,0,0,no,
cdc_0328,5,0,5,0,0,no,
cdc_0329,2,0,2,0,0,no,
cdc_0330,3,3,0,0,0,no,
cdc_0331,2,2,0,0,0,no,
cdc_0332,2,2,0,0,0,no,
cdc_0333,2,2,0,0,0,no,
cdc_0334,3,3,0,0,0,no,
cdc_0335,2,2,0,0,0,no,
cdc_0336,2,2,0,0,0,no,
cdc_0337,2,2,0,0,0,no,
cdc_0338,2,2,0,0,0,no,
cdc_0339,2,2,0,0,0,no,
cdc_0340,2,2,0,0,0,no,
cdc_0341,2,2,0,0,0,no,
cdc_0342,2,2,0,0,0,no,
cdc_0343,2,2,0,0,0,no,
cdc_0344,3,3,0,0,0,no,
cdc_0345,3,3,0,0,0,no,
cdc_0346,6,6,0,0,0,no,
cdc_0347,2,2,0,0,0,no,
cdc_0348,2,2,0,0,0,no,
cdc_0349,12,12,0,0,0,no,
cdc_0350,6,6,0,0,0,no,
cdc_0351,3,3,0,0,0,no,
cdc_0352,2,2,0,0,0,no,
cdc_0353,2,2,0,0,0,no,
cdc_0354,19,19,0,0,0,no,
cdc_0355,4,4,0,0,0,no,
cdc_0356,2,2,0,0,0,no,
cdc_0357,4,0,4,0,0,no,
cdc_0358,2,0,2,0,0,no,
cdc_0359,3,0,3,0,0,no,
cdc_0360,5,0,5,0,0,no,
cdc_0361,7,0,7,0,0,no,
cdc_0362,6,0,6,0,0,no,
cdc_0363,2,0,2,0,0,no,
cdc_0364,3,0,3,0,0,no,
cdc_0365,2,0,2,0,0,no,
cdc_0366,2,0,2,0,0,no,
cdc_0367,2,0,2,0,0,no,
cdc_0368,2,0,2,0,0,no,
cdc_0369,2,2,0,0,0,no,
cdc_0370,2,2,0,0,0,no,
cdc_0371,4,4,0,0,0,no,
cdc_0372,2,2,0,0,0,no,
cdc_0373,2,2,0,0,0,no,
cdc_0374,2,2,0,0,0,no,
cdc_0375,2,2,0,0,0,no,
cdc_0376,2,2,0,0,0,no,
cdc_0377,4,4,0,0,0,no,
cdc_0378,4,4,0,0,0,no,
cdc_0379,2,2,0,0,0,no,
cdc_0380,3,3,0,0,0,no,
cdc_0381,2,2,0,0,0,no,
cdc_0382,2,2,0,0,0,no,
cdc_0383,2,2,0,0,0,no,
cdc_0384,8,8,0,0,0,no,
cdc_0385,2,2,0,0,0,no,
cdc_0386,4,4,0,0,0,no,
cdc_0387,2,2,0,0,0,no,
cdc_0388,2,2,0,0,0,no,
cdc_0389,2,2,0,0,0,no,
cdc_0390,2,2,0,0,0,no,
cdc_0391,3,3,0,0,0,no,
cdc_0392,3,3,0,0,0,no,
cdc_0393,3,3,0,0,0,no,
cdc_0394,2,2,0,0,0,no,
cdc_0395,2,2,0,0,0,no,
cdc_0396,2,2,0,0,0,no,
cdc_0397,2,2,0,0,0,no,
cdc_0398,2,2,0,0,0,no,
cdc_0399,2,2,0,0,0,no,
cdc_0400,2,2,0,0,0,no,
cdc_0401,2,2,0,0,0,no,
cdc_0402,5,5,0,0,0,no,
cdc_0403,3,3,0,0,0,no,
cdc_0404,2,2,0,0,0,no,
cdc_0405,2,2,0,0,0,no,
cdc_0406,2,2,0,0,0,no,
cdc_0407,10,10,0,0,0,no,
cdc_0408,2,2,0,0,0,no,
cdc_0409,2,2,0,0,0,no,
cdc_0410,2,2,0,0,0,no,
cdc_0411,2,2,0,0,0,no,
cdc_0412,3,3,0,0,0,no,
cdc_0413,2,2,0,0,0,no,
cdc_0414,3,3,0,0,0,no,
cdc_0415,3,3,0,0,0,no,
cdc_0416,2,2,0,0,0,no,
cdc_0417,2,2,0,0,0,no,
cdc_0418,2,2,0,0,0,no,
cdc_0419,6,6,0,0,0,no,
cdc_0420,3,3,0,0,0,no,
cdc_0421,4,4,0,0,0,no,
cdc_0422,7,7,0,0,0,no,
cdc_0423,8,8,0,0,0,no,
cdc_0424,3,3,0,0,0,no,
cdc_0425,2,2,0,0,0,no,
cdc_0426,2,2,0,0,0,no,
cdc_0427,2,2,0,0,0,no,
cdc_0428,2,2,0,0,0,no,
cdc_0429,2,2,0,0,0,no,
cdc_0430,2,2,0,0,0,no,
cdc_0431,2,2,0,0,0,no,
cdc_0432,3,3,0,0,0,no,
cdc_0433,3,3,0,0,0,no,
cdc_0434,3,3,0,0,0,no,
cdc_0435,2,2,0,0,0,no,
cdc_0436,2,2,0,0,0,no,
cdc_0437,2,2,0,0,0,no,
cdc_0438,2,2,0,0,0,no,
cdc_0439,4,4,0,0,0,no,
cdc_0440,2,2,0,0,0,no,
cdc_0441,6,6,0,0,0,no,
cdc_0442,3,3,0,0,0,no,
cdc_0443,2,2,0,0,0,no,
cdc_0444,2,2,0,0,0,no,
cdc_0445,11,11,0,0,0,no,
cdc_0446,2,2,0,0,0,no,
cdc_0447,2,2,0,0,0,no,
cdc_0448,2,2,0,0,0,no,
cdc_0449,2,2,0,0,0,no,
cdc_0450,2,2,0,0,0,no,
cdc_0451,2,2,0,0,0,no,
cdc_0452,7,7,0,0,0,no,
cdc_0453,2,2,0,0,0,no,
cdc_0454,6,6,0,0,0,no,
cdc_0455,2,2,0,0,0,no,
cdc_0456,2,2,0,0,0,no,
cdc_0457,2,2,0,0,0,no,
cdc_0458,2,2,0,0,0,no,
cdc_0459,2,2,0,0,0,no,
cdc_0460,2,2,0,0,0,no,
cdc_0461,5,5,0,0,0,no,
cdc_0462,25,25,0,0,0,no,
cdc_0463,2,2,0,0,0,no,
cdc_0464,11,11,0,0,0,no,
cdc_0465,3,3,0,0,0,no,
cdc_0466,5,5,0,0,0,no,
cdc_0467,4,4,0,0,0,no,
cdc_0468,4,4,0,0,0,no,
cdc_0469,5,5,0,0,0,no,
cdc_0470,2,2,0,0,0,no,
cdc_0471,4,4,0,0,0,no,
cdc_0472,2,2,0,0,0,no,
cdc_0473,7,7,0,0,0,no,
cdc_0474,3,3,0,0,0,no,
cdc_0475,5,5,0,0,0,no,
cdc_0476,5,5,0,0,0,no,
cdc_0477,2,2,0,0,0,no,
cdc_0478,2,2,0,0,0,no,
cdc_0479,2,2,0,0,0,no,
cdc_0480,2,2,0,0,0,no,
cdc_0481,2,2,0,0,0,no,
cdc_0482,3,3,0,0,0,no,
cdc_0483,2,2,0,0,0,no,
cdc_0484,3,3,0,0,0,no,
cdc_0485,2,2,0,0,0,no,
cdc_0486,2,2,0,0,0,no,
cdc_0487,2,2,0,0,0,no,
cdc_0488,3,3,0,0,0,no,
cdc_0489,2,2,0,0,0,no,
cdc_0490,2,2,0,0,0,no,
cdc_0491,2,2,0,0,0,no,
cdc_0492,3,3,0,0,0,no,
cdc_0493,3,3,0,0,0,no,
cdc_0494,4,4,0,0,0,no,
cdc_0495,2,2,0,0,0,no,
cdc_0496,4,4,0,0,0,no,
cdc_0497,2,2,0,0,0,no,
cdc_0498,2,2,0,0,0,no,
cdc_0499,3,3,0,0,0,no,
cdc_0500,2,2,0,0,0,no,
cdc_0501,5,5,0,0,0,no,
cdc_0502,2,2,0,0,0,no,
cdc_0503,2,2,0,0,0,no,
cdc_0504,2,2,0,0,0,no,
cdc_0505,2,2,0,0,0,no,
cdc_0506,2,0,2,0,0,no,
cdc_0507,2,0,2,0,0,no,
cdc_0508,2,0,2,0,0,no,
cdc_0509,295,295,0,0,0,no,tvcc_0012|tvcc_0013|tvcc_0014|tvcc_0015
cdc_0510,2,2,0,0,0,no,
cdc_0511,2,2,0,0,0,no,
cdc_0512,3,3,0,0,0,no,
cdc_0513,3,3,0,0,0,no,
cdc_0514,24,0,24,0,0,no,tvcc_0016
cdc_0515,2,0,2,0,0,no,
cdc_0516,8,0,8,0,0,no,
cdc_0517,2,0,2,0,0,no,
cdc_0518,2,0,2,0,0,no,
cdc_0519,50,0,50,0,0,no,tvcc_0017
cdc_0520,15,0,15,0,0,no,tvcc_0018
cdc_0521,3,3,0,0,0,no,
cdc_0522,2,2,0,0,0,no,
cdc_0523,2,2,0,0,0,no,
cdc_0524,4,4,0,0,0,no,
cdc_0525,5,5,0,0,0,no,
cdc_0526,2,2,0,0,0,no,
cdc_0527,6,6,0,0,0,no,
cdc_0528,5,5,0,0,0,no,
cdc_0529,6,6,0,0,0,no,
cdc_0530,13,13,0,0,0,no,
cdc_0531,5,0,5,0,0,no,tvcc_0019
cdc_0532,8,8,0,0,0,no,
cdc_0533,2,2,0,0,0,no,
cdc_0534,2,2,0,0,0,no,
cdc_0535,3,3,0,0,0,no,
cdc_0536,17,17,0,0,0,no,
cdc_0537,3,3,0,0,0,no,
cdc_0538,2,2,0,0,0,no,
cdc_0539,2,2,0,0,0,no,
cdc_0540,3,3,0,0,0,no,
cdc_0541,7,7,0,0,0,no,
cdc_0542,5,5,0,0,0,no,
cdc_0543,8,8,0,0,0,no,
cdc_0544,2,2,0,0,0,no,
cdc_0545,2,2,0,0,0,no,
cdc_0546,2,2,0,0,0,no,
cdc_0547,5,5,0,0,0,no,
cdc_0548,3,3,0,0,0,no,
cdc_0549,2,2,0,0,0,no,
cdc_0550,3,3,0,0,0,no,
cdc_0551,2,2,0,0,0,no,
cdc_0552,6,6,0,0,0,no,
cdc_0553,2,2,0,0,0,no,
cdc_0554,3,3,0,0,0,no,
cdc_0555,2,2,0,0,0,no,
cdc_0556,5,0,5,0,0,no,
cdc_0557,2,0,2,0,0,no,
cdc_0558,4,0,4,0,0,no,
cdc_0559,2,0,2,0,0,no,
cdc_0560,2,0,2,0,0,no,
cdc_0561,4,0,4,0,0,no,
cdc_0562,3,0,3,0,0,no,
cdc_0563,4,0,4,0,0,no,
cdc_0564,5,0,5,0,0,no,
cdc_0565,2,0,2,0,0,no,
cdc_0566,9,0,9,0,0,no,
cdc_0567,2,0,2,0,0,no,
cdc_0568,4,0,4,0,0,no,
cdc_0569,3,0,3,0,0,no,
cdc_0570,5,5,0,0,0,no,
cdc_0571,3,3,0,0,0,no,
cdc_0572,2,2,0,0,0,no,
cdc_0573,2,2,0,0,0,no,
cdc_0574,2,2,0,0,0,no,
cdc_0575,3,3,0,0,0,no,
cdc_0576,2,2,0,0,0,no,
cdc_0577,3,3,0,0,0,no,
cdc_0578,2,2,0,0,0,no,
cdc_0579,3,3,0,0,0,no,
cdc_0580,7,7,0,0,0,no,
cdc_0581,3,3,0,0,0,no,
cdc_0582,3,3,0,0,0,no,
cdc_0583,2,2,0,0,0,no,
cdc_0584,2,2,0,0,0,no,
cdc_0585,4,4,0,0,0,no,
cdc_0586,2,2,0,0,0,no,
cdc_0587,2,2,0,0,0,no,
cdc_0588,3,3,0,0,0,no,
cdc_0589,3,3,0,0,0,no,
cdc_0590,2,2,0,0,0,no,
cdc_0591,2,2,0,0,0,no,
cdc_0592,2,2,0,0,0,no,
cdc_0593,10,10,0,0,0,no,
cdc_0594,3,3,0,0,0,no,
cdc_0595,2,2,0,0,0,no,
cdc_0596,39,39,0,0,0,no,
cdc_0597,3,3,0,0,0,no,
cdc_0598,2,2,0,0,0,no,
cdc_0599,3,3,0,0,0,no,
cdc_0600,3,3,0,0,0,no,
cdc_0601,2,2,0,0,0,no,
cdc_0602,2,2,0,0,0,no,
cdc_0603,3,3,0,0,0,no,
