input_path,exists,size_bytes,sha256,role
runs/component_disjoint_candidates/candidate_component_disjoint_v1_train.txt,yes,220328,7fbe6372f9eca8ef2a1a9e33c3f2bbf72078a50c62a8ffcdaf06c348e8c0a7b6,current V39 train manifest
runs/component_disjoint_candidates/candidate_component_disjoint_v1_val.txt,yes,65491,e454695b35a4867d5f58f4351a96156436b38a02fad1e90d573e30352fd6bd3c,current V39 validation manifest
runs/component_disjoint_candidates/candidate_component_disjoint_v1_guard_unchanged.txt,yes,24774,25a57cea733a218ce2bbd37b22acdf76722cdcc3856861020017340357b338a8,current V39 guard manifest
reproducibility/component_disjoint_split_v1/protocol/input_lock.md,yes,4305,81033f0980027463ca70592f1f76d4fd8cfe6d8d3367e13239c03a1a7e157ec0,supporting locked audit evidence
reproducibility/component_disjoint_split_v1/input_snapshot/input_lock_manifest.csv,yes,4625,7aadfc6743ddf8f49b6885ee94adcf8f3632250997792c29dcdcf4114e490a96,supporting locked audit evidence
reproducibility/component_disjoint_split_v1/input_snapshot/rgb_hashes__rgb_hashes.csv,yes,2567816,95ed87a0f724461b950ccfc907afb880650a7995f2fe578319e6951f9428f0f2,"locked decoded RGB SHA-256, pHash, dHash table"
reproducibility/component_disjoint_split_v1/component_graph/component_nodes.csv,yes,155045,c1bb610c8a5ee3b58681ff3696d3f540fcce1cf28c365b611802d6915ddd1d97,locked original candidate graph component membership
reproducibility/component_disjoint_split_v1/component_graph/component_edges.csv,yes,1276204,c90ff6c2714a4c9c37ef95f5dc84c9b88f3031fcf5c5beecfed04583b2725dfe,locked original exact/pHash/dHash candidate graph edges
reproducibility/component_disjoint_split_v1/component_graph/components.csv,yes,118909,207265c295a67e6edba327164483a2b859a27e92c36375d627d1e2e9cc9fe6b5,locked original component summary and reviewed component mapping
reproducibility/component_disjoint_split_v1/scripts/build_component_disjoint_split.py,yes,35394,cb699f0a53cd1e72a0415e925cd27b38adc1b39a831a38d89b5dcbaa2879d796,component graph and split build script
reproducibility/component_disjoint_split_v1/assignments/assignment_protocol.md,yes,1066,cc150dcf0e4f9568dc9af7d779cb76252ca346e475b5851ddca798d9e319cd69,supporting locked audit evidence
reproducibility/component_disjoint_split_v1/reports/candidate_component_disjoint_v1_audit_summary.json,yes,672,d619358714001177e02f265645111220b7cc616ff7c157c7b0df05837c4c1227,supporting locked audit evidence
reproducibility/component_disjoint_split_v1/input_snapshot/train_validation_component_summary__train_val_component_summary.csv,yes,14511,853c5101b1fa6e95be30d62eed78ae3e112a2fb66e35b3cf51dc405d60e90ae5,locked 41 reviewed train/validation components
reproducibility/leakage_audit_v2/scripts/run_leakage_audit_v2.py,yes,20737,fa1784f0a2b17e634fe5ce56b22ed8081548121cb1b5d53252d41110bb0505c0,decoded RGB and perceptual hash preprocessing script
reproducibility/leakage_audit_v2/scripts/run_train_val_adjudication.py,yes,15124,5147c3295b63a4f2b73d5dd9d37524c5f70804985e2372c3faf59638419b662b,prior train/validation component review script
reproducibility/leakage_audit_v2/review_packet_v1/codex_preliminary_review/codex_preliminary_review_summary.json,yes,749,3cd0a388dafa662092f89e20c11c392cf51641b5d3d6752a4401bf7a3382d9cc,supporting locked audit evidence
reproducibility/leakage_audit_v2/review_packet_v1/codex_preliminary_review/human_review_shortlist.csv,yes,15254,c6aa8d7daf913eecb33173c276f504f46f482c7c5eac7cc369260da0422fbbc9,supporting locked audit evidence
