cluster_id,preliminary_label,codex_confidence,human_review_priority,high_priority,requires_human_confirmation,preliminary_automated_triage_only,representative_pair_ids,minimum_id_distance,pair_count,minimum_selected_resized_rgb_mae,rationale,overview_png,pair_review_pdf
fpc_0001,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0001|fp_0021|fp_0034|fp_0044|fp_0054|fp_0063,1,6,4.290191,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0001_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0001_pair_review.pdf
fpc_0002,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0002|fp_0022|fp_0035|fp_0045|fp_0055|fp_0064,1,6,5.665955,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0002_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0002_pair_review.pdf
fpc_0003,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0003|fp_0023|fp_0036|fp_0046|fp_0056|fp_0065|fp_0070|fp_0075|fp_0080|fp_0085,1,16,10.109462,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0003_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0003_pair_review.pdf
fpc_0004,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0004|fp_0024|fp_0037|fp_0047|fp_0057,1,5,9.436944,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0004_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0004_pair_review.pdf
fpc_0005,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0005|fp_0025|fp_0038|fp_0048,1,4,8.368455,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0005_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0005_pair_review.pdf
fpc_0006,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0006,1,1,13.979497,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0006_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0006_pair_review.pdf
fpc_0007,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0007|fp_0026|fp_0039|fp_0049|fp_0058|fp_0066|fp_0071|fp_0076|fp_0081|fp_0086,1,11,23.474253,Close filename IDs and moderate visual RGB similarity.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0007_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0007_pair_review.pdf
fpc_0008,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0008|fp_0027,1,2,6.588715,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0008_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0008_pair_review.pdf
fpc_0009,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0009,1,1,11.317621,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0009_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0009_pair_review.pdf
fpc_0010,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0010,1,1,10.742361,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0010_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0010_pair_review.pdf
fpc_0011,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0011,1,1,13.843125,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0011_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0011_pair_review.pdf
fpc_0012,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0012|fp_0028,1,2,9.854584,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0012_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0012_pair_review.pdf
fpc_0013,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0013|fp_0029,1,2,13.553559,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0013_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0013_pair_review.pdf
fpc_0014,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0014,1,1,9.120017,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0014_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0014_pair_review.pdf
fpc_0015,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0015,1,1,10.060555,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0015_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0015_pair_review.pdf
fpc_0016,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0016|fp_0017|fp_0030|fp_0031|fp_0040|fp_0041|fp_0050|fp_0051|fp_0059|fp_0060,1,21,9.191979,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0016_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0016_pair_review.pdf
fpc_0017,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0018,1,1,12.391198,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0017_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0017_pair_review.pdf
fpc_0018,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0019|fp_0020|fp_0032|fp_0033|fp_0042|fp_0043|fp_0052|fp_0053|fp_0061|fp_0062,1,32,14.918959,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0018_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0018_pair_review.pdf
fpc_0019,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0115|fp_0171|fp_0202|fp_0223|fp_0241|fp_0258,1,6,1.613281,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0019_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0019_pair_review.pdf
fpc_0020,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0116|fp_0117|fp_0172|fp_0173|fp_0203|fp_0204|fp_0224|fp_0225|fp_0242|fp_0243,1,13,2.672830,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0020_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0020_pair_review.pdf
fpc_0021,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0118|fp_0174|fp_0205|fp_0226|fp_0244|fp_0261|fp_0272,1,7,1.001892,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0021_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0021_pair_review.pdf
fpc_0022,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0119|fp_0175|fp_0206,1,3,0.907014,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0022_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0022_pair_review.pdf
fpc_0023,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0120|fp_0121|fp_0176|fp_0177|fp_0207|fp_0227|fp_0245|fp_0262|fp_0273|fp_0282,1,18,0.871927,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0023_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0023_pair_review.pdf
fpc_0024,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0122|fp_0178|fp_0208|fp_0228|fp_0246|fp_0263|fp_0274|fp_0283|fp_0290|fp_0297,1,16,1.237639,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0024_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0024_pair_review.pdf
fpc_0025,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0123,1,1,1.021910,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0025_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0025_pair_review.pdf
fpc_0026,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0124,1,1,0.489566,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0026_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0026_pair_review.pdf
fpc_0027,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0125|fp_0179,1,2,2.730521,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0027_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0027_pair_review.pdf
fpc_0028,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0126,1,1,0.765278,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0028_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0028_pair_review.pdf
fpc_0029,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0127|fp_0128|fp_0180|fp_0209|fp_0229|fp_0247,1,6,0.864514,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0029_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0029_pair_review.pdf
