label,source_path,snapshot_path,exists,size_bytes,sha256,copied_at,git_commit
v39_train_manifest,runs/component_disjoint_candidates/candidate_component_disjoint_v1_train.txt,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/v39_train_manifest__candidate_component_disjoint_v1_train.txt,yes,220328,7fbe6372f9eca8ef2a1a9e33c3f2bbf72078a50c62a8ffcdaf06c348e8c0a7b6,2026-07-05T19:54:13,8e4f314cacaee9427b69acc23af3c69ded51a1e6
v39_validation_manifest,runs/component_disjoint_candidates/candidate_component_disjoint_v1_val.txt,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/v39_validation_manifest__candidate_component_disjoint_v1_val.txt,yes,65491,e454695b35a4867d5f58f4351a96156436b38a02fad1e90d573e30352fd6bd3c,2026-07-05T19:54:13,8e4f314cacaee9427b69acc23af3c69ded51a1e6
filename_proximity_pairs,reproducibility/v39_audit_scope_resolution/filename_proximity_diagnostic/filename_proximity_pairs.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/filename_proximity_pairs__filename_proximity_pairs.csv,yes,93806,fee47df9fa4b945af79bf94be4ae43a76c80de15756be5cdaa8753c1bc641a5b,2026-07-05T19:54:13,8e4f314cacaee9427b69acc23af3c69ded51a1e6
uncovered_filename_proximity_pairs,reproducibility/v39_audit_scope_resolution/filename_proximity_diagnostic/uncovered_filename_proximity_pairs.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/uncovered_filename_proximity_pairs__uncovered_filename_proximity_pairs.csv,yes,97821,e82329ce74a081723249b934ce25a48e9fccc1426c3de687eab00036a8ef5e47,2026-07-05T19:54:13,8e4f314cacaee9427b69acc23af3c69ded51a1e6
uncovered_filename_proximity_clusters,reproducibility/v39_audit_scope_resolution/filename_proximity_diagnostic/uncovered_filename_proximity_clusters.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/uncovered_filename_proximity_clusters__uncovered_filename_proximity_clusters.csv,yes,11135,d03692c430fe2d9bf0e5c5792aa451a40c11ca23260cb84cd362725be04ff7bf,2026-07-05T19:54:13,8e4f314cacaee9427b69acc23af3c69ded51a1e6
audit_scope_human_review_shortlist,reproducibility/v39_audit_scope_resolution/filename_proximity_diagnostic/human_review_shortlist.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/audit_scope_human_review_shortlist__human_review_shortlist.csv,yes,25761,8e7e969f6e69b935919f4f7095a3c320ccff7d245ea63428d99e373b5abf8201,2026-07-05T19:54:14,8e4f314cacaee9427b69acc23af3c69ded51a1e6
v39_audit_scope_resolution_md,reproducibility/v39_audit_scope_resolution/V39_AUDIT_SCOPE_RESOLUTION.md,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/v39_audit_scope_resolution_md__V39_AUDIT_SCOPE_RESOLUTION.md,yes,1677,fad947edf5c7a0bac0638cd450d960084f2fed8ad4e407bfe12c5381f8ccd532,2026-07-05T19:54:14,8e4f314cacaee9427b69acc23af3c69ded51a1e6
v39_audit_scope_resolution_json,reproducibility/v39_audit_scope_resolution/V39_AUDIT_SCOPE_RESOLUTION.json,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/v39_audit_scope_resolution_json__V39_AUDIT_SCOPE_RESOLUTION.json,yes,1944,bec6f0fee69c1f9a9240e08c610a3f8517ac2fb4540ad279bf998f39a358f06a,2026-07-05T19:54:14,8e4f314cacaee9427b69acc23af3c69ded51a1e6
original_candidate_graph_component_nodes,reproducibility/component_disjoint_split_v1/component_graph/component_nodes.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/original_candidate_graph_component_nodes__component_nodes.csv,yes,155045,c1bb610c8a5ee3b58681ff3696d3f540fcce1cf28c365b611802d6915ddd1d97,2026-07-05T19:54:14,8e4f314cacaee9427b69acc23af3c69ded51a1e6
original_candidate_graph_component_edges,reproducibility/component_disjoint_split_v1/component_graph/component_edges.csv,reproducibility/v39_filename_proximity_review_packet_v1/input_snapshot/original_candidate_graph_component_edges__component_edges.csv,yes,1276204,c90ff6c2714a4c9c37ef95f5dc84c9b88f3031fcf5c5beecfed04583b2725dfe,2026-07-05T19:54:14,8e4f314cacaee9427b69acc23af3c69ded51a1e6
