component_id,sample_id_a,sample_id_b,partition_a,partition_b,exact_pixel_match,phash_distance,dhash_distance,risk_level,candidate_reason,high_risk_edge,edge_source
cdc_0001,frame_00002,frame_00003,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0002,frame_00009,frame_00010,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0002,frame_00010,frame_00011,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0003,frame_00014,frame_00015,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0004,frame_00016,frame_00017,train,train,false,2,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0004,frame_00016,frame_00018,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0004,frame_00017,frame_00018,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0004,frame_00018,frame_00019,train,train,false,2,13,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0004,frame_00018,frame_00020,train,train,false,4,13,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0005,frame_00023,frame_00024,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0006,frame_00027,frame_00028,train,train,false,4,14,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0007,frame_00031,frame_00032,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0008,frame_00043,frame_00044,train,train,false,2,18,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0009,frame_00051,frame_00052,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0009,frame_00051,frame_00053,train,train,false,4,16,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0010,frame_00056,frame_00057,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0011,frame_00058,frame_00059,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0012,frame_00066,frame_00067,train,train,false,8,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0013,frame_00077,frame_00078,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0014,frame_00079,frame_00080,train,train,false,2,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0014,frame_00080,frame_00081,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0015,frame_00087,frame_00088,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0016,frame_00089,frame_00090,train,train,false,0,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0017,frame_00091,frame_00092,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00095,frame_00096,train,train,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00095,frame_00099,train,train,false,10,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00095,frame_00100,train,train,false,8,2,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00096,frame_00099,train,train,false,8,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00096,frame_00100,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00097,frame_00098,train,train,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00097,frame_00099,train,train,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00097,frame_00100,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00098,frame_00099,train,train,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00098,frame_00100,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0018,frame_00099,frame_00100,train,train,false,2,3,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0019,frame_00103,frame_00104,train,train,false,2,13,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0019,frame_00103,frame_00105,train,train,false,4,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0019,frame_00104,frame_00105,train,train,false,2,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0019,frame_00105,frame_00106,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0020,frame_00107,frame_00108,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0020,frame_00108,frame_00109,train,train,false,2,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00114,frame_00116,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00114,frame_00117,train,train,false,4,10,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00114,frame_00118,train,train,false,4,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00115,frame_00116,train,train,false,4,10,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00115,frame_00117,train,train,false,2,10,high,phash<=4,yes,full_train_val_universe_high_risk
