component_id,sample_id,old_partition
cdc_0001,frame_00002,train
cdc_0001,frame_00003,train
cdc_0002,frame_00009,train
cdc_0002,frame_00010,train
cdc_0002,frame_00011,train
cdc_0003,frame_00014,train
cdc_0003,frame_00015,train
cdc_0004,frame_00016,train
cdc_0004,frame_00017,train
cdc_0004,frame_00018,train
cdc_0004,frame_00019,train
cdc_0004,frame_00020,train
cdc_0005,frame_00023,train
cdc_0005,frame_00024,train
cdc_0006,frame_00027,train
cdc_0006,frame_00028,train
cdc_0007,frame_00031,train
cdc_0007,frame_00032,train
cdc_0008,frame_00043,train
cdc_0008,frame_00044,train
cdc_0009,frame_00051,train
cdc_0009,frame_00052,train
cdc_0009,frame_00053,train
cdc_0010,frame_00056,train
cdc_0010,frame_00057,train
cdc_0011,frame_00058,train
cdc_0011,frame_00059,train
cdc_0012,frame_00066,train
cdc_0012,frame_00067,train
cdc_0013,frame_00077,train
cdc_0013,frame_00078,train
cdc_0014,frame_00079,train
cdc_0014,frame_00080,train
cdc_0014,frame_00081,train
cdc_0015,frame_00087,train
cdc_0015,frame_00088,train
cdc_0016,frame_00089,train
cdc_0016,frame_00090,train
cdc_0017,frame_00091,train
cdc_0017,frame_00092,train
cdc_0018,frame_00095,train
cdc_0018,frame_00096,train
cdc_0018,frame_00097,train
cdc_0018,frame_00098,train
cdc_0018,frame_00099,train
cdc_0018,frame_00100,train
cdc_0019,frame_00103,train
cdc_0019,frame_00104,train
cdc_0019,frame_00105,train
cdc_0019,frame_00106,train
cdc_0020,frame_00107,train
cdc_0020,frame_00108,train
cdc_0020,frame_00109,train
cdc_0021,frame_00114,train
cdc_0021,frame_00115,train
cdc_0021,frame_00116,train
cdc_0021,frame_00117,train
cdc_0021,frame_00118,train
cdc_0021,frame_00119,train
cdc_0021,frame_00120,train
cdc_0022,frame_00125,train
cdc_0022,frame_00126,train
cdc_0023,frame_00127,train
cdc_0023,frame_00128,train
cdc_0024,frame_00130,train
cdc_0024,frame_00131,train
cdc_0025,frame_00132,train
cdc_0025,frame_00133,train
cdc_0026,frame_00140,train
cdc_0026,frame_00141,train
cdc_0027,frame_00143,train
cdc_0027,frame_00144,train
cdc_0028,frame_00146,train
cdc_0028,frame_00147,train
cdc_0028,frame_00148,train
cdc_0029,frame_00158,train
cdc_0029,frame_00159,train
cdc_0030,frame_00160,train
cdc_0030,frame_00161,train
cdc_0030,frame_00163,train
cdc_0031,frame_00170,train
cdc_0031,frame_00171,train
cdc_0032,frame_00172,train
cdc_0032,frame_00174,train
cdc_0033,frame_00173,train
cdc_0033,frame_00175,train
cdc_0034,frame_00196,val
cdc_0034,frame_00197,val
cdc_0035,frame_00209,val
cdc_0035,frame_00210,val
cdc_0036,frame_00215,val
cdc_0036,frame_00217,val
cdc_0037,frame_00228,val
cdc_0037,frame_00229,val
cdc_0037,frame_00230,val
cdc_0037,frame_00231,val
cdc_0037,frame_00232,val
cdc_0038,frame_00239,val
cdc_0038,frame_00240,val
cdc_0038,frame_00241,val
cdc_0038,frame_00242,val
cdc_0038,frame_00244,val
cdc_0039,frame_00253,val
cdc_0039,frame_00254,val
cdc_0040,frame_00296,train
cdc_0040,frame_00297,train
cdc_0041,frame_00302,train
cdc_0041,frame_00303,train
cdc_0042,frame_00304,train
cdc_0042,frame_00305,train
cdc_0043,frame_00308,train
cdc_0043,frame_00309,train
cdc_0044,frame_00310,train
cdc_0044,frame_00311,train
cdc_0044,frame_00312,train
cdc_0045,frame_00332,train
cdc_0045,frame_00333,train
cdc_0046,frame_00335,train
cdc_0046,frame_00336,train
cdc_0047,frame_00347,train
cdc_0047,frame_00348,train
cdc_0047,frame_00363,train
cdc_0047,frame_00364,train
cdc_0047,frame_00365,train
cdc_0047,frame_00366,train
cdc_0047,frame_00367,train
cdc_0047,frame_00368,train
cdc_0047,frame_00369,train
cdc_0047,frame_00370,train
cdc_0047,frame_00371,train
cdc_0047,frame_00372,train
cdc_0047,frame_00374,train
cdc_0047,frame_00377,train
cdc_0047,frame_00378,train
cdc_0047,frame_00379,train
cdc_0047,frame_00380,train
cdc_0047,frame_00381,train
cdc_0047,frame_00382,train
cdc_0047,frame_00383,train
cdc_0047,frame_00385,train
cdc_0047,frame_00386,train
cdc_0047,frame_00387,train
cdc_0047,frame_00388,train
cdc_0047,frame_00389,train
cdc_0047,frame_00390,train
cdc_0047,frame_00391,train
cdc_0047,frame_00392,train
cdc_0047,frame_00393,train
cdc_0047,frame_00394,train
cdc_0047,frame_00395,train
cdc_0047,frame_00396,train
cdc_0047,frame_00397,train
cdc_0047,frame_00398,train
cdc_0047,frame_00399,train
cdc_0047,frame_00400,train
cdc_0047,frame_00401,train
cdc_0048,frame_00353,train
cdc_0048,frame_00356,train
cdc_0049,frame_00358,train
cdc_0049,frame_00360,train
cdc_0049,frame_00361,train
cdc_0049,frame_00384,train
cdc_0050,frame_00375,train
cdc_0050,frame_00376,train
cdc_0051,frame_00402,train
cdc_0051,frame_00404,train
cdc_0051,frame_00410,train
cdc_0051,frame_00411,train
cdc_0051,frame_00414,train
cdc_0051,frame_00415,train
cdc_0051,frame_00416,train
cdc_0052,frame_00405,train
cdc_0052,frame_00406,train
cdc_0052,frame_00407,train
cdc_0053,frame_00409,train
cdc_0053,frame_00412,train
cdc_0054,frame_00418,train
cdc_0054,frame_00419,train
cdc_0054,frame_00420,train
