reviewed_component_id,sample_count,v39_train_count,v39_validation_count,v39_guard_count,v39_outside_count,v39_partition_set,wholly_assigned_to_one_side,cdc_component_ids,codex_reviewer_label
tvcc_0001,13,0,13,0,0,validation,yes,cdc_0054,uncertain
tvcc_0002,7,7,0,0,0,train,yes,cdc_0065,uncertain
tvcc_0003,17,0,17,0,0,validation,yes,cdc_0101,uncertain
tvcc_0004,2,0,2,0,0,validation,yes,cdc_0102,uncertain
tvcc_0005,2,0,2,0,0,validation,yes,cdc_0117,uncertain
tvcc_0006,2,0,2,0,0,validation,yes,cdc_0119,uncertain
tvcc_0007,4,4,0,0,0,train,yes,cdc_0123,uncertain
tvcc_0008,2,0,2,0,0,validation,yes,cdc_0124,uncertain
tvcc_0009,7,0,7,0,0,validation,yes,cdc_0129,uncertain
tvcc_0010,2,2,0,0,0,train,yes,cdc_0131,uncertain
tvcc_0011,2,0,2,0,0,validation,yes,cdc_0140,uncertain
tvcc_0012,19,19,0,0,0,train,yes,cdc_0509,uncertain
tvcc_0013,4,4,0,0,0,train,yes,cdc_0509,uncertain
tvcc_0014,6,6,0,0,0,train,yes,cdc_0509,uncertain
tvcc_0015,161,161,0,0,0,train,yes,cdc_0509,uncertain
tvcc_0016,21,0,21,0,0,validation,yes,cdc_0514,uncertain
tvcc_0017,49,0,49,0,0,validation,yes,cdc_0519,uncertain
tvcc_0018,8,0,8,0,0,validation,yes,cdc_0520,uncertain
tvcc_0019,2,0,2,0,0,validation,yes,cdc_0531,uncertain
tvcc_0020,19,19,0,0,0,train,yes,cdc_0708,uncertain
tvcc_0021,4,0,4,0,0,validation,yes,cdc_0712,uncertain
tvcc_0022,3,0,3,0,0,validation,yes,cdc_0713,uncertain
tvcc_0023,3,0,3,0,0,validation,yes,cdc_0762,uncertain
tvcc_0024,25,0,25,0,0,validation,yes,cdc_0803,uncertain
tvcc_0025,2,2,0,0,0,train,yes,cdc_0797,uncertain
tvcc_0026,2,0,2,0,0,validation,yes,cdc_0803,uncertain
tvcc_0027,2,2,0,0,0,train,yes,cdc_0797,uncertain
tvcc_0028,2,0,2,0,0,validation,yes,cdc_0854,uncertain
tvcc_0029,3,0,3,0,0,validation,yes,cdc_0946,uncertain
tvcc_0030,3,0,3,0,0,validation,yes,cdc_1039,uncertain
tvcc_0031,4,0,4,0,0,validation,yes,cdc_1056,uncertain
tvcc_0032,2,0,2,0,0,validation,yes,cdc_1061,uncertain
tvcc_0033,4,0,4,0,0,validation,yes,cdc_1087,uncertain
tvcc_0034,7,7,0,0,0,train,yes,cdc_1097,uncertain
tvcc_0035,2,0,2,0,0,validation,yes,cdc_1143,uncertain
tvcc_0036,2,0,2,0,0,validation,yes,cdc_1187,uncertain
tvcc_0037,2,0,2,0,0,validation,yes,cdc_1192,uncertain
tvcc_0038,2,0,2,0,0,validation,yes,cdc_1193,uncertain
tvcc_0039,13,0,13,0,0,validation,yes,cdc_1198,uncertain
tvcc_0040,3,0,3,0,0,validation,yes,cdc_1199,uncertain
tvcc_0041,5,0,5,0,0,validation,yes,cdc_1388,uncertain
