cluster_id,family,pair_count,node_count,validation_node_count,train_node_count,min_id_distance,lexical_min_sample_id,pair_ids,sample_ids
fpc_0001,frame,6,7,6,1,1,frame_00417,fp_0001|fp_0021|fp_0034|fp_0044|fp_0054|fp_0063,frame_00417|frame_00418|frame_00419|frame_00420|frame_00421|frame_00422|frame_00423
fpc_0002,frame,6,7,6,1,1,frame_00424,fp_0002|fp_0022|fp_0035|fp_0045|fp_0055|fp_0064,frame_00424|frame_00425|frame_00426|frame_00427|frame_00428|frame_00429|frame_00430
fpc_0003,frame,16,17,16,1,1,frame_00475,fp_0003|fp_0023|fp_0036|fp_0046|fp_0056|fp_0065|fp_0070|fp_0075|fp_0080|fp_0085|fp_0090|fp_0095|fp_0099|fp_0103|fp_0107|fp_0111,frame_00475|frame_00476|frame_00477|frame_00478|frame_00479|frame_00480|frame_00481|frame_00482|frame_00483|frame_00484|frame_00485|frame_00486|frame_00487|frame_00488|frame_00489|frame_00490|frame_00491
fpc_0004,frame,5,6,5,1,1,frame_00493,fp_0004|fp_0024|fp_0037|fp_0047|fp_0057,frame_00493|frame_00494|frame_00495|frame_00496|frame_00497|frame_00498
fpc_0005,frame,4,5,4,1,1,frame_00499,fp_0005|fp_0025|fp_0038|fp_0048,frame_00499|frame_00500|frame_00501|frame_00502|frame_00503
fpc_0006,frame,1,2,1,1,1,frame_00510,fp_0006,frame_00510|frame_00511
fpc_0007,frame,11,12,11,1,1,frame_00932,fp_0007|fp_0026|fp_0039|fp_0049|fp_0058|fp_0066|fp_0071|fp_0076|fp_0081|fp_0086|fp_0091,frame_00932|frame_00933|frame_00934|frame_00935|frame_00936|frame_00937|frame_00938|frame_00939|frame_00940|frame_00941|frame_00942|frame_00943
fpc_0008,frame,2,3,2,1,1,frame_01075,fp_0008|fp_0027,frame_01075|frame_01076|frame_01077
fpc_0009,frame,1,2,1,1,1,frame_01078,fp_0009,frame_01078|frame_01079
fpc_0010,frame,1,2,1,1,1,frame_01087,fp_0010,frame_01087|frame_01088
fpc_0011,frame,1,2,1,1,1,frame_01112,fp_0011,frame_01112|frame_01113
fpc_0012,frame,2,3,2,1,1,frame_01167,fp_0012|fp_0028,frame_01167|frame_01168|frame_01169
fpc_0013,frame,2,3,2,1,1,frame_01170,fp_0013|fp_0029,frame_01170|frame_01171|frame_01172
fpc_0014,frame,1,2,1,1,1,frame_01177,fp_0014,frame_01177|frame_01178
fpc_0015,frame,1,2,1,1,1,frame_01179,fp_0015,frame_01179|frame_01180
