cluster_id,family,pair_count,node_count,validation_node_count,train_node_count,minimum_id_distance,lexical_min_sample_id,selected_pair_count,selected_pair_ids,selection_rule,pair_is_original_candidate_graph_edge_count,endpoints_in_same_reviewed_component_count,one_or_more_endpoint_in_reviewed_component_count,neither_endpoint_in_reviewed_component_count,selected_pair_is_original_candidate_graph_edge_count,selected_endpoints_in_same_reviewed_component_count,selected_one_or_more_endpoint_in_reviewed_component_count,selected_neither_endpoint_in_reviewed_component_count,preliminary_label,codex_confidence,human_review_priority,high_priority,requires_human_confirmation,preliminary_automated_triage_only,minimum_selected_resized_rgb_mae,overview_png,pair_review_pdf
fpc_0001,frame,6,7,6,1,1,frame_00417,6,fp_0001|fp_0021|fp_0034|fp_0044|fp_0054|fp_0063,all pairs selected because cluster pair_count <= 10,0,0,3,3,0,0,3,3,adjacent_or_near_identical,medium,1,yes,YES,YES,4.290191,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0001_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0001_pair_review.pdf
fpc_0002,frame,6,7,6,1,1,frame_00424,6,fp_0002|fp_0022|fp_0035|fp_0045|fp_0055|fp_0064,all pairs selected because cluster pair_count <= 10,0,0,5,1,0,0,5,1,adjacent_or_near_identical,medium,1,yes,YES,YES,5.665955,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0002_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0002_pair_review.pdf
fpc_0003,frame,16,17,16,1,1,frame_00475,10,fp_0003|fp_0023|fp_0036|fp_0046|fp_0056|fp_0065|fp_0070|fp_0075|fp_0080|fp_0085,first 10 pairs by ascending ID distance and lexical pair ID,0,0,16,0,0,0,10,0,adjacent_or_near_identical,medium,1,yes,YES,YES,10.109462,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0003_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0003_pair_review.pdf
fpc_0004,frame,5,6,5,1,1,frame_00493,5,fp_0004|fp_0024|fp_0037|fp_0047|fp_0057,all pairs selected because cluster pair_count <= 10,0,0,0,5,0,0,0,5,adjacent_or_near_identical,medium,1,yes,YES,YES,9.436944,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0004_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0004_pair_review.pdf
fpc_0005,frame,4,5,4,1,1,frame_00499,4,fp_0005|fp_0025|fp_0038|fp_0048,all pairs selected because cluster pair_count <= 10,0,0,0,4,0,0,0,4,adjacent_or_near_identical,medium,1,yes,YES,YES,8.368455,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0005_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0005_pair_review.pdf
fpc_0006,frame,1,2,1,1,1,frame_00510,1,fp_0006,all pairs selected because cluster pair_count <= 10,0,0,1,0,0,0,1,0,adjacent_or_near_identical,medium,1,yes,YES,YES,13.979497,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0006_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0006_pair_review.pdf
fpc_0007,frame,11,12,11,1,1,frame_00932,10,fp_0007|fp_0026|fp_0039|fp_0049|fp_0058|fp_0066|fp_0071|fp_0076|fp_0081|fp_0086,first 10 pairs by ascending ID distance and lexical pair ID,0,0,10,1,0,0,9,1,adjacent_or_near_identical,medium,1,yes,YES,YES,23.474253,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0007_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0007_pair_review.pdf
fpc_0008,frame,2,3,2,1,1,frame_01075,2,fp_0008|fp_0027,all pairs selected because cluster pair_count <= 10,0,0,0,2,0,0,0,2,adjacent_or_near_identical,medium,1,yes,YES,YES,6.588715,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0008_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0008_pair_review.pdf
fpc_0009,frame,1,2,1,1,1,frame_01078,1,fp_0009,all pairs selected because cluster pair_count <= 10,0,0,1,0,0,0,1,0,adjacent_or_near_identical,medium,1,yes,YES,YES,11.317621,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0009_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0009_pair_review.pdf
fpc_0010,frame,1,2,1,1,1,frame_01087,1,fp_0010,all pairs selected because cluster pair_count <= 10,0,0,1,0,0,0,1,0,adjacent_or_near_identical,medium,1,yes,YES,YES,10.742361,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0010_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0010_pair_review.pdf
