cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0018,1,fp_0019,frame,frame_02513,data/images/frame_02513.npy,2513,frame_02514,data/images/frame_02514.npy,2514,1,no,no,yes,no,NA,cdc_0123,NA,tvcc_0007,no,21.066631,83.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,2,fp_0020,frame,frame_02515,data/images/frame_02515.npy,2515,frame_02514,data/images/frame_02514.npy,2514,1,no,no,yes,no,cdc_0124,cdc_0123,tvcc_0008,tvcc_0007,no,14.918959,63.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,3,fp_0032,frame,frame_02512,data/images/frame_02512.npy,2512,frame_02514,data/images/frame_02514.npy,2514,2,no,no,yes,no,cdc_0313,cdc_0123,NA,tvcc_0007,no,27.049202,102.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,4,fp_0033,frame,frame_02516,data/images/frame_02516.npy,2516,frame_02514,data/images/frame_02514.npy,2514,2,no,no,yes,no,NA,cdc_0123,NA,tvcc_0007,no,18.731441,83.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,5,fp_0042,frame,frame_02511,data/images/frame_02511.npy,2511,frame_02514,data/images/frame_02514.npy,2514,3,no,no,yes,no,cdc_0313,cdc_0123,NA,tvcc_0007,no,28.817917,107.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,6,fp_0043,frame,frame_02517,data/images/frame_02517.npy,2517,frame_02514,data/images/frame_02514.npy,2514,3,no,no,yes,no,NA,cdc_0123,NA,tvcc_0007,no,20.267916,87.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,7,fp_0052,frame,frame_02510,data/images/frame_02510.npy,2510,frame_02514,data/images/frame_02514.npy,2514,4,no,no,yes,no,NA,cdc_0123,NA,tvcc_0007,no,30.268438,109.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,8,fp_0053,frame,frame_02518,data/images/frame_02518.npy,2518,frame_02514,data/images/frame_02514.npy,2514,4,no,no,yes,no,cdc_0117,cdc_0123,NA,tvcc_0007,no,25.986198,100.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,9,fp_0061,frame,frame_02509,data/images/frame_02509.npy,2509,frame_02514,data/images/frame_02514.npy,2514,5,no,no,yes,no,cdc_0313,cdc_0123,NA,tvcc_0007,no,27.667465,106.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0018,10,fp_0062,frame,frame_02519,data/images/frame_02519.npy,2519,frame_02514,data/images/frame_02514.npy,2514,5,no,no,yes,no,cdc_0117,cdc_0123,NA,tvcc_0007,no,27.722656,103.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
