cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis,selection_rule
fpc_0001,1,fp_0001,frame,frame_00418,data/images/frame_00418.npy,418,frame_00417,data/images/frame_00417.npy,417,1,no,no,no,yes,cdc_0054,NA,NA,NA,no,4.290191,18.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0001,2,fp_0021,frame,frame_00419,data/images/frame_00419.npy,419,frame_00417,data/images/frame_00417.npy,417,2,no,no,yes,no,cdc_0054,NA,tvcc_0001,NA,no,4.343802,17.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0001,3,fp_0034,frame,frame_00420,data/images/frame_00420.npy,420,frame_00417,data/images/frame_00417.npy,417,3,no,no,no,yes,cdc_0054,NA,NA,NA,no,4.919253,19.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0001,4,fp_0044,frame,frame_00421,data/images/frame_00421.npy,421,frame_00417,data/images/frame_00417.npy,417,4,no,no,yes,no,cdc_0054,NA,tvcc_0001,NA,no,6.317135,24.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0001,5,fp_0054,frame,frame_00422,data/images/frame_00422.npy,422,frame_00417,data/images/frame_00417.npy,417,5,no,no,yes,no,cdc_0054,NA,tvcc_0001,NA,no,6.096858,24.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0001,6,fp_0063,frame,frame_00423,data/images/frame_00423.npy,423,frame_00417,data/images/frame_00417.npy,417,6,no,no,no,yes,cdc_0054,NA,NA,NA,no,6.454878,25.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,1,fp_0002,frame,frame_00429,data/images/frame_00429.npy,429,frame_00430,data/images/frame_00430.npy,430,1,no,no,yes,no,cdc_0054,cdc_0055,tvcc_0001,NA,no,5.665955,20.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,2,fp_0022,frame,frame_00428,data/images/frame_00428.npy,428,frame_00430,data/images/frame_00430.npy,430,2,no,no,no,yes,cdc_0054,cdc_0055,NA,NA,no,6.643959,26.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,3,fp_0035,frame,frame_00427,data/images/frame_00427.npy,427,frame_00430,data/images/frame_00430.npy,430,3,no,no,yes,no,cdc_0054,cdc_0055,tvcc_0001,NA,no,8.335972,33.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,4,fp_0045,frame,frame_00426,data/images/frame_00426.npy,426,frame_00430,data/images/frame_00430.npy,430,4,no,no,yes,no,cdc_0054,cdc_0055,tvcc_0001,NA,no,9.939965,40.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,5,fp_0055,frame,frame_00425,data/images/frame_00425.npy,425,frame_00430,data/images/frame_00430.npy,430,5,no,no,yes,no,cdc_0054,cdc_0055,tvcc_0001,NA,no,10.369479,43.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0002,6,fp_0064,frame,frame_00424,data/images/frame_00424.npy,424,frame_00430,data/images/frame_00430.npy,430,6,no,no,yes,no,cdc_0054,cdc_0055,tvcc_0001,NA,no,11.284513,47.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0003,1,fp_0003,frame,frame_00490,data/images/frame_00490.npy,490,frame_00491,data/images/frame_00491.npy,491,1,no,no,yes,no,NA,cdc_0065,NA,tvcc_0002,no,10.109462,41.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,2,fp_0023,frame,frame_00489,data/images/frame_00489.npy,489,frame_00491,data/images/frame_00491.npy,491,2,no,no,yes,no,cdc_0064,cdc_0065,NA,tvcc_0002,no,15.035556,63.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,3,fp_0036,frame,frame_00488,data/images/frame_00488.npy,488,frame_00491,data/images/frame_00491.npy,491,3,no,no,yes,no,cdc_0064,cdc_0065,NA,tvcc_0002,no,17.096563,73.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,4,fp_0046,frame,frame_00487,data/images/frame_00487.npy,487,frame_00491,data/images/frame_00491.npy,491,4,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,21.009966,91.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,5,fp_0056,frame,frame_00486,data/images/frame_00486.npy,486,frame_00491,data/images/frame_00491.npy,491,5,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,21.964235,97.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,6,fp_0065,frame,frame_00485,data/images/frame_00485.npy,485,frame_00491,data/images/frame_00491.npy,491,6,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,23.290573,103.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,7,fp_0070,frame,frame_00484,data/images/frame_00484.npy,484,frame_00491,data/images/frame_00491.npy,491,7,no,no,yes,no,cdc_0061,cdc_0065,NA,tvcc_0002,no,24.985607,111.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,8,fp_0075,frame,frame_00483,data/images/frame_00483.npy,483,frame_00491,data/images/frame_00491.npy,491,8,no,no,yes,no,cdc_0061,cdc_0065,NA,tvcc_0002,no,25.549601,116.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,9,fp_0080,frame,frame_00482,data/images/frame_00482.npy,482,frame_00491,data/images/frame_00491.npy,491,9,no,no,yes,no,cdc_0062,cdc_0065,NA,tvcc_0002,no,25.560730,118.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0003,10,fp_0085,frame,frame_00481,data/images/frame_00481.npy,481,frame_00491,data/images/frame_00491.npy,491,10,no,no,yes,no,cdc_0062,cdc_0065,NA,tvcc_0002,no,26.647865,122.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0004,1,fp_0004,frame,frame_00494,data/images/frame_00494.npy,494,frame_00493,data/images/frame_00493.npy,493,1,no,no,no,yes,cdc_0066,cdc_0065,NA,NA,no,9.436944,35.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0004,2,fp_0024,frame,frame_00495,data/images/frame_00495.npy,495,frame_00493,data/images/frame_00493.npy,493,2,no,no,no,yes,cdc_0066,cdc_0065,NA,NA,no,15.071042,58.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0004,3,fp_0037,frame,frame_00496,data/images/frame_00496.npy,496,frame_00493,data/images/frame_00493.npy,493,3,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,17.412239,66.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0004,4,fp_0047,frame,frame_00497,data/images/frame_00497.npy,497,frame_00493,data/images/frame_00493.npy,493,4,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,19.682865,78.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0004,5,fp_0057,frame,frame_00498,data/images/frame_00498.npy,498,frame_00493,data/images/frame_00493.npy,493,5,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,19.930208,82.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0005,1,fp_0005,frame,frame_00502,data/images/frame_00502.npy,502,frame_00503,data/images/frame_00503.npy,503,1,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,8.368455,35.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0005,2,fp_0025,frame,frame_00501,data/images/frame_00501.npy,501,frame_00503,data/images/frame_00503.npy,503,2,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,13.162865,56.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0005,3,fp_0038,frame,frame_00500,data/images/frame_00500.npy,500,frame_00503,data/images/frame_00503.npy,503,3,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,14.782135,63.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0005,4,fp_0048,frame,frame_00499,data/images/frame_00499.npy,499,frame_00503,data/images/frame_00503.npy,503,4,no,no,no,yes,cdc_0067,cdc_0065,NA,NA,no,15.351372,65.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0006,1,fp_0006,frame,frame_00511,data/images/frame_00511.npy,511,frame_00510,data/images/frame_00510.npy,510,1,no,no,yes,no,NA,cdc_0065,NA,tvcc_0002,no,13.979497,58.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0007,1,fp_0007,frame,frame_00933,data/images/frame_00933.npy,933,frame_00932,data/images/frame_00932.npy,932,1,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,23.474253,94.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,2,fp_0026,frame,frame_00934,data/images/frame_00934.npy,934,frame_00932,data/images/frame_00932.npy,932,2,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,30.067032,112.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,3,fp_0039,frame,frame_00935,data/images/frame_00935.npy,935,frame_00932,data/images/frame_00932.npy,932,3,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,32.258663,116.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,4,fp_0049,frame,frame_00936,data/images/frame_00936.npy,936,frame_00932,data/images/frame_00932.npy,932,4,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,35.446701,122.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,5,fp_0058,frame,frame_00937,data/images/frame_00937.npy,937,frame_00932,data/images/frame_00932.npy,932,5,no,no,no,yes,cdc_0101,NA,NA,NA,no,35.838455,120.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,6,fp_0066,frame,frame_00938,data/images/frame_00938.npy,938,frame_00932,data/images/frame_00932.npy,932,6,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,37.055695,120.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,7,fp_0071,frame,frame_00939,data/images/frame_00939.npy,939,frame_00932,data/images/frame_00932.npy,932,7,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,36.303421,121.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,8,fp_0076,frame,frame_00940,data/images/frame_00940.npy,940,frame_00932,data/images/frame_00932.npy,932,8,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,24.709080,99.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,9,fp_0081,frame,frame_00941,data/images/frame_00941.npy,941,frame_00932,data/images/frame_00932.npy,932,9,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,29.760365,115.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0007,10,fp_0086,frame,frame_00942,data/images/frame_00942.npy,942,frame_00932,data/images/frame_00932.npy,932,10,no,no,yes,no,cdc_0101,NA,tvcc_0003,NA,no,31.590208,119.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0008,1,fp_0008,frame,frame_01076,data/images/frame_01076.npy,1076,frame_01075,data/images/frame_01075.npy,1075,1,no,no,no,yes,cdc_0117,NA,NA,NA,no,6.588715,26.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0008,2,fp_0027,frame,frame_01077,data/images/frame_01077.npy,1077,frame_01075,data/images/frame_01075.npy,1075,2,no,no,no,yes,cdc_0117,NA,NA,NA,no,7.183906,28.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0009,1,fp_0009,frame,frame_01078,data/images/frame_01078.npy,1078,frame_01079,data/images/frame_01079.npy,1079,1,no,no,yes,no,cdc_0117,NA,tvcc_0005,NA,no,11.317621,42.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0010,1,fp_0010,frame,frame_01088,data/images/frame_01088.npy,1088,frame_01087,data/images/frame_01087.npy,1087,1,no,no,yes,no,cdc_0119,cdc_0118,tvcc_0006,NA,no,10.742361,40.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0011,1,fp_0011,frame,frame_01113,data/images/frame_01113.npy,1113,frame_01112,data/images/frame_01112.npy,1112,1,no,no,yes,no,cdc_0124,NA,tvcc_0008,NA,no,13.843125,50.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0012,1,fp_0012,frame,frame_01168,data/images/frame_01168.npy,1168,frame_01167,data/images/frame_01167.npy,1167,1,no,no,no,yes,cdc_0129,NA,NA,NA,no,9.854584,37.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0012,2,fp_0028,frame,frame_01169,data/images/frame_01169.npy,1169,frame_01167,data/images/frame_01167.npy,1167,2,no,no,yes,no,cdc_0129,NA,tvcc_0009,NA,no,10.478837,38.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0013,1,fp_0013,frame,frame_01171,data/images/frame_01171.npy,1171,frame_01172,data/images/frame_01172.npy,1172,1,no,no,yes,no,cdc_0129,NA,tvcc_0009,NA,no,13.553559,50.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0013,2,fp_0029,frame,frame_01170,data/images/frame_01170.npy,1170,frame_01172,data/images/frame_01172.npy,1172,2,no,no,yes,no,cdc_0129,NA,tvcc_0009,NA,no,13.657274,50.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0014,1,fp_0014,frame,frame_01178,data/images/frame_01178.npy,1178,frame_01177,data/images/frame_01177.npy,1177,1,no,no,no,yes,cdc_0129,NA,NA,NA,no,9.120017,35.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0015,1,fp_0015,frame,frame_01179,data/images/frame_01179.npy,1179,frame_01180,data/images/frame_01180.npy,1180,1,no,no,yes,no,cdc_0129,NA,tvcc_0009,NA,no,10.060555,38.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,all pairs selected because cluster pair_count <= 10
fpc_0016,1,fp_0016,frame,frame_01220,data/images/frame_01220.npy,1220,frame_01221,data/images/frame_01221.npy,1221,1,no,no,yes,no,cdc_0133,cdc_0131,NA,tvcc_0010,no,9.191979,40.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,2,fp_0017,frame,frame_01222,data/images/frame_01222.npy,1222,frame_01221,data/images/frame_01221.npy,1221,1,no,no,yes,no,NA,cdc_0131,NA,tvcc_0010,no,9.464896,43.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,3,fp_0030,frame,frame_01219,data/images/frame_01219.npy,1219,frame_01221,data/images/frame_01221.npy,1221,2,no,no,yes,no,cdc_0133,cdc_0131,NA,tvcc_0010,no,9.505468,41.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,4,fp_0031,frame,frame_01223,data/images/frame_01223.npy,1223,frame_01221,data/images/frame_01221.npy,1221,2,no,no,yes,no,cdc_0134,cdc_0131,NA,tvcc_0010,no,12.518473,60.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,5,fp_0040,frame,frame_01218,data/images/frame_01218.npy,1218,frame_01221,data/images/frame_01221.npy,1221,3,no,no,yes,no,cdc_0132,cdc_0131,NA,tvcc_0010,no,11.009357,51.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,6,fp_0041,frame,frame_01224,data/images/frame_01224.npy,1224,frame_01221,data/images/frame_01221.npy,1221,3,no,no,yes,no,cdc_0134,cdc_0131,NA,tvcc_0010,no,13.763871,67.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,7,fp_0050,frame,frame_01217,data/images/frame_01217.npy,1217,frame_01221,data/images/frame_01221.npy,1221,4,no,no,yes,no,cdc_0132,cdc_0131,NA,tvcc_0010,no,12.327830,59.050000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
fpc_0016,8,fp_0051,frame,frame_01225,data/images/frame_01225.npy,1225,frame_01221,data/images/frame_01221.npy,1221,4,no,no,yes,no,cdc_0134,cdc_0131,NA,tvcc_0010,no,15.089427,72.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only,first 10 pairs by ascending ID distance and lexical pair ID
