cluster_id,author_final_label,reviewed_by,review_date,preliminary_label,requires_human_confirmation,gate_status
fpc_0001,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0002,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0003,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0004,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0005,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0006,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0007,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0008,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0009,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0010,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0011,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0012,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0013,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0014,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0015,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0016,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0017,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0018,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0019,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0020,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
