row_number,cluster_id,issues,author_final_label,reviewed_by,review_date,requires_human_confirmation
1,fpc_0001,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
2,fpc_0002,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
3,fpc_0003,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
4,fpc_0004,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
5,fpc_0005,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
6,fpc_0006,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
7,fpc_0007,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
8,fpc_0008,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
9,fpc_0009,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
10,fpc_0010,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
11,fpc_0011,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
12,fpc_0012,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
13,fpc_0013,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
14,fpc_0014,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
15,fpc_0015,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
16,fpc_0016,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
17,fpc_0017,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
18,fpc_0018,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
19,fpc_0019,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
20,fpc_0020,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
21,fpc_0021,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
22,fpc_0022,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
23,fpc_0023,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
24,fpc_0024,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
25,fpc_0025,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
26,fpc_0026,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
27,fpc_0027,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
28,fpc_0028,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
29,fpc_0029,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
30,fpc_0030,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
31,fpc_0031,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
32,fpc_0032,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
33,fpc_0033,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
34,fpc_0034,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
