sample_id,relative_path,v39_partition,v40_partition,moved_relative_to_v39,gt_box_count,v40_component_id,original_component_id
frame_00417,data/images/frame_00417.npy,TRAIN,VALIDATION,yes,0,v40c_00263,orig_singleton_frame_00417
frame_00430,data/images/frame_00430.npy,TRAIN,VALIDATION,yes,1,v40c_00263,orig_rule_00268
frame_00431,data/images/frame_00431.npy,TRAIN,VALIDATION,yes,1,v40c_00263,orig_rule_00268
frame_00491,data/images/frame_00491.npy,TRAIN,VALIDATION,yes,1,v40c_00271,orig_rule_00285
frame_00492,data/images/frame_00492.npy,TRAIN,VALIDATION,yes,1,v40c_00271,orig_rule_00285
frame_00493,data/images/frame_00493.npy,TRAIN,VALIDATION,yes,1,v40c_00271,orig_rule_00285
frame_00503,data/images/frame_00503.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00504,data/images/frame_00504.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00505,data/images/frame_00505.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00506,data/images/frame_00506.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00507,data/images/frame_00507.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00508,data/images/frame_00508.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00509,data/images/frame_00509.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00510,data/images/frame_00510.npy,TRAIN,VALIDATION,yes,0,v40c_00271,orig_rule_00288
frame_00932,data/images/frame_00932.npy,TRAIN,VALIDATION,yes,5,v40c_00454,orig_singleton_frame_00932
frame_01075,data/images/frame_01075.npy,TRAIN,VALIDATION,yes,0,v40c_00526,orig_singleton_frame_01075
frame_01079,data/images/frame_01079.npy,TRAIN,VALIDATION,yes,0,v40c_00526,orig_singleton_frame_01079
frame_01088,data/images/frame_01088.npy,VALIDATION,TRAIN,yes,0,v40c_00533,orig_singleton_frame_01088
frame_01113,data/images/frame_01113.npy,VALIDATION,TRAIN,yes,1,v40c_00550,orig_singleton_frame_01113
frame_01167,data/images/frame_01167.npy,TRAIN,VALIDATION,yes,0,v40c_00596,orig_singleton_frame_01167
frame_01172,data/images/frame_01172.npy,TRAIN,VALIDATION,yes,0,v40c_00596,orig_singleton_frame_01172
frame_01178,data/images/frame_01178.npy,VALIDATION,TRAIN,yes,0,v40c_00601,orig_rule_00630
frame_01179,data/images/frame_01179.npy,VALIDATION,TRAIN,yes,0,v40c_00601,orig_rule_00630
frame_01221,data/images/frame_01221.npy,TRAIN,VALIDATION,yes,0,v40c_00612,orig_singleton_frame_01221
frame_01317,data/images/frame_01317.npy,TRAIN,VALIDATION,yes,2,v40c_00660,orig_singleton_frame_01317
frame_02514,data/images/frame_02514.npy,TRAIN,VALIDATION,yes,9,v40c_01398,orig_singleton_frame_02514
nframe_01092,data/images/nframe_01092.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_singleton_nframe_01092
nframe_01093,data/images/nframe_01093.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02538
nframe_01094,data/images/nframe_01094.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02538
nframe_01095,data/images/nframe_01095.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02538
nframe_01096,data/images/nframe_01096.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02538
nframe_01097,data/images/nframe_01097.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02538
nframe_01098,data/images/nframe_01098.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02538
nframe_01099,data/images/nframe_01099.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02538
nframe_01100,data/images/nframe_01100.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02538
nframe_01101,data/images/nframe_01101.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02538
nframe_01102,data/images/nframe_01102.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02538
nframe_01103,data/images/nframe_01103.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_singleton_nframe_01103
nframe_01105,data/images/nframe_01105.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_singleton_nframe_01105
nframe_01106,data/images/nframe_01106.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02542
nframe_01107,data/images/nframe_01107.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02542
nframe_01108,data/images/nframe_01108.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_singleton_nframe_01108
