component_id,member_order,sample_id,relative_path,v39_partition,gt_box_count,original_component_id
v40c_00001,1,frame_00000,data/images/frame_00000.npy,TRAIN,1,orig_singleton_frame_00000
v40c_00002,1,frame_00001,data/images/frame_00001.npy,TRAIN,1,orig_singleton_frame_00001
v40c_00003,1,frame_00002,data/images/frame_00002.npy,TRAIN,1,orig_rule_00003
v40c_00003,2,frame_00003,data/images/frame_00003.npy,TRAIN,1,orig_rule_00003
v40c_00004,1,frame_00004,data/images/frame_00004.npy,TRAIN,1,orig_singleton_frame_00004
v40c_00005,1,frame_00005,data/images/frame_00005.npy,TRAIN,1,orig_singleton_frame_00005
v40c_00006,1,frame_00006,data/images/frame_00006.npy,TRAIN,1,orig_singleton_frame_00006
v40c_00007,1,frame_00007,data/images/frame_00007.npy,TRAIN,1,orig_singleton_frame_00007
v40c_00008,1,frame_00008,data/images/frame_00008.npy,TRAIN,1,orig_singleton_frame_00008
v40c_00009,1,frame_00009,data/images/frame_00009.npy,TRAIN,1,orig_rule_00009
v40c_00009,2,frame_00010,data/images/frame_00010.npy,TRAIN,1,orig_rule_00009
v40c_00009,3,frame_00011,data/images/frame_00011.npy,TRAIN,1,orig_rule_00009
v40c_00010,1,frame_00012,data/images/frame_00012.npy,TRAIN,1,orig_singleton_frame_00012
v40c_00011,1,frame_00013,data/images/frame_00013.npy,TRAIN,1,orig_singleton_frame_00013
v40c_00012,1,frame_00014,data/images/frame_00014.npy,TRAIN,1,orig_rule_00012
v40c_00012,2,frame_00015,data/images/frame_00015.npy,TRAIN,0,orig_rule_00012
v40c_00013,1,frame_00016,data/images/frame_00016.npy,TRAIN,0,orig_rule_00013
v40c_00013,2,frame_00017,data/images/frame_00017.npy,TRAIN,0,orig_rule_00013
v40c_00013,3,frame_00018,data/images/frame_00018.npy,TRAIN,0,orig_rule_00013
v40c_00013,4,frame_00019,data/images/frame_00019.npy,TRAIN,0,orig_rule_00013
v40c_00013,5,frame_00020,data/images/frame_00020.npy,TRAIN,0,orig_rule_00013
v40c_00014,1,frame_00021,data/images/frame_00021.npy,TRAIN,0,orig_singleton_frame_00021
v40c_00015,1,frame_00022,data/images/frame_00022.npy,TRAIN,0,orig_singleton_frame_00022
v40c_00016,1,frame_00023,data/images/frame_00023.npy,TRAIN,0,orig_rule_00016
v40c_00016,2,frame_00024,data/images/frame_00024.npy,TRAIN,0,orig_rule_00016
v40c_00017,1,frame_00025,data/images/frame_00025.npy,TRAIN,0,orig_singleton_frame_00025
v40c_00018,1,frame_00026,data/images/frame_00026.npy,TRAIN,0,orig_singleton_frame_00026
v40c_00019,1,frame_00027,data/images/frame_00027.npy,TRAIN,0,orig_rule_00019
v40c_00019,2,frame_00028,data/images/frame_00028.npy,TRAIN,0,orig_rule_00019
v40c_00020,1,frame_00029,data/images/frame_00029.npy,TRAIN,0,orig_singleton_frame_00029
v40c_00021,1,frame_00030,data/images/frame_00030.npy,TRAIN,0,orig_singleton_frame_00030
v40c_00022,1,frame_00031,data/images/frame_00031.npy,TRAIN,0,orig_rule_00022
v40c_00022,2,frame_00032,data/images/frame_00032.npy,TRAIN,0,orig_rule_00022
v40c_00023,1,frame_00033,data/images/frame_00033.npy,TRAIN,0,orig_singleton_frame_00033
v40c_00024,1,frame_00034,data/images/frame_00034.npy,TRAIN,0,orig_singleton_frame_00034
v40c_00025,1,frame_00035,data/images/frame_00035.npy,TRAIN,0,orig_singleton_frame_00035
v40c_00026,1,frame_00036,data/images/frame_00036.npy,TRAIN,0,orig_singleton_frame_00036
v40c_00027,1,frame_00037,data/images/frame_00037.npy,TRAIN,0,orig_singleton_frame_00037
v40c_00028,1,frame_00038,data/images/frame_00038.npy,TRAIN,0,orig_singleton_frame_00038
v40c_00029,1,frame_00039,data/images/frame_00039.npy,TRAIN,0,orig_singleton_frame_00039
v40c_00030,1,frame_00040,data/images/frame_00040.npy,TRAIN,0,orig_singleton_frame_00040
v40c_00031,1,frame_00041,data/images/frame_00041.npy,TRAIN,0,orig_singleton_frame_00041
v40c_00032,1,frame_00042,data/images/frame_00042.npy,TRAIN,0,orig_singleton_frame_00042
v40c_00033,1,frame_00043,data/images/frame_00043.npy,TRAIN,0,orig_rule_00033
v40c_00033,2,frame_00044,data/images/frame_00044.npy,TRAIN,0,orig_rule_00033
v40c_00034,1,frame_00045,data/images/frame_00045.npy,TRAIN,0,orig_singleton_frame_00045
v40c_00035,1,frame_00046,data/images/frame_00046.npy,TRAIN,0,orig_singleton_frame_00046
v40c_00036,1,frame_00047,data/images/frame_00047.npy,TRAIN,0,orig_singleton_frame_00047
v40c_00037,1,frame_00048,data/images/frame_00048.npy,TRAIN,0,orig_singleton_frame_00048
v40c_00038,1,frame_00049,data/images/frame_00049.npy,TRAIN,0,orig_singleton_frame_00049
v40c_00039,1,frame_00050,data/images/frame_00050.npy,TRAIN,0,orig_singleton_frame_00050
v40c_00040,1,frame_00051,data/images/frame_00051.npy,TRAIN,0,orig_rule_00040
v40c_00040,2,frame_00052,data/images/frame_00052.npy,TRAIN,0,orig_rule_00040
