cluster_id,preliminary_label,author_final_label,reviewed_by,review_date,creates_v40_adjacency_edges,representative_pair_ids,pair_count,minimum_id_distance,author_notes
fpc_0001,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0001|fp_0021|fp_0034|fp_0044|fp_0054|fp_0063,6,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0002,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0002|fp_0022|fp_0035|fp_0045|fp_0055|fp_0064,6,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0003,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0003|fp_0023|fp_0036|fp_0046|fp_0056|fp_0065|fp_0070|fp_0075|fp_0080|fp_0085,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0004,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0004|fp_0024|fp_0037|fp_0047|fp_0057,5,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0005,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0005|fp_0025|fp_0038|fp_0048,4,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0006,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0006,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0007,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0007|fp_0026|fp_0039|fp_0049|fp_0058|fp_0066|fp_0071|fp_0076|fp_0081|fp_0086,11,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0008,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0008|fp_0027,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0009,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0009,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0010,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0010,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0011,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0011,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0012,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0012|fp_0028,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0013,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0013|fp_0029,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
