cluster_id,preliminary_label,author_final_label,author_notes,reviewed_by,review_date,requires_human_confirmation,representative_pair_ids,minimum_id_distance,pair_count,allowed_final_labels,cluster_overview_png,pair_review_pdf
fpc_0001,adjacent_or_near_identical,,,,,YES,fp_0001|fp_0021|fp_0034|fp_0044|fp_0054|fp_0063,1,6,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0001_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0001_pair_review.pdf
fpc_0002,adjacent_or_near_identical,,,,,YES,fp_0002|fp_0022|fp_0035|fp_0045|fp_0055|fp_0064,1,6,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0002_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0002_pair_review.pdf
fpc_0003,adjacent_or_near_identical,,,,,YES,fp_0003|fp_0023|fp_0036|fp_0046|fp_0056|fp_0065|fp_0070|fp_0075|fp_0080|fp_0085,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0003_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0003_pair_review.pdf
fpc_0004,adjacent_or_near_identical,,,,,YES,fp_0004|fp_0024|fp_0037|fp_0047|fp_0057,1,5,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0004_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0004_pair_review.pdf
fpc_0005,adjacent_or_near_identical,,,,,YES,fp_0005|fp_0025|fp_0038|fp_0048,1,4,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0005_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0005_pair_review.pdf
fpc_0006,adjacent_or_near_identical,,,,,YES,fp_0006,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0006_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0006_pair_review.pdf
fpc_0007,adjacent_or_near_identical,,,,,YES,fp_0007|fp_0026|fp_0039|fp_0049|fp_0058|fp_0066|fp_0071|fp_0076|fp_0081|fp_0086,1,11,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0007_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0007_pair_review.pdf
fpc_0008,adjacent_or_near_identical,,,,,YES,fp_0008|fp_0027,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0008_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0008_pair_review.pdf
fpc_0009,adjacent_or_near_identical,,,,,YES,fp_0009,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0009_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0009_pair_review.pdf
fpc_0010,adjacent_or_near_identical,,,,,YES,fp_0010,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0010_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0010_pair_review.pdf
fpc_0011,adjacent_or_near_identical,,,,,YES,fp_0011,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0011_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0011_pair_review.pdf
fpc_0012,adjacent_or_near_identical,,,,,YES,fp_0012|fp_0028,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0012_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0012_pair_review.pdf
fpc_0013,adjacent_or_near_identical,,,,,YES,fp_0013|fp_0029,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0013_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0013_pair_review.pdf
fpc_0014,adjacent_or_near_identical,,,,,YES,fp_0014,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0014_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0014_pair_review.pdf
fpc_0015,adjacent_or_near_identical,,,,,YES,fp_0015,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0015_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0015_pair_review.pdf
fpc_0016,adjacent_or_near_identical,,,,,YES,fp_0016|fp_0017|fp_0030|fp_0031|fp_0040|fp_0041|fp_0050|fp_0051|fp_0059|fp_0060,1,21,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0016_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0016_pair_review.pdf
fpc_0017,adjacent_or_near_identical,,,,,YES,fp_0018,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0017_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0017_pair_review.pdf
fpc_0018,adjacent_or_near_identical,,,,,YES,fp_0019|fp_0020|fp_0032|fp_0033|fp_0042|fp_0043|fp_0052|fp_0053|fp_0061|fp_0062,1,32,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0018_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0018_pair_review.pdf
fpc_0019,adjacent_or_near_identical,,,,,YES,fp_0115|fp_0171|fp_0202|fp_0223|fp_0241|fp_0258,1,6,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0019_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0019_pair_review.pdf
