sample_id,relative_path,v39_partition,v40_partition,moved_relative_to_v39,gt_box_count,v40_component_id,original_component_id
frame_00000,data/images/frame_00000.npy,TRAIN,TRAIN,no,1,v40c_00001,orig_singleton_frame_00000
frame_00001,data/images/frame_00001.npy,TRAIN,TRAIN,no,1,v40c_00002,orig_singleton_frame_00001
frame_00002,data/images/frame_00002.npy,TRAIN,TRAIN,no,1,v40c_00003,orig_rule_00003
frame_00003,data/images/frame_00003.npy,TRAIN,TRAIN,no,1,v40c_00003,orig_rule_00003
frame_00004,data/images/frame_00004.npy,TRAIN,TRAIN,no,1,v40c_00004,orig_singleton_frame_00004
frame_00005,data/images/frame_00005.npy,TRAIN,TRAIN,no,1,v40c_00005,orig_singleton_frame_00005
frame_00006,data/images/frame_00006.npy,TRAIN,TRAIN,no,1,v40c_00006,orig_singleton_frame_00006
frame_00007,data/images/frame_00007.npy,TRAIN,TRAIN,no,1,v40c_00007,orig_singleton_frame_00007
frame_00008,data/images/frame_00008.npy,TRAIN,TRAIN,no,1,v40c_00008,orig_singleton_frame_00008
frame_00009,data/images/frame_00009.npy,TRAIN,TRAIN,no,1,v40c_00009,orig_rule_00009
frame_00010,data/images/frame_00010.npy,TRAIN,TRAIN,no,1,v40c_00009,orig_rule_00009
frame_00011,data/images/frame_00011.npy,TRAIN,TRAIN,no,1,v40c_00009,orig_rule_00009
frame_00012,data/images/frame_00012.npy,TRAIN,TRAIN,no,1,v40c_00010,orig_singleton_frame_00012
frame_00013,data/images/frame_00013.npy,TRAIN,TRAIN,no,1,v40c_00011,orig_singleton_frame_00013
frame_00014,data/images/frame_00014.npy,TRAIN,TRAIN,no,1,v40c_00012,orig_rule_00012
frame_00015,data/images/frame_00015.npy,TRAIN,TRAIN,no,0,v40c_00012,orig_rule_00012
frame_00016,data/images/frame_00016.npy,TRAIN,TRAIN,no,0,v40c_00013,orig_rule_00013
frame_00017,data/images/frame_00017.npy,TRAIN,TRAIN,no,0,v40c_00013,orig_rule_00013
frame_00018,data/images/frame_00018.npy,TRAIN,TRAIN,no,0,v40c_00013,orig_rule_00013
frame_00019,data/images/frame_00019.npy,TRAIN,TRAIN,no,0,v40c_00013,orig_rule_00013
frame_00020,data/images/frame_00020.npy,TRAIN,TRAIN,no,0,v40c_00013,orig_rule_00013
frame_00021,data/images/frame_00021.npy,TRAIN,TRAIN,no,0,v40c_00014,orig_singleton_frame_00021
frame_00022,data/images/frame_00022.npy,TRAIN,TRAIN,no,0,v40c_00015,orig_singleton_frame_00022
frame_00023,data/images/frame_00023.npy,TRAIN,TRAIN,no,0,v40c_00016,orig_rule_00016
frame_00024,data/images/frame_00024.npy,TRAIN,TRAIN,no,0,v40c_00016,orig_rule_00016
frame_00025,data/images/frame_00025.npy,TRAIN,TRAIN,no,0,v40c_00017,orig_singleton_frame_00025
frame_00026,data/images/frame_00026.npy,TRAIN,TRAIN,no,0,v40c_00018,orig_singleton_frame_00026
frame_00027,data/images/frame_00027.npy,TRAIN,TRAIN,no,0,v40c_00019,orig_rule_00019
frame_00028,data/images/frame_00028.npy,TRAIN,TRAIN,no,0,v40c_00019,orig_rule_00019
frame_00029,data/images/frame_00029.npy,TRAIN,TRAIN,no,0,v40c_00020,orig_singleton_frame_00029
frame_00030,data/images/frame_00030.npy,TRAIN,TRAIN,no,0,v40c_00021,orig_singleton_frame_00030
frame_00031,data/images/frame_00031.npy,TRAIN,TRAIN,no,0,v40c_00022,orig_rule_00022
frame_00032,data/images/frame_00032.npy,TRAIN,TRAIN,no,0,v40c_00022,orig_rule_00022
frame_00033,data/images/frame_00033.npy,TRAIN,TRAIN,no,0,v40c_00023,orig_singleton_frame_00033
frame_00034,data/images/frame_00034.npy,TRAIN,TRAIN,no,0,v40c_00024,orig_singleton_frame_00034
frame_00035,data/images/frame_00035.npy,TRAIN,TRAIN,no,0,v40c_00025,orig_singleton_frame_00035
frame_00036,data/images/frame_00036.npy,TRAIN,TRAIN,no,0,v40c_00026,orig_singleton_frame_00036
frame_00037,data/images/frame_00037.npy,TRAIN,TRAIN,no,0,v40c_00027,orig_singleton_frame_00037
frame_00038,data/images/frame_00038.npy,TRAIN,TRAIN,no,0,v40c_00028,orig_singleton_frame_00038
frame_00039,data/images/frame_00039.npy,TRAIN,TRAIN,no,0,v40c_00029,orig_singleton_frame_00039
frame_00040,data/images/frame_00040.npy,TRAIN,TRAIN,no,0,v40c_00030,orig_singleton_frame_00040
frame_00041,data/images/frame_00041.npy,TRAIN,TRAIN,no,0,v40c_00031,orig_singleton_frame_00041
frame_00042,data/images/frame_00042.npy,TRAIN,TRAIN,no,0,v40c_00032,orig_singleton_frame_00042
frame_00043,data/images/frame_00043.npy,TRAIN,TRAIN,no,0,v40c_00033,orig_rule_00033
frame_00044,data/images/frame_00044.npy,TRAIN,TRAIN,no,0,v40c_00033,orig_rule_00033
frame_00045,data/images/frame_00045.npy,TRAIN,TRAIN,no,0,v40c_00034,orig_singleton_frame_00045
frame_00046,data/images/frame_00046.npy,TRAIN,TRAIN,no,0,v40c_00035,orig_singleton_frame_00046
frame_00047,data/images/frame_00047.npy,TRAIN,TRAIN,no,0,v40c_00036,orig_singleton_frame_00047
frame_00048,data/images/frame_00048.npy,TRAIN,TRAIN,no,0,v40c_00037,orig_singleton_frame_00048
frame_00049,data/images/frame_00049.npy,TRAIN,TRAIN,no,0,v40c_00038,orig_singleton_frame_00049
frame_00050,data/images/frame_00050.npy,TRAIN,TRAIN,no,0,v40c_00039,orig_singleton_frame_00050
frame_00051,data/images/frame_00051.npy,TRAIN,TRAIN,no,0,v40c_00040,orig_rule_00040
frame_00052,data/images/frame_00052.npy,TRAIN,TRAIN,no,0,v40c_00040,orig_rule_00040
frame_00053,data/images/frame_00053.npy,TRAIN,TRAIN,no,0,v40c_00040,orig_rule_00040
frame_00054,data/images/frame_00054.npy,TRAIN,TRAIN,no,0,v40c_00041,orig_singleton_frame_00054
frame_00055,data/images/frame_00055.npy,TRAIN,TRAIN,no,0,v40c_00042,orig_singleton_frame_00055
frame_00056,data/images/frame_00056.npy,TRAIN,TRAIN,no,0,v40c_00043,orig_rule_00043
frame_00057,data/images/frame_00057.npy,TRAIN,TRAIN,no,0,v40c_00043,orig_rule_00043
frame_00058,data/images/frame_00058.npy,TRAIN,TRAIN,no,0,v40c_00044,orig_rule_00044
frame_00059,data/images/frame_00059.npy,TRAIN,TRAIN,no,0,v40c_00044,orig_rule_00044
frame_00060,data/images/frame_00060.npy,TRAIN,TRAIN,no,1,v40c_00045,orig_singleton_frame_00060
frame_00061,data/images/frame_00061.npy,TRAIN,TRAIN,no,1,v40c_00046,orig_singleton_frame_00061
frame_00062,data/images/frame_00062.npy,TRAIN,TRAIN,no,1,v40c_00047,orig_singleton_frame_00062
frame_00063,data/images/frame_00063.npy,TRAIN,TRAIN,no,1,v40c_00048,orig_singleton_frame_00063
frame_00064,data/images/frame_00064.npy,TRAIN,TRAIN,no,1,v40c_00049,orig_singleton_frame_00064
frame_00065,data/images/frame_00065.npy,TRAIN,TRAIN,no,1,v40c_00050,orig_singleton_frame_00065
frame_00066,data/images/frame_00066.npy,TRAIN,TRAIN,no,1,v40c_00051,orig_rule_00051
frame_00067,data/images/frame_00067.npy,TRAIN,TRAIN,no,2,v40c_00051,orig_rule_00051
