seed,metric,rgb_thermal,rgb_thermal_event,tri_modal_minus_two_modal
0,ap50_95,0.722269603,0.711244755,-0.011024848
1,ap50_95,0.667749468,0.733413135,0.065663667
2,ap50_95,0.683710835,0.730785651,0.047074816
0,ap50,0.946139406,0.947746927,0.001607521
1,ap50,0.948840213,0.947670332,-0.001169880
2,ap50,0.943248379,0.947222837,0.003974458
0,ap75,0.868766984,0.866163602,-0.002603383
1,ap75,0.826782613,0.882399440,0.055616828
2,ap75,0.827133669,0.873939337,0.046805668
0,ar100,0.793523095,0.780364752,-0.013158343
1,ar100,0.749343787,0.797528550,0.048184762
2,ar100,0.759042100,0.797119482,0.038077382
