sample_id_a,sample_id_b,smaller_side_images,larger_side_images
frame_02037,frame_02038,2038,2039
frame_02038,frame_02039,2038,2039
frame_02036,frame_02037,2037,2040
frame_02039,frame_02040,2037,2040
frame_02035,frame_02036,2036,2041
frame_02040,frame_02041,2036,2041
frame_02034,frame_02035,2035,2042
frame_02041,frame_02042,2035,2042
frame_02033,frame_02034,2034,2043
frame_02042,frame_02043,2034,2043
frame_02032,frame_02033,2033,2044
frame_02043,frame_02044,2033,2044
frame_02031,frame_02032,2032,2045
frame_02044,frame_02045,2032,2045
frame_02030,frame_02031,2031,2046
frame_02045,frame_02046,2031,2046
frame_02029,frame_02030,2030,2047
frame_02046,frame_02047,2030,2047
frame_02028,frame_02029,2029,2048
frame_02047,frame_02048,2029,2048
frame_02027,frame_02028,2028,2049
frame_02048,frame_02049,2028,2049
frame_02026,frame_02027,2027,2050
frame_02049,frame_02050,2027,2050
frame_02025,frame_02026,2026,2051
frame_02050,frame_02051,2026,2051
frame_02024,frame_02025,2025,2052
frame_02051,frame_02052,2025,2052
frame_02023,frame_02024,2024,2053
frame_02052,frame_02053,2024,2053
frame_02022,frame_02023,2023,2054
frame_02053,frame_02054,2023,2054
frame_02021,frame_02022,2022,2055
frame_02054,frame_02055,2022,2055
frame_02020,frame_02021,2021,2056
frame_02055,frame_02056,2021,2056
frame_02019,frame_02020,2020,2057
frame_02056,frame_02057,2020,2057
frame_02018,frame_02019,2019,2058
frame_02057,frame_02058,2019,2058
frame_02017,frame_02018,2018,2059
frame_02058,frame_02059,2018,2059
frame_02016,frame_02017,2017,2060
frame_02059,frame_02060,2017,2060
frame_02015,frame_02016,2016,2061
frame_02060,frame_02061,2016,2061
frame_02014,frame_02015,2015,2062
frame_02061,frame_02062,2015,2062
frame_02013,frame_02014,2014,2063
frame_02062,frame_02063,2014,2063
frame_02012,frame_02013,2013,2064
frame_02063,frame_02064,2013,2064
frame_02011,frame_02012,2012,2065
frame_02064,frame_02065,2012,2065
frame_02010,frame_02011,2011,2066
frame_02065,frame_02066,2011,2066
frame_02009,frame_02010,2010,2067
frame_02066,frame_02067,2010,2067
frame_02008,frame_02009,2009,2068
frame_02067,frame_02068,2009,2068
frame_02007,frame_02008,2008,2069
frame_02068,frame_02069,2008,2069
frame_02006,frame_02007,2007,2070
frame_02069,frame_02070,2007,2070
frame_02005,frame_02006,2006,2071
frame_02070,frame_02071,2006,2071
frame_02004,frame_02005,2005,2072
frame_02071,frame_02072,2005,2072
frame_02003,frame_02004,2004,2073
frame_02072,frame_02073,2004,2073
frame_02002,frame_02003,2003,2074
frame_02073,frame_02074,2003,2074
frame_02001,frame_02002,2002,2075
frame_02074,frame_02075,2002,2075
frame_02000,frame_02001,2001,2076
frame_02075,frame_02076,2001,2076
frame_01999,frame_02000,2000,2077
frame_02076,frame_02077,2000,2077
frame_01998,frame_01999,1999,2078
frame_02077,frame_02078,1999,2078
frame_01997,frame_01998,1998,2079
frame_02078,frame_02079,1998,2079
frame_01996,frame_01997,1997,2080
frame_02079,frame_02080,1997,2080
frame_01995,frame_01996,1996,2081
frame_02080,frame_02081,1996,2081
frame_01994,frame_01995,1995,2082
frame_02081,frame_02082,1995,2082
frame_01993,frame_01994,1994,2083
frame_02082,frame_02083,1994,2083
frame_01992,frame_01993,1993,2084
frame_02083,frame_02084,1993,2084
frame_01991,frame_01992,1992,2085
frame_02084,frame_02085,1992,2085
frame_01990,frame_01991,1991,2086
frame_02085,frame_02086,1991,2086
frame_01989,frame_01990,1990,2087
frame_02086,frame_02087,1990,2087
frame_01988,frame_01989,1989,2088
frame_02087,frame_02088,1989,2088
frame_01987,frame_01988,1988,2089
frame_02088,frame_02089,1988,2089
frame_01986,frame_01987,1987,2090
frame_02089,frame_02090,1987,2090
frame_01985,frame_01986,1986,2091
frame_02090,frame_02091,1986,2091
frame_01984,frame_01985,1985,2092
frame_02091,frame_02092,1985,2092
frame_01983,frame_01984,1984,2093
frame_02092,frame_02093,1984,2093
frame_01982,frame_01983,1983,2094
frame_02093,frame_02094,1983,2094
frame_01981,frame_01982,1982,2095
frame_02094,frame_02095,1982,2095
frame_01980,frame_01981,1981,2096
frame_02095,frame_02096,1981,2096
frame_01979,frame_01980,1980,2097
frame_02096,frame_02097,1980,2097
frame_01978,frame_01979,1979,2098
frame_02097,frame_02098,1979,2098
frame_01977,frame_01978,1978,2099
frame_02098,frame_02099,1978,2099
frame_01976,frame_01977,1977,2100
frame_02099,frame_02100,1977,2100
frame_01975,frame_01976,1976,2101
frame_02100,frame_02101,1976,2101
frame_01974,frame_01975,1975,2102
frame_02101,frame_02102,1975,2102
frame_01973,frame_01974,1974,2103
frame_02102,frame_02103,1974,2103
frame_01972,frame_01973,1973,2104
frame_02103,frame_02104,1973,2104
frame_01971,frame_01972,1972,2105
frame_02104,frame_02105,1972,2105
frame_01970,frame_01971,1971,2106
frame_02105,frame_02106,1971,2106
frame_01969,frame_01970,1970,2107
frame_02106,frame_02107,1970,2107
frame_01968,frame_01969,1969,2108
frame_02107,frame_02108,1969,2108
frame_01967,frame_01968,1968,2109
frame_02108,frame_02109,1968,2109
frame_01966,frame_01967,1967,2110
frame_02109,frame_02110,1967,2110
frame_01965,frame_01966,1966,2111
frame_02110,frame_02111,1966,2111
frame_01964,frame_01965,1965,2112
frame_02111,frame_02112,1965,2112
frame_01963,frame_01964,1964,2113
frame_02112,frame_02113,1964,2113
frame_01962,frame_01963,1963,2114
frame_02113,frame_02114,1963,2114
frame_01961,frame_01962,1962,2115
frame_02114,frame_02115,1962,2115
frame_01960,frame_01961,1961,2116
frame_02115,frame_02116,1961,2116
frame_01959,frame_01960,1960,2117
frame_02116,frame_02117,1960,2117
frame_01958,frame_01959,1959,2118
frame_02117,frame_02118,1959,2118
frame_01957,frame_01958,1958,2119
frame_02118,frame_02119,1958,2119
frame_01956,frame_01957,1957,2120
frame_02119,frame_02120,1957,2120
frame_01955,frame_01956,1956,2121
frame_02120,frame_02121,1956,2121
frame_01954,frame_01955,1955,2122
frame_02121,frame_02122,1955,2122
frame_01953,frame_01954,1954,2123
frame_02122,frame_02123,1954,2123
frame_01952,frame_01953,1953,2124
frame_02123,frame_02124,1953,2124
frame_01951,frame_01952,1952,2125
frame_02124,frame_02125,1952,2125
frame_01950,frame_01951,1951,2126
frame_02125,frame_02126,1951,2126
frame_01949,frame_01950,1950,2127
frame_02126,frame_02127,1950,2127
frame_01948,frame_01949,1949,2128
frame_02127,frame_02128,1949,2128
frame_01947,frame_01948,1948,2129
frame_02128,frame_02129,1948,2129
frame_01946,frame_01947,1947,2130
frame_02129,frame_02130,1947,2130
frame_01945,frame_01946,1946,2131
frame_02130,frame_02131,1946,2131
