sample_id_a,sample_id_b,sources,proxy_group_id,outer_fold
frame_00000,frame_00001,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00001,frame_00002,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00002,frame_00003,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00003,frame_00004,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00004,frame_00005,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00005,frame_00006,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00006,frame_00007,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00007,frame_00008,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00008,frame_00009,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00009,frame_00010,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00010,frame_00011,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00011,frame_00012,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00012,frame_00013,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00013,frame_00014,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00014,frame_00015,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00015,frame_00016,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00016,frame_00017,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00017,frame_00018,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00018,frame_00019,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00019,frame_00020,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00020,frame_00021,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00021,frame_00022,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00022,frame_00023,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00023,frame_00024,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00024,frame_00025,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00025,frame_00026,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00026,frame_00027,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00027,frame_00028,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00028,frame_00029,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00029,frame_00030,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00030,frame_00031,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00031,frame_00032,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00032,frame_00033,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00033,frame_00034,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00034,frame_00035,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00035,frame_00036,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00036,frame_00037,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00037,frame_00038,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00038,frame_00039,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00039,frame_00040,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00040,frame_00041,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00041,frame_00042,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00042,frame_00043,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00043,frame_00044,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00044,frame_00045,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00045,frame_00046,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00046,frame_00047,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00047,frame_00048,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00048,frame_00049,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00049,frame_00050,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00050,frame_00051,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00051,frame_00052,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00052,frame_00053,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00053,frame_00054,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00054,frame_00055,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00055,frame_00056,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00056,frame_00057,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00057,frame_00058,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00058,frame_00059,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00059,frame_00060,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00060,frame_00061,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00061,frame_00062,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00062,frame_00063,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00063,frame_00064,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00064,frame_00065,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00065,frame_00066,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00066,frame_00067,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00067,frame_00068,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00068,frame_00069,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00069,frame_00070,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00070,frame_00071,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00071,frame_00072,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00072,frame_00073,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00073,frame_00074,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00074,frame_00075,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00075,frame_00076,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00076,frame_00077,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00077,frame_00078,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00078,frame_00079,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00079,frame_00080,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00080,frame_00081,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00081,frame_00082,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00082,frame_00083,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00083,frame_00084,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00084,frame_00085,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00085,frame_00086,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00086,frame_00087,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00087,frame_00088,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00088,frame_00089,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00089,frame_00090,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00090,frame_00091,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00091,frame_00092,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00092,frame_00093,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00093,frame_00094,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00094,frame_00095,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00095,frame_00096,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00096,frame_00097,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00097,frame_00098,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00098,frame_00099,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00099,frame_00100,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00100,frame_00101,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00101,frame_00102,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00102,frame_00103,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00103,frame_00104,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00104,frame_00105,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00105,frame_00106,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00106,frame_00107,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00107,frame_00108,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00108,frame_00109,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00109,frame_00110,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00110,frame_00111,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00111,frame_00112,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00112,frame_00113,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00113,frame_00114,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00114,frame_00115,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00115,frame_00116,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00116,frame_00117,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00117,frame_00118,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00118,frame_00119,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00119,frame_00120,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00120,frame_00121,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00121,frame_00122,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00122,frame_00123,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00123,frame_00124,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00124,frame_00125,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00125,frame_00126,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00126,frame_00127,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00127,frame_00128,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00128,frame_00129,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00129,frame_00130,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00130,frame_00131,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00131,frame_00132,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00132,frame_00133,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00133,frame_00134,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00134,frame_00135,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00135,frame_00136,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00136,frame_00137,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00137,frame_00138,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00138,frame_00139,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00139,frame_00140,same_family_consecutive_id_gap_le_16,V86PG0001,0
frame_00140,frame_00141,same_family_consecutive_id_gap_le_16,V86PG0001,0
