sample_id_a,sample_id_b,sources,proxy_group_id,outer_fold
nframe_00748,nframe_00749,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00755,nframe_00756,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00772,nframe_00773,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00777,nframe_00778,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00779,nframe_00780,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00807,nframe_00808,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00814,nframe_00815,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00824,nframe_00825,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00833,nframe_00834,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00836,nframe_00837,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00845,nframe_00846,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00848,nframe_00849,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00884,nframe_00885,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00887,nframe_00888,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00902,nframe_00903,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00922,nframe_00923,exact_decoded_rgb_sha256,V86PG0003,1
nframe_00928,nframe_00929,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01007,nframe_01008,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01019,nframe_01020,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01043,nframe_01044,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01054,nframe_01055,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01077,nframe_01078,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01124,nframe_01125,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01137,nframe_01138,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01139,nframe_01140,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01147,nframe_01148,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01155,nframe_01156,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01186,nframe_01187,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01189,nframe_01190,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01191,nframe_01192,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01196,nframe_01197,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01199,nframe_01200,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01214,nframe_01215,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01217,nframe_01218,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01230,nframe_01231,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01236,nframe_01237,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01239,nframe_01240,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01249,nframe_01250,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01269,nframe_01270,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01281,nframe_01282,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01294,nframe_01295,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01300,nframe_01301,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01305,nframe_01306,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01334,nframe_01335,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01347,nframe_01348,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01352,nframe_01353,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01359,nframe_01360,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01375,nframe_01376,exact_decoded_rgb_sha256,V86PG0003,1
nframe_01377,nframe_01378,exact_decoded_rgb_sha256,V86PG0003,1
