sample_id,proxy_group_id,outer_fold,family,numeric_id,gt_boxes,zero_target
frame_00000,V86PG0001,0,frame,0,1,0
frame_00001,V86PG0001,0,frame,1,1,0
frame_00002,V86PG0001,0,frame,2,1,0
frame_00003,V86PG0001,0,frame,3,1,0
frame_00004,V86PG0001,0,frame,4,1,0
frame_00005,V86PG0001,0,frame,5,1,0
frame_00006,V86PG0001,0,frame,6,1,0
frame_00007,V86PG0001,0,frame,7,1,0
frame_00008,V86PG0001,0,frame,8,1,0
frame_00009,V86PG0001,0,frame,9,1,0
frame_00010,V86PG0001,0,frame,10,1,0
frame_00011,V86PG0001,0,frame,11,1,0
frame_00012,V86PG0001,0,frame,12,1,0
frame_00013,V86PG0001,0,frame,13,1,0
frame_00014,V86PG0001,0,frame,14,1,0
frame_00015,V86PG0001,0,frame,15,0,1
frame_00016,V86PG0001,0,frame,16,0,1
frame_00017,V86PG0001,0,frame,17,0,1
frame_00018,V86PG0001,0,frame,18,0,1
frame_00019,V86PG0001,0,frame,19,0,1
frame_00020,V86PG0001,0,frame,20,0,1
frame_00021,V86PG0001,0,frame,21,0,1
frame_00022,V86PG0001,0,frame,22,0,1
frame_00023,V86PG0001,0,frame,23,0,1
frame_00024,V86PG0001,0,frame,24,0,1
frame_00025,V86PG0001,0,frame,25,0,1
frame_00026,V86PG0001,0,frame,26,0,1
frame_00027,V86PG0001,0,frame,27,0,1
frame_00028,V86PG0001,0,frame,28,0,1
frame_00029,V86PG0001,0,frame,29,0,1
frame_00030,V86PG0001,0,frame,30,0,1
frame_00031,V86PG0001,0,frame,31,0,1
frame_00032,V86PG0001,0,frame,32,0,1
frame_00033,V86PG0001,0,frame,33,0,1
frame_00034,V86PG0001,0,frame,34,0,1
frame_00035,V86PG0001,0,frame,35,0,1
frame_00036,V86PG0001,0,frame,36,0,1
frame_00037,V86PG0001,0,frame,37,0,1
frame_00038,V86PG0001,0,frame,38,0,1
frame_00039,V86PG0001,0,frame,39,0,1
frame_00040,V86PG0001,0,frame,40,0,1
frame_00041,V86PG0001,0,frame,41,0,1
frame_00042,V86PG0001,0,frame,42,0,1
frame_00043,V86PG0001,0,frame,43,0,1
frame_00044,V86PG0001,0,frame,44,0,1
frame_00045,V86PG0001,0,frame,45,0,1
frame_00046,V86PG0001,0,frame,46,0,1
frame_00047,V86PG0001,0,frame,47,0,1
frame_00048,V86PG0001,0,frame,48,0,1
frame_00049,V86PG0001,0,frame,49,0,1
frame_00050,V86PG0001,0,frame,50,0,1
frame_00051,V86PG0001,0,frame,51,0,1
frame_00052,V86PG0001,0,frame,52,0,1
frame_00053,V86PG0001,0,frame,53,0,1
frame_00054,V86PG0001,0,frame,54,0,1
frame_00055,V86PG0001,0,frame,55,0,1
frame_00056,V86PG0001,0,frame,56,0,1
frame_00057,V86PG0001,0,frame,57,0,1
frame_00058,V86PG0001,0,frame,58,0,1
frame_00059,V86PG0001,0,frame,59,0,1
frame_00060,V86PG0001,0,frame,60,1,0
frame_00061,V86PG0001,0,frame,61,1,0
frame_00062,V86PG0001,0,frame,62,1,0
frame_00063,V86PG0001,0,frame,63,1,0
frame_00064,V86PG0001,0,frame,64,1,0
frame_00065,V86PG0001,0,frame,65,1,0
frame_00066,V86PG0001,0,frame,66,1,0
frame_00067,V86PG0001,0,frame,67,2,0
frame_00068,V86PG0001,0,frame,68,2,0
frame_00069,V86PG0001,0,frame,69,2,0
frame_00070,V86PG0001,0,frame,70,2,0
frame_00071,V86PG0001,0,frame,71,2,0
frame_00072,V86PG0001,0,frame,72,2,0
frame_00073,V86PG0001,0,frame,73,2,0
frame_00074,V86PG0001,0,frame,74,3,0
frame_00075,V86PG0001,0,frame,75,3,0
frame_00076,V86PG0001,0,frame,76,2,0
frame_00077,V86PG0001,0,frame,77,2,0
frame_00078,V86PG0001,0,frame,78,2,0
frame_00079,V86PG0001,0,frame,79,2,0
frame_00080,V86PG0001,0,frame,80,2,0
frame_00081,V86PG0001,0,frame,81,2,0
frame_00082,V86PG0001,0,frame,82,2,0
frame_00083,V86PG0001,0,frame,83,2,0
frame_00084,V86PG0001,0,frame,84,2,0
frame_00085,V86PG0001,0,frame,85,1,0
frame_00086,V86PG0001,0,frame,86,1,0
frame_00087,V86PG0001,0,frame,87,2,0
frame_00088,V86PG0001,0,frame,88,2,0
frame_00089,V86PG0001,0,frame,89,2,0
frame_00090,V86PG0001,0,frame,90,2,0
frame_00091,V86PG0001,0,frame,91,3,0
frame_00092,V86PG0001,0,frame,92,3,0
frame_00093,V86PG0001,0,frame,93,3,0
frame_00094,V86PG0001,0,frame,94,3,0
frame_00095,V86PG0001,0,frame,95,3,0
frame_00096,V86PG0001,0,frame,96,3,0
frame_00097,V86PG0001,0,frame,97,3,0
frame_00098,V86PG0001,0,frame,98,3,0
frame_00099,V86PG0001,0,frame,99,3,0
frame_00100,V86PG0001,0,frame,100,3,0
frame_00101,V86PG0001,0,frame,101,2,0
frame_00102,V86PG0001,0,frame,102,2,0
frame_00103,V86PG0001,0,frame,103,2,0
frame_00104,V86PG0001,0,frame,104,2,0
frame_00105,V86PG0001,0,frame,105,2,0
frame_00106,V86PG0001,0,frame,106,2,0
frame_00107,V86PG0001,0,frame,107,2,0
frame_00108,V86PG0001,0,frame,108,2,0
frame_00109,V86PG0001,0,frame,109,2,0
frame_00110,V86PG0001,0,frame,110,2,0
frame_00111,V86PG0001,0,frame,111,2,0
frame_00112,V86PG0001,0,frame,112,2,0
frame_00113,V86PG0001,0,frame,113,2,0
frame_00114,V86PG0001,0,frame,114,2,0
frame_00115,V86PG0001,0,frame,115,2,0
frame_00116,V86PG0001,0,frame,116,2,0
frame_00117,V86PG0001,0,frame,117,2,0
frame_00118,V86PG0001,0,frame,118,2,0
frame_00119,V86PG0001,0,frame,119,2,0
frame_00120,V86PG0001,0,frame,120,2,0
frame_00121,V86PG0001,0,frame,121,2,0
frame_00122,V86PG0001,0,frame,122,2,0
frame_00123,V86PG0001,0,frame,123,2,0
frame_00124,V86PG0001,0,frame,124,2,0
frame_00125,V86PG0001,0,frame,125,2,0
frame_00126,V86PG0001,0,frame,126,3,0
frame_00127,V86PG0001,0,frame,127,2,0
frame_00128,V86PG0001,0,frame,128,2,0
frame_00129,V86PG0001,0,frame,129,2,0
frame_00130,V86PG0001,0,frame,130,3,0
frame_00131,V86PG0001,0,frame,131,2,0
frame_00132,V86PG0001,0,frame,132,4,0
frame_00133,V86PG0001,0,frame,133,4,0
frame_00134,V86PG0001,0,frame,134,4,0
frame_00135,V86PG0001,0,frame,135,4,0
frame_00136,V86PG0001,0,frame,136,4,0
frame_00137,V86PG0001,0,frame,137,4,0
frame_00138,V86PG0001,0,frame,138,4,0
frame_00139,V86PG0001,0,frame,139,4,0
frame_00140,V86PG0001,0,frame,140,4,0
frame_00141,V86PG0001,0,frame,141,4,0
frame_00142,V86PG0001,0,frame,142,4,0
frame_00143,V86PG0001,0,frame,143,4,0
frame_00144,V86PG0001,0,frame,144,3,0
frame_00145,V86PG0001,0,frame,145,3,0
frame_00146,V86PG0001,0,frame,146,3,0
frame_00147,V86PG0001,0,frame,147,3,0
frame_00148,V86PG0001,0,frame,148,3,0
frame_00149,V86PG0001,0,frame,149,3,0
frame_00150,V86PG0001,0,frame,150,3,0
frame_00151,V86PG0001,0,frame,151,3,0
frame_00152,V86PG0001,0,frame,152,3,0
frame_00153,V86PG0001,0,frame,153,4,0
frame_00154,V86PG0001,0,frame,154,4,0
frame_00155,V86PG0001,0,frame,155,4,0
frame_00156,V86PG0001,0,frame,156,4,0
frame_00157,V86PG0001,0,frame,157,4,0
frame_00158,V86PG0001,0,frame,158,4,0
frame_00159,V86PG0001,0,frame,159,4,0
frame_00160,V86PG0001,0,frame,160,4,0
frame_00161,V86PG0001,0,frame,161,4,0
frame_00162,V86PG0001,0,frame,162,4,0
frame_00163,V86PG0001,0,frame,163,4,0
frame_00164,V86PG0001,0,frame,164,4,0
frame_00165,V86PG0001,0,frame,165,4,0
frame_00166,V86PG0001,0,frame,166,4,0
frame_00167,V86PG0001,0,frame,167,3,0
frame_00168,V86PG0001,0,frame,168,3,0
frame_00169,V86PG0001,0,frame,169,3,0
frame_00170,V86PG0001,0,frame,170,3,0
frame_00171,V86PG0001,0,frame,171,3,0
frame_00172,V86PG0001,0,frame,172,3,0
frame_00173,V86PG0001,0,frame,173,3,0
frame_00174,V86PG0001,0,frame,174,3,0
frame_00175,V86PG0001,0,frame,175,3,0
frame_00176,V86PG0001,0,frame,176,3,0
frame_00177,V86PG0001,0,frame,177,3,0
frame_00178,V86PG0001,0,frame,178,3,0
frame_00179,V86PG0001,0,frame,179,4,0
frame_00180,V86PG0001,0,frame,180,3,0
frame_00181,V86PG0001,0,frame,181,4,0
frame_00182,V86PG0001,0,frame,182,3,0
frame_00183,V86PG0001,0,frame,183,3,0
frame_00184,V86PG0001,0,frame,184,3,0
frame_00185,V86PG0001,0,frame,185,3,0
frame_00186,V86PG0001,0,frame,186,3,0
frame_00187,V86PG0001,0,frame,187,3,0
frame_00188,V86PG0001,0,frame,188,3,0
frame_00189,V86PG0001,0,frame,189,3,0
frame_00190,V86PG0001,0,frame,190,3,0
frame_00191,V86PG0001,0,frame,191,3,0
frame_00192,V86PG0001,0,frame,192,3,0
frame_00193,V86PG0001,0,frame,193,2,0
frame_00194,V86PG0001,0,frame,194,2,0
frame_00195,V86PG0001,0,frame,195,3,0
frame_00196,V86PG0001,0,frame,196,3,0
frame_00197,V86PG0001,0,frame,197,3,0
frame_00198,V86PG0001,0,frame,198,3,0
frame_00199,V86PG0001,0,frame,199,3,0
frame_00200,V86PG0001,0,frame,200,2,0
frame_00201,V86PG0001,0,frame,201,2,0
frame_00202,V86PG0001,0,frame,202,2,0
frame_00203,V86PG0001,0,frame,203,2,0
frame_00204,V86PG0001,0,frame,204,2,0
frame_00205,V86PG0001,0,frame,205,2,0
frame_00206,V86PG0001,0,frame,206,2,0
frame_00207,V86PG0001,0,frame,207,2,0
frame_00208,V86PG0001,0,frame,208,2,0
frame_00209,V86PG0001,0,frame,209,2,0
frame_00210,V86PG0001,0,frame,210,2,0
frame_00211,V86PG0001,0,frame,211,1,0
frame_00212,V86PG0001,0,frame,212,0,1
frame_00213,V86PG0001,0,frame,213,0,1
frame_00214,V86PG0001,0,frame,214,0,1
frame_00215,V86PG0001,0,frame,215,1,0
frame_00216,V86PG0001,0,frame,216,1,0
frame_00217,V86PG0001,0,frame,217,0,1
frame_00218,V86PG0001,0,frame,218,0,1
frame_00219,V86PG0001,0,frame,219,1,0
frame_00220,V86PG0001,0,frame,220,1,0
frame_00221,V86PG0001,0,frame,221,1,0
frame_00222,V86PG0001,0,frame,222,1,0
frame_00223,V86PG0001,0,frame,223,1,0
frame_00224,V86PG0001,0,frame,224,1,0
frame_00225,V86PG0001,0,frame,225,1,0
frame_00226,V86PG0001,0,frame,226,1,0
frame_00227,V86PG0001,0,frame,227,1,0
frame_00228,V86PG0001,0,frame,228,1,0
frame_00229,V86PG0001,0,frame,229,1,0
frame_00230,V86PG0001,0,frame,230,1,0
frame_00231,V86PG0001,0,frame,231,1,0
frame_00232,V86PG0001,0,frame,232,1,0
frame_00233,V86PG0001,0,frame,233,1,0
frame_00234,V86PG0001,0,frame,234,1,0
frame_00235,V86PG0001,0,frame,235,1,0
frame_00236,V86PG0001,0,frame,236,1,0
frame_00237,V86PG0001,0,frame,237,2,0
frame_00238,V86PG0001,0,frame,238,1,0
frame_00239,V86PG0001,0,frame,239,1,0
frame_00240,V86PG0001,0,frame,240,1,0
frame_00241,V86PG0001,0,frame,241,1,0
frame_00242,V86PG0001,0,frame,242,1,0
frame_00243,V86PG0001,0,frame,243,1,0
frame_00244,V86PG0001,0,frame,244,1,0
frame_00245,V86PG0001,0,frame,245,1,0
frame_00246,V86PG0001,0,frame,246,1,0
frame_00247,V86PG0001,0,frame,247,1,0
frame_00248,V86PG0001,0,frame,248,1,0
frame_00249,V86PG0001,0,frame,249,1,0
frame_00250,V86PG0001,0,frame,250,1,0
frame_00251,V86PG0001,0,frame,251,1,0
frame_00252,V86PG0001,0,frame,252,1,0
frame_00253,V86PG0001,0,frame,253,1,0
frame_00254,V86PG0001,0,frame,254,0,1
frame_00255,V86PG0001,0,frame,255,0,1
frame_00256,V86PG0001,0,frame,256,0,1
frame_00257,V86PG0001,0,frame,257,0,1
frame_00258,V86PG0001,0,frame,258,0,1
frame_00259,V86PG0001,0,frame,259,0,1
frame_00260,V86PG0001,0,frame,260,0,1
frame_00261,V86PG0001,0,frame,261,0,1
frame_00262,V86PG0001,0,frame,262,0,1
frame_00263,V86PG0001,0,frame,263,0,1
frame_00264,V86PG0001,0,frame,264,0,1
frame_00265,V86PG0001,0,frame,265,0,1
frame_00266,V86PG0001,0,frame,266,0,1
frame_00267,V86PG0001,0,frame,267,0,1
frame_00268,V86PG0001,0,frame,268,0,1
frame_00269,V86PG0001,0,frame,269,0,1
frame_00270,V86PG0001,0,frame,270,0,1
frame_00271,V86PG0001,0,frame,271,0,1
frame_00272,V86PG0001,0,frame,272,0,1
frame_00273,V86PG0001,0,frame,273,0,1
frame_00274,V86PG0001,0,frame,274,0,1
frame_00275,V86PG0001,0,frame,275,1,0
frame_00276,V86PG0001,0,frame,276,0,1
frame_00277,V86PG0001,0,frame,277,1,0
frame_00278,V86PG0001,0,frame,278,2,0
frame_00279,V86PG0001,0,frame,279,2,0
frame_00280,V86PG0001,0,frame,280,4,0
frame_00281,V86PG0001,0,frame,281,7,0
frame_00282,V86PG0001,0,frame,282,7,0
frame_00283,V86PG0001,0,frame,283,3,0
frame_00284,V86PG0001,0,frame,284,2,0
frame_00285,V86PG0001,0,frame,285,2,0
frame_00286,V86PG0001,0,frame,286,2,0
frame_00287,V86PG0001,0,frame,287,0,1
frame_00288,V86PG0001,0,frame,288,1,0
frame_00289,V86PG0001,0,frame,289,1,0
frame_00290,V86PG0001,0,frame,290,1,0
frame_00291,V86PG0001,0,frame,291,1,0
frame_00292,V86PG0001,0,frame,292,0,1
frame_00293,V86PG0001,0,frame,293,0,1
frame_00294,V86PG0001,0,frame,294,0,1
frame_00295,V86PG0001,0,frame,295,0,1
frame_00296,V86PG0001,0,frame,296,0,1
frame_00297,V86PG0001,0,frame,297,0,1
frame_00298,V86PG0001,0,frame,298,1,0
frame_00299,V86PG0001,0,frame,299,0,1
frame_00300,V86PG0001,0,frame,300,0,1
frame_00301,V86PG0001,0,frame,301,1,0
frame_00302,V86PG0001,0,frame,302,1,0
frame_00303,V86PG0001,0,frame,303,0,1
frame_00304,V86PG0001,0,frame,304,1,0
frame_00305,V86PG0001,0,frame,305,1,0
frame_00306,V86PG0001,0,frame,306,0,1
frame_00307,V86PG0001,0,frame,307,0,1
frame_00308,V86PG0001,0,frame,308,0,1
frame_00309,V86PG0001,0,frame,309,0,1
frame_00310,V86PG0001,0,frame,310,0,1
frame_00311,V86PG0001,0,frame,311,0,1
frame_00312,V86PG0001,0,frame,312,0,1
frame_00313,V86PG0001,0,frame,313,0,1
frame_00314,V86PG0001,0,frame,314,1,0
frame_00315,V86PG0001,0,frame,315,1,0
frame_00316,V86PG0001,0,frame,316,1,0
frame_00317,V86PG0001,0,frame,317,1,0
frame_00318,V86PG0001,0,frame,318,1,0
frame_00319,V86PG0001,0,frame,319,1,0
frame_00320,V86PG0001,0,frame,320,1,0
frame_00321,V86PG0001,0,frame,321,1,0
frame_00322,V86PG0001,0,frame,322,1,0
frame_00323,V86PG0001,0,frame,323,0,1
frame_00324,V86PG0001,0,frame,324,1,0
frame_00325,V86PG0001,0,frame,325,1,0
frame_00326,V86PG0001,0,frame,326,1,0
