proxy_group_id,number_of_images,number_of_gt_boxes,zero_target_images,frame_images,nframe_images,first_sample_id,last_sample_id,outer_fold
V86PG0001,4077,11157,738,4077,0,frame_00000,frame_04076,0
V86PG0002,1,0,1,0,1,nframe_00619,nframe_00619,1
V86PG0003,1580,7630,0,0,1580,nframe_00710,nframe_02374,1
V86PG0004,532,1660,0,0,532,nframe_02419,nframe_02961,4
V86PG0005,1,1,0,0,1,nframe_03009,nframe_03009,3
V86PG0006,13,13,0,0,13,nframe_03066,nframe_03099,1
V86PG0007,1,1,0,0,1,nframe_03140,nframe_03140,2
V86PG0008,1,1,0,0,1,nframe_03193,nframe_03193,4
V86PG0009,261,436,0,0,261,nframe_03277,nframe_03541,2
V86PG0010,72,75,0,0,72,nframe_03628,nframe_03701,3
V86PG0011,1,1,0,0,1,nframe_03723,nframe_03723,1
V86PG0012,3,3,0,0,3,nframe_03740,nframe_03752,2
V86PG0013,25,25,0,0,25,nframe_03793,nframe_03819,2
V86PG0014,198,583,0,0,198,nframe_03836,nframe_04042,2
V86PG0015,25,30,0,0,25,nframe_04093,nframe_04132,3
V86PG0016,1,1,0,0,1,nframe_04200,nframe_04200,3
V86PG0017,328,661,0,0,328,nframe_04242,nframe_04606,3
V86PG0018,179,282,0,0,179,nframe_04671,nframe_04887,4
V86PG0019,5,5,0,0,5,nframe_04906,nframe_04914,1
V86PG0020,625,1419,0,0,625,nframe_04933,nframe_05564,3
V86PG0021,126,195,0,0,126,nframe_05599,nframe_05733,3
V86PG0022,2,2,0,0,2,nframe_05759,nframe_05760,3
V86PG0023,1,1,0,0,1,nframe_05806,nframe_05806,2
V86PG0024,194,433,0,0,194,nframe_06360,nframe_06583,3
V86PG0025,69,96,0,0,69,nframe_06601,nframe_06694,3
V86PG0026,46,46,0,0,46,nframe_06721,nframe_06810,4
V86PG0027,3,3,0,0,3,nframe_06900,nframe_06902,2
V86PG0028,96,131,0,0,96,nframe_06928,nframe_07042,2
V86PG0029,1,1,0,0,1,nframe_07061,nframe_07061,4
V86PG0030,140,243,0,0,140,nframe_07107,nframe_07262,4
V86PG0031,2,2,0,0,2,nframe_07303,nframe_07309,4
V86PG0032,686,1660,0,0,686,nframe_07344,nframe_08075,2
V86PG0033,564,2740,0,0,564,nframe_08176,nframe_08762,4
V86PG0034,1,1,0,0,1,nframe_08791,nframe_08791,1
V86PG0035,1,1,0,0,1,nframe_08847,nframe_08847,3
V86PG0036,175,319,0,0,175,nframe_08871,nframe_09071,2
V86PG0037,86,177,0,0,86,nframe_09095,nframe_09186,2
V86PG0038,67,69,0,0,67,nframe_09205,nframe_09307,2
V86PG0039,92,133,0,0,92,nframe_09331,nframe_09449,4
V86PG0040,11,22,0,0,11,nframe_09466,nframe_09490,3
V86PG0041,45,49,0,0,45,nframe_09542,nframe_09636,4
V86PG0042,148,322,0,0,148,nframe_09793,nframe_09956,3
V86PG0043,1,1,0,0,1,nframe_10765,nframe_10765,2
V86PG0044,2,2,0,0,2,nframe_10979,nframe_10994,1
V86PG0045,1,1,0,0,1,nframe_11134,nframe_11134,4
