component_id,allocated_split,rel_path,family,numeric_id,rgb_sha256,gt_boxes,component_size,component_provenance
C00026,guard,data/images/nframe_03066.npy,nframe,3066,e216e9990e0efdddb355b0b5595844bdd960e5483872f33d414b8ec4163ae99d,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03078.npy,nframe,3078,13bd807f9448dbedd77e566d8418d10d19947b50b1c722d9986573b5f275397f,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03079.npy,nframe,3079,52f5ad34ab6fdbf5b42b9d5baa2161b814e328134d3e3f2f4267a73034e5e42e,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03084.npy,nframe,3084,259ff8133fa299de1132969109447dcff198244dc1df452bf112ec342376257b,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03086.npy,nframe,3086,5f282c68882912abf2a30b9f38d4a1dd4da929e5a603c3f1c38aa0e7dd7d013c,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03092.npy,nframe,3092,c6795ebe7953022c3690d20b9635f863da5dd48f0e356fdc5b2c3904e2d130dd,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03093.npy,nframe,3093,cb7ebc6455782f44f150291c5428c2980be88d92d315eb70647f00f83ebec5c3,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03094.npy,nframe,3094,a0f86883f85da7562fc3d64fb12832013d7f3287ff2146c09a7ae937f054d559,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03095.npy,nframe,3095,7a701ae83ae63a57f0468cb9c91957b1601f416ecb8b818919fc5402e9f43cf7,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03096.npy,nframe,3096,7319433ad3a7162d9f4be019911557d0eb4191bca2edfec38bdc4eaebab36498,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03097.npy,nframe,3097,fc0a3051ea3e825ce6757329a2ef683cf19a5765227ad419298e622e14fc3b4c,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03098.npy,nframe,3098,7e7c7b8e33b8f53f44c118e55ed946ee65f2aee0efe36764a2ac4defba5d8611,1,13,nframe_distance_le_16
C00026,guard,data/images/nframe_03099.npy,nframe,3099,ca2fca30dcd9a29c625ca7b578729ddb87d94310f91efdeae9375c4c3b8de53d,1,13,nframe_distance_le_16
C00008,guard,data/images/nframe_03277.npy,nframe,3277,a75f99ca674ce4a9a8ca6a6250cc99e261c10d507b1d5412d7f46b14b5d42e67,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03278.npy,nframe,3278,adc3c1e5340a39302e6dc487afa7610271efe1c74381a9b672554a03c9c7fb38,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03279.npy,nframe,3279,525521dad20cb910a89a4d71fe97dfe4c39f0682b6ec3cc9dac3eb97291f2fdf,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03280.npy,nframe,3280,77edc3fb2d0e7da0a7c27394327b2da3496150764a9ece72c1f67100d7525871,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03281.npy,nframe,3281,5b4c14abd9a7efb7c47d483f40f4e703dc1c31b58e94ee1defc50f6480f1a2d8,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03282.npy,nframe,3282,413434e5646fa3cddcc0af4cf76d12b2f4dc0c5eff3c7905a0c4c96b2258be45,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03283.npy,nframe,3283,84574d9b0d8592dd7957e9280a366130a8f69c91597f165eb2c9afab852220a7,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03284.npy,nframe,3284,b3c5bf6c010b5f39f0f27455f6db46f9ae73129bdf69e7ffb7a3216ff7f48ce7,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03285.npy,nframe,3285,6af15062faa1cb2db651c068d9966e65442254e585baddc683dfa934fb07168c,1,261,exact_rgb_sha256;nframe_distance_le_16
C00008,guard,data/images/nframe_03286.npy,nframe,3286,d62cb3dc8136b5702cd4013d5e54315ef36d3f0a843638e3685cc6a33ff2caed,1,261,exact_rgb_sha256;nframe_distance_le_16
