rank,rgb_sha256,val_path,train_path,val_family,train_family,val_id,train_id,id_distance,rgb_sha256_equal,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes
1,01269e0f77a6be3f63cd189ffbc93f3a6dd8efd3fa25095557be7d28d09dcafa,data/images/nframe_07236.npy,data/images/nframe_07235.npy,nframe,nframe,7236,7235,1,True,0,0.000000,2,2
2,035a51ea352069b2b31c749453f84f0ec64b4b21a576bb28a126daea291b7e4e,data/images/nframe_09819.npy,data/images/nframe_09820.npy,nframe,nframe,9819,9820,1,True,0,0.000000,2,2
3,04b1c7cfc92c7f17ccfab326505e955cd06ea94aa85b68d4b0c50aa66490c17b,data/images/nframe_02176.npy,data/images/nframe_02175.npy,nframe,nframe,2176,2175,1,True,0,0.000000,5,5
4,0874d6acdf7cb96d539434b815422a079d928679e9db74a44d91229d9fc341fb,data/images/nframe_01439.npy,data/images/nframe_01438.npy,nframe,nframe,1439,1438,1,True,0,0.000000,11,11
5,0dabe5217b6f50596eb01ae4c271a71cbe28367c39e68f8a213ed162f42dc031,data/images/nframe_05529.npy,data/images/nframe_05530.npy,nframe,nframe,5529,5530,1,True,0,0.000000,2,3
6,0dc9ad35920fbd0bdee9f9cf32bb44c8c4b93f1a9ad603055d7845af7d240c70,data/images/nframe_07545.npy,data/images/nframe_07546.npy,nframe,nframe,7545,7546,1,True,0,0.000000,2,2
7,109d65387c3e45695c4e64e5314f9396fadb072d88307f5a7b49e8bb2a789ec6,data/images/nframe_01872.npy,data/images/nframe_01871.npy,nframe,nframe,1872,1871,1,True,0,0.000000,4,3
8,11adfb41edc2e1bb92611895109c7f74334bf990be92ebfe9f5c0d7864304407,data/images/nframe_07720.npy,data/images/nframe_07719.npy,nframe,nframe,7720,7719,1,True,0,0.000000,3,3
9,14aaae4e46849d33cd5aa0358732f221ca6e97a210d0a247fc0b8c35f4a9027e,data/images/nframe_01730.npy,data/images/nframe_01729.npy,nframe,nframe,1730,1729,1,True,0,0.000000,7,7
10,16386465564ae856a5d3fdf556fef609ae3641f64b88a1033ca8be7d604721d9,data/images/nframe_07425.npy,data/images/nframe_07424.npy,nframe,nframe,7425,7424,1,True,0,0.000000,4,4
11,17c3224eea202b979c88e0b67d81212e9c8bba44986697757e84bf16a6a94ba6,data/images/nframe_07824.npy,data/images/nframe_07823.npy,nframe,nframe,7824,7823,1,True,0,0.000000,2,2
12,1852dfda2e2051d4245ba354ef43fc2cc151d35702c4d5187d3919edeeb13912,data/images/nframe_07448.npy,data/images/nframe_07447.npy,nframe,nframe,7448,7447,1,True,0,0.000000,4,5
