rgb_sha256,train_count,val_count,total_count,train_gt_count_set,val_gt_count_set,gt_count_relation,min_id_distance,median_id_distance,min_train_id,max_train_id,min_val_id,max_val_id,families
01269e0f77a6be3f63cd189ffbc93f3a6dd8efd3fa25095557be7d28d09dcafa,1,1,2,2,2,identical,1,1,7235,7235,7236,7236,nframe
035a51ea352069b2b31c749453f84f0ec64b4b21a576bb28a126daea291b7e4e,1,1,2,2,2,identical,1,1,9820,9820,9819,9819,nframe
04b1c7cfc92c7f17ccfab326505e955cd06ea94aa85b68d4b0c50aa66490c17b,1,1,2,5,5,identical,1,1,2175,2175,2176,2176,nframe
0874d6acdf7cb96d539434b815422a079d928679e9db74a44d91229d9fc341fb,1,1,2,11,11,identical,1,1,1438,1438,1439,1439,nframe
0dabe5217b6f50596eb01ae4c271a71cbe28367c39e68f8a213ed162f42dc031,1,1,2,3,2,different,1,1,5530,5530,5529,5529,nframe
0dc9ad35920fbd0bdee9f9cf32bb44c8c4b93f1a9ad603055d7845af7d240c70,1,1,2,2,2,identical,1,1,7546,7546,7545,7545,nframe
109d65387c3e45695c4e64e5314f9396fadb072d88307f5a7b49e8bb2a789ec6,1,1,2,3,4,different,1,1,1871,1871,1872,1872,nframe
11adfb41edc2e1bb92611895109c7f74334bf990be92ebfe9f5c0d7864304407,1,1,2,3,3,identical,1,1,7719,7719,7720,7720,nframe
14aaae4e46849d33cd5aa0358732f221ca6e97a210d0a247fc0b8c35f4a9027e,1,1,2,7,7,identical,1,1,1729,1729,1730,1730,nframe
16386465564ae856a5d3fdf556fef609ae3641f64b88a1033ca8be7d604721d9,1,1,2,4,4,identical,1,1,7424,7424,7425,7425,nframe
17c3224eea202b979c88e0b67d81212e9c8bba44986697757e84bf16a6a94ba6,1,1,2,2,2,identical,1,1,7823,7823,7824,7824,nframe
1852dfda2e2051d4245ba354ef43fc2cc151d35702c4d5187d3919edeeb13912,1,1,2,5,4,different,1,1,7447,7447,7448,7448,nframe
19f8756cf70ca367c24f3128f2259ebc1b400e8466284dda21ee2bc87524d725,1,1,2,4,4,identical,1,1,8674,8674,8675,8675,nframe
19f9a973f0ea7a841408b0d84eefe35187cb5d07fe069894784462ce7a2dbb63,1,1,2,2,2,identical,1,1,3318,3318,3317,3317,nframe
1a8de6f722b7932548d9adc83020807b4fb5f40f59000c3911e4c99a23f57c02,1,1,2,1,1,identical,1,1,3518,3518,3517,3517,nframe
1ac57c397d2ae04600fb2d07ed9f880975d44c08212ba669b9db1f954fdf8ba0,1,1,2,1,1,identical,1,1,5097,5097,5096,5096,nframe
