rank,val_path,train_path,val_id,train_id,id_distance,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes,manual_review
1,D:\download\triair\data\images\nframe_01992.npy,D:\download\triair\data\images\nframe_01993.npy,1992,1993,1,0,0.000000,3,3,
2,D:\download\triair\data\images\nframe_06568.npy,D:\download\triair\data\images\nframe_06569.npy,6568,6569,1,0,0.000000,1,1,
3,D:\download\triair\data\images\nframe_08408.npy,D:\download\triair\data\images\nframe_08407.npy,8408,8407,1,0,0.000000,5,5,
4,D:\download\triair\data\images\nframe_07956.npy,D:\download\triair\data\images\nframe_07957.npy,7956,7957,1,0,0.000000,2,2,
5,D:\download\triair\data\images\nframe_02472.npy,D:\download\triair\data\images\nframe_02473.npy,2472,2473,1,0,0.000000,4,4,
6,D:\download\triair\data\images\nframe_00777.npy,D:\download\triair\data\images\nframe_00778.npy,777,778,1,0,0.000000,1,1,
7,D:\download\triair\data\images\nframe_02115.npy,D:\download\triair\data\images\nframe_02114.npy,2115,2114,1,0,0.000000,4,4,
8,D:\download\triair\data\images\nframe_07005.npy,D:\download\triair\data\images\nframe_07006.npy,7005,7006,1,0,0.000000,1,1,
9,D:\download\triair\data\images\frame_00520.npy,D:\download\triair\data\images\frame_00519.npy,520,519,1,0,5.377222,0,0,
10,D:\download\triair\data\images\frame_00509.npy,D:\download\triair\data\images\frame_00508.npy,509,508,1,0,4.504530,0,0,
11,D:\download\triair\data\images\frame_00397.npy,D:\download\triair\data\images\frame_00392.npy,397,392,5,0,5.121524,0,0,
12,D:\download\triair\data\images\nframe_04679.npy,D:\download\triair\data\images\nframe_04680.npy,4679,4680,1,0,0.000000,1,1,
13,D:\download\triair\data\images\nframe_05621.npy,D:\download\triair\data\images\nframe_05622.npy,5621,5622,1,0,0.000000,1,1,
14,D:\download\triair\data\images\nframe_05263.npy,D:\download\triair\data\images\nframe_05262.npy,5263,5262,1,0,0.000000,3,3,
15,D:\download\triair\data\images\nframe_01730.npy,D:\download\triair\data\images\nframe_01729.npy,1730,1729,1,0,0.000000,7,7,
16,D:\download\triair\data\images\nframe_05233.npy,D:\download\triair\data\images\nframe_05234.npy,5233,5234,1,0,0.000000,3,2,
17,D:\download\triair\data\images\nframe_07545.npy,D:\download\triair\data\images\nframe_07546.npy,7545,7546,1,0,0.000000,2,2,
18,D:\download\triair\data\images\nframe_01878.npy,D:\download\triair\data\images\nframe_01879.npy,1878,1879,1,0,0.000000,2,2,
19,D:\download\triair\data\images\nframe_04754.npy,D:\download\triair\data\images\nframe_04755.npy,4754,4755,1,0,0.000000,2,2,
20,D:\download\triair\data\images\nframe_02869.npy,D:\download\triair\data\images\nframe_02870.npy,2869,2870,1,0,0.000000,1,2,
21,D:\download\triair\data\images\nframe_07647.npy,D:\download\triair\data\images\nframe_07648.npy,7647,7648,1,0,0.000000,4,3,
22,D:\download\triair\data\images\nframe_08049.npy,D:\download\triair\data\images\nframe_08048.npy,8049,8048,1,0,0.000000,1,1,
23,D:\download\triair\data\images\frame_00601.npy,D:\download\triair\data\images\frame_00614.npy,601,614,13,0,3.831803,0,0,
24,D:\download\triair\data\images\nframe_06630.npy,D:\download\triair\data\images\nframe_06629.npy,6630,6629,1,0,0.000000,1,1,
25,D:\download\triair\data\images\frame_00395.npy,D:\download\triair\data\images\frame_00394.npy,395,394,1,0,4.674529,0,0,
26,D:\download\triair\data\images\nframe_03317.npy,D:\download\triair\data\images\nframe_03318.npy,3317,3318,1,0,0.000000,2,2,
27,D:\download\triair\data\images\nframe_08914.npy,D:\download\triair\data\images\nframe_08915.npy,8914,8915,1,0,0.000000,2,2,
28,D:\download\triair\data\images\nframe_07176.npy,D:\download\triair\data\images\nframe_07175.npy,7176,7175,1,0,0.000000,3,3,
29,D:\download\triair\data\images\nframe_05269.npy,D:\download\triair\data\images\nframe_05268.npy,5269,5268,1,0,0.000000,3,3,
30,D:\download\triair\data\images\nframe_03534.npy,D:\download\triair\data\images\nframe_03533.npy,3534,3533,1,0,2.638599,1,1,
31,D:\download\triair\data\images\nframe_01872.npy,D:\download\triair\data\images\nframe_01871.npy,1872,1871,1,0,0.000000,4,3,
32,D:\download\triair\data\images\nframe_03364.npy,D:\download\triair\data\images\nframe_03363.npy,3364,3363,1,0,0.000000,2,2,
33,D:\download\triair\data\images\nframe_01444.npy,D:\download\triair\data\images\nframe_01445.npy,1444,1445,1,0,0.000000,12,11,
34,D:\download\triair\data\images\nframe_01214.npy,D:\download\triair\data\images\nframe_01215.npy,1214,1215,1,0,0.000000,4,4,
