Method,Model,Weights,Threshold,Precision,Recall,F1,AP50,AP75,GT boxes,Predictions,Mean Confidence
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.001,0.028841754051477597,0.9962133684557128,0.05606047972428361,0.9766198396682739,0.9288238883018494,6074,209800,0.1353464126586914
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.01,0.028841754051477597,0.9962133684557128,0.05606047972428361,0.9766198396682739,0.9288238883018494,6074,209800,0.1353464126586914
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.03,0.028841754051477597,0.9962133684557128,0.05606047972428361,0.9766198396682739,0.9288238883018494,6074,209800,0.1353464126586914
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.05,0.028841754051477597,0.9962133684557128,0.05606047972428361,0.9766198396682739,0.9288238883018494,6074,209800,0.1353464126586914
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.1,0.049930663320896754,0.9958840961475139,0.09509361588404522,0.9766198396682739,0.9288238883018494,6074,121148,0.1696183830499649
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.2,0.395112016293279,0.9901218307540336,0.5648274242779995,0.9766198396682739,0.9288238883018494,6074,15221,0.47234636545181274
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.3,0.722363482261775,0.9822192953572605,0.8324844763831717,0.9766198396682739,0.9288238883018494,6074,8259,0.6725414395332336
E0 Early Fusion,early,E:\RepViT-main\runs\E0_early_repvit_fcos_e50\weights\best.pt,0.5,0.9291325957992624,0.9540665130062562,0.941434489480952,0.9766198396682739,0.9288238883018494,6074,6237,0.7695829272270203
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.001,0.02886558627264061,0.9970365492262101,0.05610680304251554,0.9793174862861633,0.9476337432861328,6074,209800,0.12579505145549774
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.01,0.02886558627264061,0.9970365492262101,0.05610680304251554,0.9793174862861633,0.9476337432861328,6074,209800,0.12579505145549774
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.03,0.02886558627264061,0.9970365492262101,0.05610680304251554,0.9793174862861633,0.9476337432861328,6074,209800,0.12579505145549774
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.05,0.02886558627264061,0.9970365492262101,0.05610680304251554,0.9793174862861633,0.9476337432861328,6074,209800,0.12579505145549774
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.1,0.07231637067667376,0.9962133684557128,0.13484423051210054,0.9793174862861633,0.9476337432861328,6074,83674,0.19044817984104156
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.2,0.43361175115207373,0.9914389199868291,0.6033463580803526,0.9793174862861633,0.9476337432861328,6074,13888,0.5086655616760254
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.3,0.7279698149951315,0.984688837668752,0.8370888733379985,0.9793174862861633,0.9476337432861328,6074,8216,0.696990966796875
E1 Reliability Fusion,reliability,E:\RepViT-main\runs\E1_reliability_repvit_fcos_e50\weights\best.pt,0.5,0.9257206208425721,0.9622983207112282,0.9436551501453019,0.9793174862861633,0.9476337432861328,6074,6314,0.7949345707893372
E2 Reliability + Dropout 0.15,reliability,E:\RepViT-main\runs\E2_reliability_dropout015_repvit_fcos_e50\weights\best.pt,0.001,0.028836987607244995,0.9960487323016134,0.056051215060637226,0.9799898266792297,0.9509060382843018,6074,209800,0.13186495006084442
