rank,val_path,train_path,val_id,train_id,id_distance,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes,manual_review
1,D:\download\triair\data\images\frame_00419.npy,D:\download\triair\data\images\frame_00417.npy,419,417,2,0,6.281406,0,0,
2,D:\download\triair\data\images\frame_00418.npy,D:\download\triair\data\images\frame_00417.npy,418,417,1,2,6.339103,0,0,
3,D:\download\triair\data\images\frame_00420.npy,D:\download\triair\data\images\frame_00417.npy,420,417,3,2,6.636489,0,0,
4,D:\download\triair\data\images\frame_00421.npy,D:\download\triair\data\images\frame_00417.npy,421,417,4,2,8.117078,0,0,
5,D:\download\triair\data\images\frame_00422.npy,D:\download\triair\data\images\frame_00417.npy,422,417,5,2,7.697114,0,0,
6,D:\download\triair\data\images\nframe_06578.npy,D:\download\triair\data\images\nframe_06577.npy,6578,6577,1,2,3.565872,1,1,
7,D:\download\triair\data\images\nframe_06579.npy,D:\download\triair\data\images\nframe_06580.npy,6579,6580,1,2,4.527001,1,1,
8,D:\download\triair\data\images\nframe_06670.npy,D:\download\triair\data\images\nframe_09793.npy,6670,9793,3123,3,1.604612,1,1,
9,D:\download\triair\data\images\nframe_06671.npy,D:\download\triair\data\images\nframe_09793.npy,6671,9793,3122,3,1.604612,1,1,
10,D:\download\triair\data\images\frame_00423.npy,D:\download\triair\data\images\frame_00417.npy,423,417,6,4,8.154674,0,0,
11,D:\download\triair\data\images\frame_00429.npy,D:\download\triair\data\images\frame_00430.npy,429,430,1,4,7.507853,1,1,
12,D:\download\triair\data\images\nframe_01121.npy,D:\download\triair\data\images\nframe_01120.npy,1121,1120,1,4,1.175629,4,5,
13,D:\download\triair\data\images\frame_00490.npy,D:\download\triair\data\images\frame_00491.npy,490,491,1,6,12.215466,1,1,
14,D:\download\triair\data\images\frame_00494.npy,D:\download\triair\data\images\frame_00491.npy,494,491,3,6,12.021007,1,1,
15,D:\download\triair\data\images\nframe_01118.npy,D:\download\triair\data\images\nframe_01119.npy,1118,1119,1,6,1.269573,4,4,
16,D:\download\triair\data\images\nframe_01267.npy,D:\download\triair\data\images\nframe_01268.npy,1267,1268,1,6,0.653754,5,5,
17,D:\download\triair\data\images\nframe_03331.npy,D:\download\triair\data\images\nframe_03324.npy,3331,3324,7,6,3.150935,1,2,
18,D:\download\triair\data\images\nframe_03390.npy,D:\download\triair\data\images\nframe_03388.npy,3390,3388,2,6,4.066955,2,2,
19,D:\download\triair\data\images\nframe_03393.npy,D:\download\triair\data\images\nframe_03394.npy,3393,3394,1,6,5.503182,2,2,
20,D:\download\triair\data\images\nframe_03472.npy,D:\download\triair\data\images\nframe_03487.npy,3472,3487,15,6,3.346764,1,1,
21,D:\download\triair\data\images\nframe_04426.npy,D:\download\triair\data\images\nframe_04427.npy,4426,4427,1,6,4.304209,4,4,
22,D:\download\triair\data\images\nframe_07835.npy,D:\download\triair\data\images\nframe_07837.npy,7835,7837,2,6,3.324457,2,2,
23,D:\download\triair\data\images\nframe_07836.npy,D:\download\triair\data\images\nframe_07837.npy,7836,7837,1,6,3.324457,2,2,
24,D:\download\triair\data\images\nframe_09361.npy,D:\download\triair\data\images\nframe_09359.npy,9361,9359,2,6,2.169911,1,1,
25,D:\download\triair\data\images\frame_00424.npy,D:\download\triair\data\images\frame_00417.npy,424,417,7,8,9.897058,0,0,
26,D:\download\triair\data\images\frame_00425.npy,D:\download\triair\data\images\frame_00417.npy,425,417,8,8,9.402543,1,0,
27,D:\download\triair\data\images\frame_00428.npy,D:\download\triair\data\images\frame_00430.npy,428,430,2,8,8.254315,1,1,
28,D:\download\triair\data\images\frame_00502.npy,D:\download\triair\data\images\frame_00503.npy,502,503,1,8,10.182245,1,0,
29,D:\download\triair\data\images\frame_00511.npy,D:\download\triair\data\images\frame_00510.npy,511,510,1,8,15.820439,0,0,
30,D:\download\triair\data\images\nframe_02540.npy,D:\download\triair\data\images\nframe_02541.npy,2540,2541,1,8,1.392970,6,6,
31,D:\download\triair\data\images\nframe_03471.npy,D:\download\triair\data\images\nframe_03487.npy,3471,3487,16,8,4.527664,1,1,
32,D:\download\triair\data\images\nframe_03486.npy,D:\download\triair\data\images\nframe_03487.npy,3486,3487,1,8,3.922721,1,1,
33,D:\download\triair\data\images\nframe_04764.npy,D:\download\triair\data\images\nframe_04763.npy,4764,4763,1,8,4.051950,1,1,
34,D:\download\triair\data\images\nframe_04765.npy,D:\download\triair\data\images\nframe_04763.npy,4765,4763,2,8,4.051950,1,1,
35,D:\download\triair\data\images\nframe_07838.npy,D:\download\triair\data\images\nframe_07837.npy,7838,7837,1,8,3.980658,2,2,
36,D:\download\triair\data\images\nframe_09363.npy,D:\download\triair\data\images\nframe_09364.npy,9363,9364,1,8,1.441297,1,1,
37,D:\download\triair\data\images\frame_01318.npy,D:\download\triair\data\images\frame_01317.npy,1318,1317,1,10,15.126983,2,2,
38,D:\download\triair\data\images\frame_02515.npy,D:\download\triair\data\images\frame_02514.npy,2515,2514,1,10,18.130718,9,9,
39,D:\download\triair\data\images\nframe_01127.npy,D:\download\triair\data\images\nframe_01126.npy,1127,1126,1,10,1.595307,4,4,
40,D:\download\triair\data\images\nframe_02529.npy,D:\download\triair\data\images\nframe_02530.npy,2529,2530,1,10,1.086461,6,6,
41,D:\download\triair\data\images\nframe_02550.npy,D:\download\triair\data\images\nframe_02548.npy,2550,2548,2,10,1.277801,6,6,
42,D:\download\triair\data\images\nframe_02768.npy,D:\download\triair\data\images\nframe_02769.npy,2768,2769,1,10,4.388591,3,2,
43,D:\download\triair\data\images\nframe_03391.npy,D:\download\triair\data\images\nframe_03397.npy,3391,3397,6,10,6.280678,2,3,
44,D:\download\triair\data\images\nframe_03392.npy,D:\download\triair\data\images\nframe_03394.npy,3392,3394,2,10,6.877898,2,2,
45,D:\download\triair\data\images\nframe_03396.npy,D:\download\triair\data\images\nframe_03394.npy,3396,3394,2,10,7.242330,2,2,
46,D:\download\triair\data\images\nframe_03400.npy,D:\download\triair\data\images\nframe_03399.npy,3400,3399,1,10,5.328940,2,3,
47,D:\download\triair\data\images\nframe_03401.npy,D:\download\triair\data\images\nframe_03399.npy,3401,3399,2,10,5.328940,2,3,
48,D:\download\triair\data\images\nframe_03474.npy,D:\download\triair\data\images\nframe_03487.npy,3474,3487,13,10,3.949906,1,1,
49,D:\download\triair\data\images\nframe_03539.npy,D:\download\triair\data\images\nframe_03292.npy,3539,3292,247,10,18.147833,1,1,
50,D:\download\triair\data\images\nframe_04760.npy,D:\download\triair\data\images\nframe_04761.npy,4760,4761,1,10,4.373713,1,1,
