seed,Mode,Precision,Recall,F1,AP50,AP75,GT boxes,Predictions,Mean Confidence,FPS,Runtime Seconds,Detector Score Thr,Metric Score Thr,NMS Thr,Detections Per Img,Model,Seed,Weights,Checkpoint SHA256,Split File,Split SHA256,Git Commit,Python,PyTorch,Torchvision,timm,Torch CUDA,CUDA Available,GPU
0,full,0.872662798194713,0.8513917282591602,0.8618960439385497,0.9056950211524963,0.744196355342865,6359,6204,0.7185797516777775,24.90424638381056,88.86034798622131,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,no_rgb,0.8730923694779117,0.8546941342978456,0.8637952956134775,0.9097210764884949,0.7559321522712708,6359,6225,0.7198848958187792,25.24798042631394,87.65057492256165,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,no_thermal,0.6453430560159098,0.306180217015254,0.4153156996587031,0.3666667640209198,0.03716779500246048,6359,3017,0.5915404091933961,25.649296975225223,86.2791678905487,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,no_event,0.8699160748870239,0.8476175499292341,0.8586220629231381,0.8970897793769836,0.7263342142105103,6359,6196,0.7048285775333931,24.91113139936014,88.83578848838806,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,rgb_only,0.653156146179402,0.30916810819311213,0.4196819297683851,0.3698369562625885,0.03402248024940491,6359,3010,0.5935085071083716,25.466475967777598,86.89855647087097,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,thermal_only,0.8659728792179123,0.86365780783142,0.8648137941894339,0.9103756546974182,0.765856146812439,6359,6342,0.7086351286421361,25.367931698885116,87.23612260818481,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
0,event_only,0.0,0.0,0.0,0.009170855395495892,0.0001531789603177458,6359,9,0.5165962908003066,25.365155287689063,87.24567127227783,0.001,0.5,0.6,100,reliability,0,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed0_e50\weights\best.pt,077a2897eb03065d15aeb0b1d4427e6a9776c679f2045351005a777bf24f3420,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,full,0.8898076274046575,0.8292184305708444,0.8584452584452584,0.9044954776763916,0.7592968940734863,6359,5926,0.7376819592631833,25.93239190278737,85.33728814125061,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,no_rgb,0.8890927284856571,0.8383393615348326,0.862970457304735,0.9096768498420715,0.7678195834159851,6359,5996,0.7413185427115709,25.77544807928761,85.85689735412598,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,no_thermal,0.724034495688039,0.3036640981286366,0.42787502769776203,0.38826093077659607,0.04401981830596924,6359,2667,0.610818175573138,25.74610419228473,85.95475196838379,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,no_event,0.8884360672440142,0.8227708759238874,0.8543435662965382,0.900026798248291,0.7466081380844116,6359,5889,0.731247166397819,25.758995609293184,85.91173481941223,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,rgb_only,0.7114959469417833,0.3036640981286366,0.4256585473382564,0.38487330079078674,0.04307344928383827,6359,2714,0.611463976306079,25.941016718228962,85.30891537666321,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,thermal_only,0.8820049301561216,0.8440006290297216,0.8625843780135005,0.9096134901046753,0.7718762159347534,6359,6085,0.7366922501373604,25.641949488408425,86.30389046669006,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
2,event_only,0.39759036144578314,0.005189495203648372,0.010245265445513817,0.019155627116560936,0.0006094161653891206,6359,83,0.5275535274700947,25.821371351886672,85.70420098304749,0.001,0.5,0.6,100,reliability,2,E:\RepViT-main\runs\v40_component_disjoint\reliability_p020_seed2_e50\weights\best.pt,eeba2e02d79a92486618a60e01e90d70c39fb04885a20625eedb5217d154acf6,E:\RepViT-main\runs\component_disjoint_v40\val.txt,06d17e63b8a479a3344494332cc6156bfd08306bc6a00ae88173a8f4f1df7d23,548de1f23ac718e78ab6209fea52024cba3a0a25,3.9.21,2.5.1,0.20.1,1.0.22,12.4,True,NVIDIA GeForce RTX 3090
