contrast,minuend,subtrahend,seed,interpretation,delta_precision,delta_recall,delta_f1,delta_ap50_95,delta_ap50,delta_ap75,delta_ar100
ra_full_p015_minus_matched_early,ra_full_p015,matched_early,0,Development-validation full reliability-aware fusion minus matched early fusion.,0.024179500490280947,0.0017044486108743762,0.012637306196001452,0.022666102340231475,0.012856728345839286,0.05353910564982556,0.01365263337310385
ra_full_p015_minus_matched_early,ra_full_p015,matched_early,1,Development-validation full reliability-aware fusion minus matched early fusion.,0.017770347563678568,0.018067155275268476,0.017924745686502264,0.05910294338978517,0.013032924588182948,0.0826979018038152,0.04576444520197709
ra_full_p015_minus_matched_early,ra_full_p015,matched_early,2,Development-validation full reliability-aware fusion minus matched early fusion.,-0.007062041526793461,0.05369013124254307,0.02501030207970867,0.024282106041372042,0.022610394794747357,0.05529497487220758,0.014982103289585713
ra_no_moddrop_minus_matched_early,ra_no_moddrop,matched_early,0,Development-validation combination of separate stems and dynamic gate minus matched early fusion.,-0.005130648390273662,0.008351798193284465,0.00166208880898977,0.005938061121570581,0.006600570139093431,0.028376870970872936,0.0014828702914607694
ra_no_moddrop_minus_matched_early,ra_no_moddrop,matched_early,1,Development-validation combination of separate stems and dynamic gate minus matched early fusion.,0.07475713978523923,-0.04465655360490872,0.014457013067206703,0.06962060336209741,0.00916545588728368,0.09082200054449352,0.05213908300664738
ra_no_moddrop_minus_matched_early,ra_no_moddrop,matched_early,2,Development-validation combination of separate stems and dynamic gate minus matched early fusion.,-0.031971923956004344,0.06306459860235214,0.017279960556549567,0.05911940612690281,0.015138489480523765,0.0762063990210865,0.048082495312766205
ra_full_p015_minus_ra_no_moddrop,ra_full_p015,ra_no_moddrop,0,Development-validation modality-dropout increment within the reliability-aware architecture.,0.02931014888055461,-0.006647349582410089,0.010975217387011682,0.016728041218660894,0.006256158206745854,0.025162234678952622,0.012169763081643081
ra_full_p015_minus_ra_no_moddrop,ra_full_p015,ra_no_moddrop,1,Development-validation modality-dropout increment within the reliability-aware architecture.,-0.05698679222156067,0.0627237088801772,0.0034677326192955604,-0.010517659972312243,0.003867468700899268,-0.00812409874067832,-0.006374637804670291
ra_full_p015_minus_ra_no_moddrop,ra_full_p015,ra_no_moddrop,2,Development-validation modality-dropout increment within the reliability-aware architecture.,0.024909882429210883,-0.009374467359809069,0.007730341523159101,-0.034837300085530765,0.0074719053142235925,-0.02091142414887892,-0.03310039202318049
early_moddrop_minus_matched_early,early_moddrop,matched_early,0,Development-validation modality-dropout increment within early fusion.,0.012394100314379486,-0.0025566729163115642,0.004745039848190191,-0.03264288874008747,0.0057772057697577095,-0.024206170908327107,-0.028941537412647045
early_moddrop_minus_matched_early,early_moddrop,matched_early,1,Development-validation modality-dropout increment within early fusion.,0.07533334223268595,-0.03391852735640011,0.020479843843445145,0.02833160935865009,0.00433419141307867,0.030869988556362582,0.0215101414692348
early_moddrop_minus_matched_early,early_moddrop,matched_early,2,Development-validation modality-dropout increment within early fusion.,-0.04647287236831543,0.05403102096471801,0.005457141427708367,0.015574928309423863,0.009359679907797624,0.029602473471999624,0.016243395261632765
ra_static_equal_minus_matched_early,ra_static_equal,matched_early,0,Development-validation increment from separate stems with fixed equal feature fusion.,-0.026658584873465396,-0.025055394579853396,-0.025846771268937307,-0.0348144724867937,-0.015399229198190811,-0.02634286907775163,-0.021339696608147163
ra_static_equal_minus_matched_early,ra_static_equal,matched_early,1,Development-validation increment from separate stems with fixed equal feature fusion.,0.016514979259454332,-0.002386228055224038,0.007505599576491884,-0.0066077246817954904,0.0028014927855286587,0.01853007354756031,-0.0017555820692005675
ra_static_equal_minus_matched_early,ra_static_equal,matched_early,2,Development-validation increment from separate stems with fixed equal feature fusion.,-0.007418361228455184,0.015510482358956912,0.004933439341120893,-0.010063780567194147,0.0031813039514101416,-0.0033184823200547164,-0.006920061360150109
ra_no_moddrop_minus_ra_static_equal,ra_no_moddrop,ra_static_equal,0,Development-validation dynamic-gating increment beyond equal-weight stem fusion.,0.021527936483191734,0.03340719277313786,0.027508860077927078,0.04075253360836428,0.021999799337284243,0.054719740048624566,0.022822566899607932
ra_no_moddrop_minus_ra_static_equal,ra_no_moddrop,ra_static_equal,1,Development-validation dynamic-gating increment beyond equal-weight stem fusion.,0.0582421605257849,-0.042270325549684684,0.0069514134907148195,0.0762283280438929,0.006363963101755021,0.07229192699693321,0.05389466507584795
ra_no_moddrop_minus_ra_static_equal,ra_no_moddrop,ra_static_equal,2,Development-validation dynamic-gating increment beyond equal-weight stem fusion.,-0.02455356272754916,0.04755411624339523,0.012346521215428674,0.06918318669409695,0.011957185529113623,0.07952488134114122,0.055002556672916314
ra_stems_project_minus_matched_early,ra_stems_project,matched_early,0,Development-validation learned deterministic fusion control minus matched early fusion.,0.017666375180721783,-0.044997443327083664,-0.01525178222561252,-0.029953960542659863,-0.00799602511925901,-0.011163761963649876,-0.020351116413840242
ra_stems_project_minus_matched_early,ra_stems_project,matched_early,1,Development-validation learned deterministic fusion control minus matched early fusion.,0.06505457062607967,-0.02147605249701723,0.022155334729485943,0.02075459185594153,0.004515356329577558,0.03859866321339389,0.014436679734106117
ra_stems_project_minus_matched_early,ra_stems_project,matched_early,2,Development-validation learned deterministic fusion control minus matched early fusion.,-0.054032599389679414,0.07192773137889896,0.01015368926883975,0.022750480179762,0.0133288285194324,0.047719587430403165,0.025617862621441834
ra_no_moddrop_minus_ra_stems_project,ra_no_moddrop,ra_stems_project,0,Development-validation dynamic-gating contrast against deterministic learned projection control.,-0.022797023570995445,0.05334924152036813,0.01691387103460229,0.035892021664230445,0.01459659525835244,0.03954063293452281,0.02183398670530101
ra_no_moddrop_minus_ra_stems_project,ra_no_moddrop,ra_stems_project,1,Development-validation dynamic-gating contrast against deterministic learned projection control.,0.009702569159159569,-0.023180501107891494,-0.007698321662279239,0.04886601150615588,0.004650099557706122,0.05222333733109963,0.03770240327254126
ra_no_moddrop_minus_ra_stems_project,ra_no_moddrop,ra_stems_project,2,Development-validation dynamic-gating contrast against deterministic learned projection control.,0.02206067543367507,-0.008863132776546823,0.007126271287709818,0.03636892594714081,0.0018096609610913639,0.028486811590683336,0.02246463269132437
