START train/early_moddrop_seed1 2026-07-11T11:18:52+08:00
COMMAND C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\train_early_fusion.py --model early --data D:\download\triair --train-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt --val-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --epochs 50 --batch-size 4 --img-size 640 --device cuda --lr 1e-4 --num-workers 0 --modality-dropout 0.15 --seed 1 --out E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1
Using device: cuda
requested_seed: 1
deterministic_algorithms: warn_only
cudnn_deterministic: True
cudnn_benchmark: False
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 7439
images with label txt: 7011
images without label txt: 428
empty label txt files: 1
total boxes: 22480
class distribution:
  class 0: 22480
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 2213
images with label txt: 1971
images without label txt: 242
empty label txt files: 0
total boxes: 5867
class distribution:
  class 0: 5867
train samples: 7439
val samples: 2213
params: 6591609
gflops: skipped (no project-compatible detector GFLOPs helper wired yet)
total train iterations per epoch: 1860
epoch 1/50 iter 1/1860 loss=2.8576 mean_loss=2.8576 classification=1.1437, bbox_regression=0.9993, bbox_ctrness=0.7146
epoch 1/50 iter 20/1860 loss=2.2341 mean_loss=2.4589 classification=0.8557, bbox_regression=0.6968, bbox_ctrness=0.6817
epoch 1/50 iter 40/1860 loss=2.0119 mean_loss=2.2539 classification=0.7537, bbox_regression=0.5721, bbox_ctrness=0.6861
epoch 1/50 iter 60/1860 loss=1.9356 mean_loss=2.1585 classification=0.7424, bbox_regression=0.5064, bbox_ctrness=0.6868
epoch 1/50 iter 80/1860 loss=1.8117 mean_loss=2.0953 classification=0.7353, bbox_regression=0.4128, bbox_ctrness=0.6635
epoch 1/50 iter 100/1860 loss=1.9774 mean_loss=2.0461 classification=0.7644, bbox_regression=0.5420, bbox_ctrness=0.6710
epoch 1/50 iter 120/1860 loss=1.6175 mean_loss=1.9909 classification=0.5079, bbox_regression=0.4674, bbox_ctrness=0.6421
epoch 1/50 iter 140/1860 loss=1.6120 mean_loss=1.9509 classification=0.4674, bbox_regression=0.4746, bbox_ctrness=0.6700
epoch 1/50 iter 160/1860 loss=1.5800 mean_loss=1.9066 classification=0.4113, bbox_regression=0.5304, bbox_ctrness=0.6383
epoch 1/50 iter 180/1860 loss=1.4637 mean_loss=1.8645 classification=0.4516, bbox_regression=0.3846, bbox_ctrness=0.6275
epoch 1/50 iter 200/1860 loss=1.5141 mean_loss=1.8337 classification=0.3772, bbox_regression=0.4757, bbox_ctrness=0.6612
epoch 1/50 iter 220/1860 loss=1.4806 mean_loss=1.8028 classification=0.4264, bbox_regression=0.4175, bbox_ctrness=0.6367
epoch 1/50 iter 240/1860 loss=1.3987 mean_loss=1.7788 classification=0.4152, bbox_regression=0.3520, bbox_ctrness=0.6314
epoch 1/50 iter 260/1860 loss=1.3229 mean_loss=1.7533 classification=0.3071, bbox_regression=0.3789, bbox_ctrness=0.6370
epoch 1/50 iter 280/1860 loss=1.4501 mean_loss=1.7291 classification=0.3691, bbox_regression=0.4193, bbox_ctrness=0.6617
epoch 1/50 iter 300/1860 loss=1.3924 mean_loss=1.7146 classification=0.3761, bbox_regression=0.3867, bbox_ctrness=0.6297
epoch 1/50 iter 320/1860 loss=1.4024 mean_loss=1.6964 classification=0.3808, bbox_regression=0.3782, bbox_ctrness=0.6433
epoch 1/50 iter 340/1860 loss=1.3661 mean_loss=1.6804 classification=0.3793, bbox_regression=0.3530, bbox_ctrness=0.6338
epoch 1/50 iter 360/1860 loss=1.3271 mean_loss=1.6679 classification=0.3456, bbox_regression=0.3452, bbox_ctrness=0.6363
epoch 1/50 iter 380/1860 loss=1.3605 mean_loss=1.6543 classification=0.4092, bbox_regression=0.3203, bbox_ctrness=0.6310
epoch 1/50 iter 400/1860 loss=1.3961 mean_loss=1.6417 classification=0.3546, bbox_regression=0.3922, bbox_ctrness=0.6493
epoch 1/50 iter 420/1860 loss=1.2871 mean_loss=1.6296 classification=0.3273, bbox_regression=0.3402, bbox_ctrness=0.6197
epoch 1/50 iter 440/1860 loss=1.3653 mean_loss=1.6176 classification=0.3882, bbox_regression=0.3341, bbox_ctrness=0.6430
epoch 1/50 iter 460/1860 loss=1.4257 mean_loss=1.6086 classification=0.4014, bbox_regression=0.3813, bbox_ctrness=0.6429
epoch 1/50 iter 480/1860 loss=1.3142 mean_loss=1.6002 classification=0.3711, bbox_regression=0.3086, bbox_ctrness=0.6345
epoch 1/50 iter 500/1860 loss=1.5512 mean_loss=1.5909 classification=0.4313, bbox_regression=0.4454, bbox_ctrness=0.6745
epoch 1/50 iter 520/1860 loss=1.3796 mean_loss=1.5817 classification=0.3845, bbox_regression=0.3583, bbox_ctrness=0.6368
epoch 1/50 iter 540/1860 loss=1.3507 mean_loss=1.5711 classification=0.3763, bbox_regression=0.3425, bbox_ctrness=0.6319
epoch 1/50 iter 560/1860 loss=1.4982 mean_loss=1.5650 classification=0.4728, bbox_regression=0.3938, bbox_ctrness=0.6316
epoch 1/50 iter 580/1860 loss=1.2455 mean_loss=1.5570 classification=0.2954, bbox_regression=0.3272, bbox_ctrness=0.6228
epoch 1/50 iter 600/1860 loss=1.4949 mean_loss=1.5493 classification=0.4623, bbox_regression=0.3784, bbox_ctrness=0.6542
epoch 1/50 iter 620/1860 loss=1.3736 mean_loss=1.5410 classification=0.3843, bbox_regression=0.3408, bbox_ctrness=0.6486
epoch 1/50 iter 640/1860 loss=1.3750 mean_loss=1.5344 classification=0.3902, bbox_regression=0.3250, bbox_ctrness=0.6598
epoch 1/50 iter 660/1860 loss=1.2083 mean_loss=1.5277 classification=0.2975, bbox_regression=0.2907, bbox_ctrness=0.6200
epoch 1/50 iter 680/1860 loss=1.3184 mean_loss=1.5220 classification=0.3487, bbox_regression=0.3342, bbox_ctrness=0.6355
epoch 1/50 iter 700/1860 loss=1.4537 mean_loss=1.5159 classification=0.3878, bbox_regression=0.4350, bbox_ctrness=0.6309
epoch 1/50 iter 720/1860 loss=1.3860 mean_loss=1.5101 classification=0.4419, bbox_regression=0.3300, bbox_ctrness=0.6141
epoch 1/50 iter 740/1860 loss=1.5930 mean_loss=1.5039 classification=0.5045, bbox_regression=0.4191, bbox_ctrness=0.6693
epoch 1/50 iter 760/1860 loss=1.3822 mean_loss=1.4989 classification=0.3445, bbox_regression=0.3733, bbox_ctrness=0.6644
epoch 1/50 iter 780/1860 loss=1.3737 mean_loss=1.4934 classification=0.3949, bbox_regression=0.3394, bbox_ctrness=0.6394
epoch 1/50 iter 800/1860 loss=1.2486 mean_loss=1.4891 classification=0.3217, bbox_regression=0.3083, bbox_ctrness=0.6187
epoch 1/50 iter 820/1860 loss=1.1085 mean_loss=1.4837 classification=0.2502, bbox_regression=0.2440, bbox_ctrness=0.6143
epoch 1/50 iter 840/1860 loss=1.3108 mean_loss=1.4789 classification=0.3631, bbox_regression=0.3173, bbox_ctrness=0.6304
epoch 1/50 iter 860/1860 loss=1.2947 mean_loss=1.4742 classification=0.3026, bbox_regression=0.3422, bbox_ctrness=0.6499
epoch 1/50 iter 880/1860 loss=1.3382 mean_loss=1.4707 classification=0.3673, bbox_regression=0.3410, bbox_ctrness=0.6300
epoch 1/50 iter 900/1860 loss=1.3734 mean_loss=1.4667 classification=0.3505, bbox_regression=0.3788, bbox_ctrness=0.6441
epoch 1/50 iter 920/1860 loss=1.1387 mean_loss=1.4610 classification=0.2509, bbox_regression=0.2688, bbox_ctrness=0.6190
epoch 1/50 iter 940/1860 loss=1.1818 mean_loss=1.4554 classification=0.2608, bbox_regression=0.2861, bbox_ctrness=0.6350
epoch 1/50 iter 960/1860 loss=1.0491 mean_loss=1.4510 classification=0.2181, bbox_regression=0.2144, bbox_ctrness=0.6166
epoch 1/50 iter 980/1860 loss=1.2170 mean_loss=1.4462 classification=0.3408, bbox_regression=0.2509, bbox_ctrness=0.6254
epoch 1/50 iter 1000/1860 loss=1.3069 mean_loss=1.4425 classification=0.3498, bbox_regression=0.3383, bbox_ctrness=0.6188
