START train/ra_static_equal_seed2 2026-07-13T01:31:37+08:00
COMMAND C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\train_early_fusion.py --model ra_static_equal --data D:\download\triair --train-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt --val-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --epochs 50 --batch-size 4 --img-size 640 --device cuda --lr 1e-4 --num-workers 0 --modality-dropout 0.00 --seed 2 --out E:\RepViT-main\runs\v48_complete_ablation\training\ra_static_equal_seed2
Using device: cuda
requested_seed: 2
deterministic_algorithms: warn_only
cudnn_deterministic: True
cudnn_benchmark: False
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 7439
images with label txt: 7011
images without label txt: 428
empty label txt files: 1
total boxes: 22480
class distribution:
  class 0: 22480
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 2213
images with label txt: 1971
images without label txt: 242
empty label txt files: 0
total boxes: 5867
class distribution:
  class 0: 5867
train samples: 7439
val samples: 2213
params: 6592458
gflops: skipped (no project-compatible detector GFLOPs helper wired yet)
total train iterations per epoch: 1860
epoch 1/50 iter 1/1860 loss=2.9243 mean_loss=2.9243 classification=1.2235, bbox_regression=0.9993, bbox_ctrness=0.7015
epoch 1/50 iter 20/1860 loss=2.3106 mean_loss=2.6865 classification=0.9438, bbox_regression=0.7347, bbox_ctrness=0.6321
epoch 1/50 iter 40/1860 loss=1.9105 mean_loss=2.4146 classification=0.7317, bbox_regression=0.5262, bbox_ctrness=0.6525
epoch 1/50 iter 60/1860 loss=2.0980 mean_loss=2.2574 classification=0.8141, bbox_regression=0.6145, bbox_ctrness=0.6694
epoch 1/50 iter 80/1860 loss=2.0277 mean_loss=2.1458 classification=0.8503, bbox_regression=0.5488, bbox_ctrness=0.6285
epoch 1/50 iter 100/1860 loss=1.6973 mean_loss=2.0550 classification=0.5347, bbox_regression=0.4905, bbox_ctrness=0.6721
epoch 1/50 iter 120/1860 loss=1.4672 mean_loss=1.9706 classification=0.4147, bbox_regression=0.3963, bbox_ctrness=0.6562
epoch 1/50 iter 140/1860 loss=1.5985 mean_loss=1.9070 classification=0.4586, bbox_regression=0.4690, bbox_ctrness=0.6708
epoch 1/50 iter 160/1860 loss=1.3168 mean_loss=1.8540 classification=0.3353, bbox_regression=0.3606, bbox_ctrness=0.6209
epoch 1/50 iter 180/1860 loss=1.5373 mean_loss=1.8160 classification=0.4470, bbox_regression=0.4397, bbox_ctrness=0.6506
epoch 1/50 iter 200/1860 loss=1.5079 mean_loss=1.7776 classification=0.4711, bbox_regression=0.4060, bbox_ctrness=0.6308
epoch 1/50 iter 220/1860 loss=1.3631 mean_loss=1.7426 classification=0.3444, bbox_regression=0.3836, bbox_ctrness=0.6352
epoch 1/50 iter 240/1860 loss=1.2723 mean_loss=1.7126 classification=0.3109, bbox_regression=0.3280, bbox_ctrness=0.6333
epoch 1/50 iter 260/1860 loss=1.3933 mean_loss=1.6863 classification=0.4173, bbox_regression=0.3447, bbox_ctrness=0.6313
epoch 1/50 iter 280/1860 loss=1.3499 mean_loss=1.6622 classification=0.3553, bbox_regression=0.3337, bbox_ctrness=0.6609
epoch 1/50 iter 300/1860 loss=1.3108 mean_loss=1.6391 classification=0.3403, bbox_regression=0.3351, bbox_ctrness=0.6354
epoch 1/50 iter 320/1860 loss=1.3168 mean_loss=1.6171 classification=0.3808, bbox_regression=0.3178, bbox_ctrness=0.6182
epoch 1/50 iter 340/1860 loss=1.3187 mean_loss=1.5997 classification=0.3510, bbox_regression=0.3595, bbox_ctrness=0.6082
epoch 1/50 iter 360/1860 loss=1.2705 mean_loss=1.5823 classification=0.2637, bbox_regression=0.3509, bbox_ctrness=0.6559
epoch 1/50 iter 380/1860 loss=1.3462 mean_loss=1.5659 classification=0.3105, bbox_regression=0.3830, bbox_ctrness=0.6527
epoch 1/50 iter 400/1860 loss=1.3284 mean_loss=1.5496 classification=0.3794, bbox_regression=0.3120, bbox_ctrness=0.6370
epoch 1/50 iter 420/1860 loss=1.2759 mean_loss=1.5366 classification=0.3227, bbox_regression=0.3310, bbox_ctrness=0.6222
epoch 1/50 iter 440/1860 loss=1.1731 mean_loss=1.5237 classification=0.2922, bbox_regression=0.2685, bbox_ctrness=0.6125
epoch 1/50 iter 460/1860 loss=1.4236 mean_loss=1.5122 classification=0.4321, bbox_regression=0.3676, bbox_ctrness=0.6239
epoch 1/50 iter 480/1860 loss=1.1797 mean_loss=1.5005 classification=0.2920, bbox_regression=0.2521, bbox_ctrness=0.6356
epoch 1/50 iter 500/1860 loss=1.1325 mean_loss=1.4890 classification=0.2482, bbox_regression=0.2512, bbox_ctrness=0.6332
epoch 1/50 iter 520/1860 loss=1.1449 mean_loss=1.4786 classification=0.2766, bbox_regression=0.2473, bbox_ctrness=0.6210
epoch 1/50 iter 540/1860 loss=1.1408 mean_loss=1.4702 classification=0.2608, bbox_regression=0.2555, bbox_ctrness=0.6245
epoch 1/50 iter 560/1860 loss=1.2090 mean_loss=1.4625 classification=0.2845, bbox_regression=0.3126, bbox_ctrness=0.6119
epoch 1/50 iter 580/1860 loss=1.1104 mean_loss=1.4538 classification=0.2505, bbox_regression=0.2445, bbox_ctrness=0.6154
epoch 1/50 iter 600/1860 loss=1.1701 mean_loss=1.4458 classification=0.3062, bbox_regression=0.2502, bbox_ctrness=0.6137
epoch 1/50 iter 620/1860 loss=1.0761 mean_loss=1.4367 classification=0.2410, bbox_regression=0.2111, bbox_ctrness=0.6240
epoch 1/50 iter 640/1860 loss=1.0637 mean_loss=1.4284 classification=0.2121, bbox_regression=0.2419, bbox_ctrness=0.6098
epoch 1/50 iter 660/1860 loss=1.1174 mean_loss=1.4207 classification=0.2388, bbox_regression=0.2738, bbox_ctrness=0.6048
epoch 1/50 iter 680/1860 loss=1.2250 mean_loss=1.4134 classification=0.2906, bbox_regression=0.3130, bbox_ctrness=0.6214
epoch 1/50 iter 700/1860 loss=1.0926 mean_loss=1.4062 classification=0.2146, bbox_regression=0.2446, bbox_ctrness=0.6334
epoch 1/50 iter 720/1860 loss=1.1696 mean_loss=1.3999 classification=0.2788, bbox_regression=0.2728, bbox_ctrness=0.6179
epoch 1/50 iter 740/1860 loss=1.2063 mean_loss=1.3935 classification=0.3021, bbox_regression=0.2756, bbox_ctrness=0.6287
epoch 1/50 iter 760/1860 loss=1.0890 mean_loss=1.3870 classification=0.2046, bbox_regression=0.2557, bbox_ctrness=0.6287
epoch 1/50 iter 780/1860 loss=1.2616 mean_loss=1.3806 classification=0.3610, bbox_regression=0.2811, bbox_ctrness=0.6194
epoch 1/50 iter 800/1860 loss=1.1586 mean_loss=1.3743 classification=0.2967, bbox_regression=0.2526, bbox_ctrness=0.6094
epoch 1/50 iter 820/1860 loss=1.0203 mean_loss=1.3690 classification=0.1796, bbox_regression=0.2146, bbox_ctrness=0.6261
epoch 1/50 iter 840/1860 loss=1.0362 mean_loss=1.3640 classification=0.2268, bbox_regression=0.2017, bbox_ctrness=0.6078
epoch 1/50 iter 860/1860 loss=1.1764 mean_loss=1.3596 classification=0.2796, bbox_regression=0.2705, bbox_ctrness=0.6263
epoch 1/50 iter 880/1860 loss=1.2212 mean_loss=1.3548 classification=0.3285, bbox_regression=0.2566, bbox_ctrness=0.6361
epoch 1/50 iter 900/1860 loss=1.1474 mean_loss=1.3509 classification=0.2533, bbox_regression=0.2809, bbox_ctrness=0.6133
epoch 1/50 iter 920/1860 loss=1.0902 mean_loss=1.3458 classification=0.2093, bbox_regression=0.2574, bbox_ctrness=0.6236
epoch 1/50 iter 940/1860 loss=1.2487 mean_loss=1.3408 classification=0.3208, bbox_regression=0.2988, bbox_ctrness=0.6291
epoch 1/50 iter 960/1860 loss=1.1376 mean_loss=1.3357 classification=0.2862, bbox_regression=0.2224, bbox_ctrness=0.6289
epoch 1/50 iter 980/1860 loss=1.0252 mean_loss=1.3315 classification=0.2006, bbox_regression=0.1882, bbox_ctrness=0.6364
epoch 1/50 iter 1000/1860 loss=1.0814 mean_loss=1.3272 classification=0.2307, bbox_regression=0.2318, bbox_ctrness=0.6189
epoch 1/50 iter 1020/1860 loss=1.1321 mean_loss=1.3233 classification=0.2536, bbox_regression=0.2544, bbox_ctrness=0.6241
epoch 1/50 iter 1040/1860 loss=1.2551 mean_loss=1.3194 classification=0.3319, bbox_regression=0.2905, bbox_ctrness=0.6326
epoch 1/50 iter 1060/1860 loss=1.0766 mean_loss=1.3151 classification=0.2647, bbox_regression=0.2094, bbox_ctrness=0.6025
epoch 1/50 iter 1080/1860 loss=1.1081 mean_loss=1.3119 classification=0.2244, bbox_regression=0.2631, bbox_ctrness=0.6207
epoch 1/50 iter 1100/1860 loss=1.0518 mean_loss=1.3083 classification=0.1955, bbox_regression=0.2337, bbox_ctrness=0.6226
epoch 1/50 iter 1120/1860 loss=1.1419 mean_loss=1.3053 classification=0.2594, bbox_regression=0.2579, bbox_ctrness=0.6246
epoch 1/50 iter 1140/1860 loss=0.9784 mean_loss=1.3011 classification=0.1871, bbox_regression=0.1880, bbox_ctrness=0.6033
epoch 1/50 iter 1160/1860 loss=1.0153 mean_loss=1.2974 classification=0.2072, bbox_regression=0.2084, bbox_ctrness=0.5997
