START train/ra_stems_project_seed2 2026-07-13T01:31:37+08:00
COMMAND C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\train_early_fusion.py --model ra_stems_project --data D:\download\triair --train-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt --val-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --epochs 50 --batch-size 4 --img-size 640 --device cuda --lr 1e-4 --num-workers 0 --modality-dropout 0.00 --seed 2 --out E:\RepViT-main\runs\v48_complete_ablation\training\ra_stems_project_seed2
Using device: cuda
requested_seed: 2
deterministic_algorithms: warn_only
cudnn_deterministic: True
cudnn_benchmark: False
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 7439
images with label txt: 7011
images without label txt: 428
empty label txt files: 1
total boxes: 22480
class distribution:
  class 0: 22480
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 2213
images with label txt: 1971
images without label txt: 242
empty label txt files: 0
total boxes: 5867
class distribution:
  class 0: 5867
train samples: 7439
val samples: 2213
params: 6593242
gflops: skipped (no project-compatible detector GFLOPs helper wired yet)
total train iterations per epoch: 1860
epoch 1/50 iter 1/1860 loss=2.7844 mean_loss=2.7844 classification=1.0722, bbox_regression=0.9986, bbox_ctrness=0.7136
epoch 1/50 iter 20/1860 loss=2.1899 mean_loss=2.6581 classification=0.9766, bbox_regression=0.5840, bbox_ctrness=0.6293
epoch 1/50 iter 40/1860 loss=1.9790 mean_loss=2.4022 classification=0.7738, bbox_regression=0.5513, bbox_ctrness=0.6539
epoch 1/50 iter 60/1860 loss=2.0970 mean_loss=2.2580 classification=0.8075, bbox_regression=0.6208, bbox_ctrness=0.6687
epoch 1/50 iter 80/1860 loss=1.9316 mean_loss=2.1613 classification=0.7664, bbox_regression=0.5387, bbox_ctrness=0.6265
epoch 1/50 iter 100/1860 loss=1.8160 mean_loss=2.0783 classification=0.6211, bbox_regression=0.5100, bbox_ctrness=0.6849
epoch 1/50 iter 120/1860 loss=1.4627 mean_loss=2.0042 classification=0.3866, bbox_regression=0.4087, bbox_ctrness=0.6673
epoch 1/50 iter 140/1860 loss=1.7245 mean_loss=1.9457 classification=0.5152, bbox_regression=0.5238, bbox_ctrness=0.6855
epoch 1/50 iter 160/1860 loss=1.3510 mean_loss=1.8937 classification=0.3362, bbox_regression=0.3825, bbox_ctrness=0.6323
epoch 1/50 iter 180/1860 loss=1.5464 mean_loss=1.8517 classification=0.4397, bbox_regression=0.4512, bbox_ctrness=0.6556
epoch 1/50 iter 200/1860 loss=1.5712 mean_loss=1.8116 classification=0.5061, bbox_regression=0.4295, bbox_ctrness=0.6356
epoch 1/50 iter 220/1860 loss=1.3736 mean_loss=1.7757 classification=0.3522, bbox_regression=0.3798, bbox_ctrness=0.6416
epoch 1/50 iter 240/1860 loss=1.2457 mean_loss=1.7449 classification=0.2678, bbox_regression=0.3406, bbox_ctrness=0.6373
epoch 1/50 iter 260/1860 loss=1.4227 mean_loss=1.7196 classification=0.4136, bbox_regression=0.3722, bbox_ctrness=0.6369
epoch 1/50 iter 280/1860 loss=1.3275 mean_loss=1.6957 classification=0.3203, bbox_regression=0.3483, bbox_ctrness=0.6589
