scope,status,sample_count,sequence_count
train,RGB_GT_PRESENT,7187,339
train,IR_GT_PRESENT,7171,339
train,BOTH_GT_PRESENT,7077,339
train,RGB_ONLY_GT_PRESENT,110,48
train,IR_ONLY_GT_PRESENT,94,37
train,NEITHER_GT_PRESENT,28613,339
train,ANY_SOURCE_GT_PRESENT,7281,339
train,COMMON_TRACK_ID_PRESENT,7063,339
devval,RGB_GT_PRESENT,1845,85
devval,IR_GT_PRESENT,1836,85
devval,BOTH_GT_PRESENT,1824,85
devval,RGB_ONLY_GT_PRESENT,21,10
devval,IR_ONLY_GT_PRESENT,12,6
devval,NEITHER_GT_PRESENT,7285,85
devval,ANY_SOURCE_GT_PRESENT,1857,85
devval,COMMON_TRACK_ID_PRESENT,1820,85
total,RGB_GT_PRESENT,9032,424
total,IR_GT_PRESENT,9007,424
total,BOTH_GT_PRESENT,8901,424
total,RGB_ONLY_GT_PRESENT,131,58
total,IR_ONLY_GT_PRESENT,106,43
total,NEITHER_GT_PRESENT,35898,424
total,ANY_SOURCE_GT_PRESENT,9138,424
total,COMMON_TRACK_ID_PRESENT,8883,424
