relative_path,status,triplet_frames,sampled_interval20,split
train/0007,COMPLETE,1941,98,train
train/0008,COMPLETE,1948,98,train
train/0011,COMPLETE,2151,108,devval
train/0027,COMPLETE,2190,110,devval
train/0032,COMPLETE,2212,111,train
train/0039,COMPLETE,2157,108,train
train/0040,COMPLETE,2088,105,train
train/0044,COMPLETE,2265,114,train
train/0050,COMPLETE,2157,108,train
train/0052,COMPLETE,2206,111,devval
train/0056,COMPLETE,2008,101,train
train/0072,COMPLETE,2334,117,train
train/0075,COMPLETE,2175,109,train
train/0076,COMPLETE,2166,109,train
train/0080,COMPLETE,2199,110,devval
train/0089,COMPLETE,2143,108,devval
train/0091,COMPLETE,2100,105,devval
train/0092,COMPLETE,2100,105,devval
train/0094,COMPLETE,2196,110,devval
train/0096,COMPLETE,2676,134,devval
train/0097,COMPLETE,2148,108,train
train/0099,COMPLETE,2140,107,train
train/0101,COMPLETE,2167,109,train
train/0102,COMPLETE,2109,106,train
train/0105,COMPLETE,2125,107,devval
train/0111,COMPLETE,2091,105,devval
train/0112,COMPLETE,2136,107,train
train/0117,COMPLETE,2118,106,train
train/0133,COMPLETE,2388,120,devval
train/0134,COMPLETE,2035,102,train
train/0138,COMPLETE,2131,107,train
train/0139,COMPLETE,2158,108,train
train/0141,COMPLETE,2151,108,devval
train/0145,COMPLETE,2427,122,devval
train/0147,COMPLETE,2116,106,train
train/0150,COMPLETE,2233,112,train
train/0153,COMPLETE,2302,116,devval
train/0157,COMPLETE,2157,108,train
train/0162,COMPLETE,2226,112,train
train/0164,COMPLETE,2160,108,train
train/0177,COMPLETE,2178,109,train
train/0179,COMPLETE,2142,108,devval
train/0188,COMPLETE,2214,111,train
train/0193,COMPLETE,2097,105,train
train/0201,COMPLETE,2146,108,train
train/0204,COMPLETE,2136,107,train
train/0205,COMPLETE,2376,119,devval
train/0206,COMPLETE,2325,117,train
train/0211,COMPLETE,2397,120,train
train/0214,COMPLETE,2121,107,train
train/0216,COMPLETE,2142,108,train
train/0218,COMPLETE,2151,108,train
train/0219,COMPLETE,2139,107,train
train/0221,COMPLETE,2112,106,devval
train/0222,COMPLETE,2121,107,train
train/0224,COMPLETE,2127,107,train
train/0232,COMPLETE,2142,108,train
train/0233,COMPLETE,2115,106,train
train/0239,COMPLETE,2098,105,train
train/0240,COMPLETE,2109,106,train
train/0242,COMPLETE,2130,107,train
train/0244,COMPLETE,2154,108,train
train/0245,COMPLETE,2112,106,devval
train/0246,COMPLETE,2128,107,train
train/0250,COMPLETE,2112,106,devval
train/0259,COMPLETE,2137,107,devval
train/0260,COMPLETE,2154,108,train
train/0279,COMPLETE,2262,114,train
train/0286,COMPLETE,2124,107,train
train/0288,COMPLETE,2215,111,train
train/0291,COMPLETE,2211,111,train
train/0299,COMPLETE,2482,125,train
train/0301,COMPLETE,2206,111,devval
train/0303,COMPLETE,2136,107,train
train/0310,COMPLETE,2325,117,train
train/0311,COMPLETE,2196,110,train
train/0312,COMPLETE,2136,107,train
train/0315,COMPLETE,2223,112,train
train/0317,COMPLETE,2331,117,train
train/0334,COMPLETE,2109,106,train
train/0340,COMPLETE,2170,109,train
train/0342,COMPLETE,2139,107,train
train/0345,COMPLETE,2055,103,train
train/0351,COMPLETE,2178,109,train
train/0362,COMPLETE,2163,109,train
train/0363,COMPLETE,2007,101,train
train/0364,COMPLETE,2088,105,devval
train/0367,COMPLETE,2128,107,train
train/0369,COMPLETE,2728,137,devval
train/0370,COMPLETE,2160,108,train
train/0371,COMPLETE,2175,109,train
train/0372,COMPLETE,2344,118,train
train/0377,COMPLETE,2133,107,train
train/0385,COMPLETE,2205,111,train
train/0386,COMPLETE,2205,111,train
train/0392,COMPLETE,2133,107,train
train/0393,COMPLETE,2130,107,devval
train/0398,COMPLETE,2200,110,devval
train/0399,COMPLETE,2176,109,train
train/0400,COMPLETE,2463,124,train
train/0401,COMPLETE,2358,118,train
train/0407,COMPLETE,2440,122,train
train/0410,COMPLETE,2166,109,train
train/0411,COMPLETE,2149,108,train
train/0412,COMPLETE,2163,109,train
train/0415,COMPLETE,2166,109,devval
train/0418,COMPLETE,2256,113,train
train/0420,COMPLETE,2106,106,devval
train/0423,COMPLETE,2127,107,devval
train/0425,COMPLETE,2187,110,devval
train/0430,COMPLETE,2139,107,train
train/0432,COMPLETE,2127,107,train
train/0433,COMPLETE,2214,111,train
train/0434,COMPLETE,2145,108,devval
train/0438,COMPLETE,2142,108,train
train/0441,COMPLETE,2152,108,train
train/0442,COMPLETE,2124,107,train
train/0444,COMPLETE,2166,109,train
train/0445,COMPLETE,2107,106,train
train/0449,COMPLETE,2112,106,devval
train/0450,COMPLETE,2193,110,train
train/0451,COMPLETE,2256,113,train
train/0454,COMPLETE,2191,110,train
train/0456,COMPLETE,2149,108,train
train/0458,COMPLETE,2136,107,train
train/0461,COMPLETE,2140,107,devval
train/0466,COMPLETE,2028,102,train
train/0469,COMPLETE,2145,108,train
train/0476,COMPLETE,2121,107,train
train/0483,COMPLETE,2154,108,train
train/0486,COMPLETE,2140,107,devval
train/0491,COMPLETE,2131,107,train
train/0492,COMPLETE,2130,107,train
train/0502,COMPLETE,2208,111,train
train/0503,COMPLETE,2094,105,train
train/0505,COMPLETE,2113,106,train
train/0514,COMPLETE,2118,106,train
train/0515,COMPLETE,2118,106,train
train/0516,COMPLETE,2140,107,train
train/0517,COMPLETE,2160,108,train
train/0520,COMPLETE,2178,109,train
train/0521,COMPLETE,2169,109,train
train/0531,COMPLETE,2080,104,train
train/0532,COMPLETE,2164,109,devval
train/0536,COMPLETE,2115,106,devval
train/0543,COMPLETE,2161,109,train
train/0547,COMPLETE,2088,105,train
train/0548,COMPLETE,2094,105,devval
train/0553,COMPLETE,2119,106,train
train/0558,COMPLETE,2167,109,devval
train/0574,COMPLETE,2137,107,train
train/0578,COMPLETE,2319,116,train
train/0579,COMPLETE,2091,105,train
train/0586,COMPLETE,2136,107,train
train/0587,COMPLETE,2181,110,train
train/0592,COMPLETE,2146,108,devval
train/0594,COMPLETE,1509,76,train
train/0596,COMPLETE,1788,90,train
train/0598,COMPLETE,2118,106,train
train/0603,COMPLETE,2059,103,devval
train/0604,COMPLETE,2023,102,devval
train/0608,COMPLETE,2076,104,train
train/0610,COMPLETE,1803,91,train
train/0611,COMPLETE,1857,93,train
train/0616,COMPLETE,2043,103,train
train/0617,COMPLETE,2068,104,train
train/0620,COMPLETE,1999,100,train
train/0621,COMPLETE,2436,122,devval
train/0623,COMPLETE,2157,108,train
train/0629,COMPLETE,2154,108,train
train/0630,COMPLETE,2121,107,train
train/0633,COMPLETE,2115,106,train
train/0636,COMPLETE,2109,106,train
train/0638,COMPLETE,2119,106,train
train/0651,COMPLETE,2169,109,train
train/0654,COMPLETE,2133,107,train
train/0655,COMPLETE,2172,109,train
train/0658,COMPLETE,2152,108,devval
train/0660,COMPLETE,2143,108,train
train/0664,COMPLETE,2166,109,train
train/0669,COMPLETE,2217,111,train
train/0674,COMPLETE,2220,111,train
train/0677,COMPLETE,2155,108,train
train/0679,COMPLETE,2131,107,train
train/0681,COMPLETE,2121,107,devval
train/0683,COMPLETE,2142,108,train
train/0690,COMPLETE,2095,105,train
train/0692,COMPLETE,2160,108,train
train/0742,COMPLETE,2184,110,train
train/0749,COMPLETE,2178,109,train
train/0753,COMPLETE,2124,107,train
train/0756,COMPLETE,2107,106,train
train/0757,COMPLETE,2103,106,train
train/0792,COMPLETE,2145,108,train
train/0809,COMPLETE,2226,112,train
train/0811,COMPLETE,2145,108,train
train/0815,COMPLETE,2013,101,train
train/0818,COMPLETE,2082,105,train
train/0819,COMPLETE,2091,105,train
train/0821,COMPLETE,2166,109,train
train/0822,COMPLETE,2133,107,train
train/0826,COMPLETE,2145,108,train
train/0827,COMPLETE,2175,109,train
train/0828,COMPLETE,2128,107,train
train/0836,COMPLETE,2118,106,train
train/0838,COMPLETE,2278,114,train
train/0841,COMPLETE,2214,111,devval
train/0845,COMPLETE,2137,107,train
train/0858,COMPLETE,2118,106,train
train/0861,COMPLETE,2104,106,train
train/0862,COMPLETE,2056,103,train
train/0864,COMPLETE,1927,97,train
train/0865,COMPLETE,1924,97,devval
train/0866,COMPLETE,2083,105,train
train/0867,COMPLETE,2094,105,train
train/0868,COMPLETE,2139,107,train
train/0870,COMPLETE,2100,105,train
train/0872,COMPLETE,2125,107,train
train/0874,COMPLETE,2140,107,train
train/0875,COMPLETE,2157,108,train
train/0879,COMPLETE,2109,106,train
train/0881,COMPLETE,2137,107,train
train/0882,COMPLETE,2115,106,train
train/0883,COMPLETE,2104,106,train
train/0902,COMPLETE,2148,108,train
train/0903,COMPLETE,2134,107,train
train/0905,COMPLETE,2136,107,train
train/0906,COMPLETE,2197,110,train
train/0907,COMPLETE,1890,95,train
train/0908,COMPLETE,1803,91,train
train/0910,COMPLETE,2101,106,train
train/0916,COMPLETE,2145,108,train
train/0941,COMPLETE,2211,111,devval
train/0946,COMPLETE,2152,108,train
train/0948,COMPLETE,2103,106,train
train/0953,COMPLETE,2109,106,train
train/0955,COMPLETE,2145,108,train
train/0957,COMPLETE,2130,107,devval
train/0963,COMPLETE,2076,104,train
train/0964,COMPLETE,2110,106,devval
train/0976,COMPLETE,2133,107,devval
train/0978,COMPLETE,2103,106,train
