sequence,frame_index,matched_track_ids,mean_normalized_center_displacement,mean_iou_after_dimension_scaling
0955,1,3,0.025105468327013426,0.07672634271099744
0955,101,3,0.022802907652387072,0.04279279279279279
0955,201,3,0.021827879139014527,0.16146393972012918
0955,301,3,0.027186495779118375,0.0
0955,401,3,0.024396634891508576,0.0
1104,1,1,0.0790123698152105,0.0
1104,101,1,0.10639925178895761,0.0
1104,201,1,0.04789437529528884,0.0
1104,301,1,0.08452991833363373,0.0
1104,401,1,0.22382291210325114,0.0
0050,1,3,0.06834480811409159,0.0
0050,101,3,0.06426703693155211,0.0
0050,201,3,0.05796927853227193,0.0
0050,301,2,0.06166329292553263,0.0
0050,401,3,0.046671660810487604,0.0
0434,1,3,0.08112236593737271,0.0
0434,101,3,0.0811981956171343,0.0
0434,201,3,0.0818855492696832,0.0
0434,301,3,0.07559491573290981,0.0
0434,401,3,0.07099501547293975,0.0
0636,1,1,0.02945821060410091,0.0
0636,101,1,0.02596995334155416,0.0
0636,201,1,0.024370195930335046,0.0
0636,301,1,0.0371459067260679,0.0
0636,401,1,0.028576436352397462,0.0
1419,1,3,0.03197961273708174,0.0
1419,101,3,0.04380759770568402,0.10350955131052865
1419,201,3,0.0551769114025471,0.0
1419,301,3,0.0652762513195493,0.0
1419,401,3,0.07251650272900133,0.0
0838,101,1,0.0337617330647059,0.0
0838,301,1,0.047630396000341566,0.0
0838,401,1,0.04610503354548582,0.0
0838,901,1,0.0383196203302975,0.0
0838,1001,1,0.029383392057093477,0.0
1506,1,2,0.05049820016155833,0.01026468689477082
1506,101,2,0.039476556245707145,0.01190633681703929
1506,201,2,0.05118800581487187,0.0
1506,301,2,0.05730399719013475,0.0
1506,401,2,0.052136016584007405,0.0
1865,1,1,0.08057648543971857,0.0
1865,101,1,0.07537799603272675,0.0
1865,201,1,0.08607181486480679,0.0
1865,301,1,0.4084301845942497,0.0
1865,401,1,0.049708972304460156,0.0
0052,1,2,0.07331233894498951,0.0
0052,101,2,0.0697300544284952,0.0
0052,201,2,0.0766727363864464,0.0
0052,301,2,0.06841610325212107,0.0
0052,401,3,0.0928334257097455,0.0
1834,1,1,0.06944024306409774,0.0
1834,101,1,0.047770790752343785,0.0
1834,201,1,0.03046875,0.0
1834,301,1,0.08871935465735704,0.0
1834,401,1,0.07659449179255692,0.0
0367,1,2,0.047796152002686824,0.031018518518518518
0367,101,1,0.024754351099171425,0.022146507666098807
0367,201,2,0.035174662652047196,0.0
0367,301,2,0.020079448736295878,0.10844306738962045
0367,401,2,0.027059964804699188,0.0
0872,101,1,0.01630882115817831,0.0
0872,201,1,0.01887987158464054,0.0
0872,301,1,0.047333952922079106,0.0
0872,401,1,0.04554765855112661,0.0
0872,501,1,0.06197415523648154,0.0
1073,1,2,0.06410092052844471,0.0
1073,101,2,0.07124521494501646,0.0
1073,201,2,0.07996491611165184,0.0
1073,301,2,0.08350714990464327,0.0
1073,401,2,0.06902710588892694,0.0
0214,1,3,0.07616234859778438,0.0
0214,101,3,0.07829057934052312,0.0
0214,201,3,0.07656172751852948,0.0
0214,301,3,0.0748943874071959,0.0
0214,401,3,0.07302438294032686,0.0
0948,1,3,0.023568849523250352,0.07095603926589843
0948,101,3,0.048837334471706,0.0005477051155657794
0948,201,3,0.039244739265336955,0.026582278481012658
0948,301,3,0.047571760596611244,0.0
0948,401,3,0.04522573877900401,0.0
0369,1,3,0.08915007669178569,0.0
0369,101,3,0.07389205067444578,0.0
0369,201,2,0.06827015274453312,0.0
0369,301,2,0.05326392938105459,0.03528727997343075
0369,401,2,0.05111223322675389,0.0
0586,1,3,0.05867649800877559,0.0
0586,101,3,0.05376924710389248,0.0
0586,201,3,0.057010214953452674,0.0
0586,301,3,0.05815160119340218,0.0
0586,401,3,0.06412264126578723,0.0
0916,1,3,0.09342983548552086,0.0
0916,101,3,0.11021263499061844,0.0
0916,201,3,0.19740049341058064,0.0
0916,301,3,0.33532802761246266,0.0
0916,401,2,0.33795820612085326,0.0
0032,1,3,0.06708064586171043,0.0
0032,101,3,0.07516076519261362,0.0
0032,201,3,0.08148783163071967,0.0
0032,301,3,0.09798243701630215,0.0
0032,401,3,0.08907893577780811,0.0
