sequence	frame_index	rgb	ir	event	gt_rgb	gt_ir	rgb_annotation_rows	ir_annotation_rows	annotation_state
0011	1	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT
0011	21	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	41	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	61	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	81	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	101	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT
0011	121	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	141	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	161	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0011	181	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
