sequence	frame_index	rgb	ir	event	gt_rgb	gt_ir	rgb_annotation_rows	ir_annotation_rows	annotation_state
0007	1	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT
0007	21	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0021.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	41	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0041.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	61	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0061.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	81	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0081.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	101	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT
0007	121	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0121.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	141	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0141.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	161	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0161.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	181	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0181.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	201	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT
0007	221	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0221.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0221.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0221.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	241	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0241.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0241.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0241.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	261	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0261.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0261.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0261.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
0007	281	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0281.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0281.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0281.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	0	0	UNLABELED_OR_EMPTY_UNRESOLVED
