split,sequence,modality,missing_from_union_count,first_missing_indices,non_numeric_filenames,duplicate_numeric_indices
test,0001,rgb,0,,1,0
test,0001,ir,0,,0,0
test,0001,event,0,,0,0
test,0003,rgb,0,,1,0
test,0003,ir,0,,0,0
test,0003,event,0,,0,0
test,0005,rgb,0,,1,0
test,0005,ir,0,,0,0
test,0005,event,0,,0,0
test,0023,rgb,0,,1,0
test,0023,ir,0,,0,0
test,0023,event,0,,0,0
test,0024,rgb,0,,1,0
test,0024,ir,0,,0,0
test,0024,event,0,,0,0
test,0025,rgb,0,,1,0
test,0025,ir,0,,0,0
test,0025,event,0,,0,0
test,0026,rgb,0,,1,0
test,0026,ir,0,,0,0
test,0026,event,0,,0,0
test,0042,rgb,0,,1,0
test,0042,ir,0,,0,0
test,0042,event,0,,0,0
test,0045,rgb,0,,1,0
test,0045,ir,0,,0,0
test,0045,event,0,,0,0
test,0046,rgb,0,,1,0
test,0046,ir,0,,0,0
test,0046,event,0,,0,0
test,0047,rgb,0,,1,0
test,0047,ir,0,,0,0
test,0047,event,0,,0,0
test,0048,rgb,0,,1,0
test,0048,ir,0,,0,0
test,0048,event,0,,0,0
test,0049,rgb,0,,1,0
test,0049,ir,0,,0,0
test,0049,event,0,,0,0
test,0062,rgb,0,,1,0
test,0062,ir,0,,0,0
test,0062,event,0,,0,0
test,0063,rgb,0,,1,0
test,0063,ir,0,,0,0
test,0063,event,0,,0,0
test,0064,rgb,0,,1,0
test,0064,ir,0,,0,0
test,0064,event,0,,0,0
test,0065,rgb,0,,1,0
test,0065,ir,0,,0,0
test,0065,event,0,,0,0
test,0066,rgb,0,,1,0
test,0066,ir,0,,0,0
test,0066,event,0,,0,0
test,0067,rgb,0,,1,0
test,0067,ir,0,,0,0
test,0067,event,0,,0,0
test,0068,rgb,0,,1,0
test,0068,ir,0,,0,0
test,0068,event,0,,0,0
test,0069,rgb,0,,1,0
test,0069,ir,0,,0,0
test,0069,event,0,,0,0
test,0070,rgb,0,,1,0
test,0070,ir,0,,0,0
test,0070,event,0,,0,0
test,0071,rgb,0,,1,0
test,0071,ir,0,,0,0
test,0071,event,0,,0,0
test,0104,rgb,0,,1,0
test,0104,ir,0,,0,0
test,0104,event,0,,0,0
test,0269,rgb,0,,1,0
test,0269,ir,0,,0,0
test,0269,event,0,,0,0
test,0270,rgb,0,,1,0
test,0270,ir,0,,0,0
test,0270,event,0,,0,0
test,0280,rgb,0,,1,0
test,0280,ir,0,,0,0
test,0280,event,0,,0,0
test,0281,rgb,0,,1,0
test,0281,ir,0,,0,0
test,0281,event,0,,0,0
test,0292,rgb,0,,1,0
test,0292,ir,0,,0,0
test,0292,event,0,,0,0
test,0319,rgb,0,,1,0
test,0319,ir,0,,0,0
test,0319,event,0,,0,0
test,0320,rgb,0,,1,0
test,0320,ir,0,,0,0
test,0320,event,0,,0,0
test,0321,rgb,0,,1,0
test,0321,ir,0,,0,0
test,0321,event,0,,0,0
test,0322,rgb,0,,1,0
test,0322,ir,0,,0,0
test,0322,event,0,,0,0
test,0323,rgb,0,,1,0
test,0323,ir,0,,0,0
test,0323,event,0,,0,0
test,0324,rgb,0,,1,0
test,0324,ir,0,,0,0
test,0324,event,0,,0,0
test,0325,rgb,0,,1,0
test,0325,ir,0,,0,0
test,0325,event,0,,0,0
test,0326,rgb,0,,1,0
test,0326,ir,0,,0,0
test,0326,event,0,,0,0
test,0327,rgb,0,,1,0
test,0327,ir,0,,0,0
test,0327,event,0,,0,0
test,0328,rgb,0,,1,0
test,0328,ir,0,,0,0
test,0328,event,0,,0,0
test,0329,rgb,0,,1,0
test,0329,ir,0,,0,0
test,0329,event,0,,0,0
test,0330,rgb,0,,1,0
test,0330,ir,0,,0,0
test,0330,event,0,,0,0
test,0331,rgb,0,,1,0
test,0331,ir,0,,0,0
test,0331,event,0,,0,0
test,0332,rgb,0,,1,0
test,0332,ir,0,,0,0
test,0332,event,0,,0,0
test,0335,rgb,0,,1,0
test,0335,ir,0,,0,0
test,0335,event,0,,0,0
test,0336,rgb,0,,1,0
test,0336,ir,0,,0,0
test,0336,event,0,,0,0
test,0339,rgb,0,,1,0
test,0339,ir,0,,0,0
test,0339,event,0,,0,0
test,0373,rgb,0,,1,0
test,0373,ir,0,,0,0
test,0373,event,0,,0,0
test,0406,rgb,0,,1,0
test,0406,ir,0,,0,0
test,0406,event,0,,0,0
test,0408,rgb,0,,1,0
test,0408,ir,0,,0,0
test,0408,event,0,,0,0
test,0409,rgb,0,,1,0
test,0409,ir,0,,0,0
test,0409,event,0,,0,0
test,0427,rgb,0,,1,0
test,0427,ir,0,,0,0
test,0427,event,0,,0,0
test,0561,rgb,0,,1,0
test,0561,ir,0,,0,0
test,0561,event,0,,0,0
test,0562,rgb,0,,1,0
test,0562,ir,0,,0,0
test,0562,event,0,,0,0
test,0563,rgb,0,,1,0
test,0563,ir,0,,0,0
test,0563,event,0,,0,0
test,0564,rgb,0,,1,0
test,0564,ir,0,,0,0
test,0564,event,0,,0,0
test,0565,rgb,0,,1,0
test,0565,ir,0,,0,0
test,0565,event,0,,0,0
test,0566,rgb,0,,1,0
test,0566,ir,0,,0,0
test,0566,event,0,,0,0
test,0567,rgb,0,,1,0
test,0567,ir,0,,0,0
test,0567,event,0,,0,0
test,0568,rgb,0,,1,0
test,0568,ir,0,,0,0
test,0568,event,0,,0,0
test,0569,rgb,0,,1,0
test,0569,ir,0,,0,0
test,0569,event,0,,0,0
test,0570,rgb,0,,1,0
test,0570,ir,0,,0,0
test,0570,event,0,,0,0
test,0571,rgb,0,,1,0
test,0571,ir,0,,0,0
test,0571,event,0,,0,0
test,0648,rgb,0,,1,0
test,0648,ir,0,,0,0
test,0648,event,0,,0,0
test,0714,rgb,0,,1,0
test,0714,ir,0,,0,0
test,0714,event,0,,0,0
test,0782,rgb,0,,1,0
test,0782,ir,0,,0,0
test,0782,event,0,,0,0
test,0788,rgb,0,,1,0
test,0788,ir,0,,0,0
test,0788,event,0,,0,0
test,0789,rgb,0,,1,0
test,0789,ir,0,,0,0
test,0789,event,0,,0,0
test,0793,rgb,0,,1,0
test,0793,ir,0,,0,0
test,0793,event,0,,0,0
test,0794,rgb,0,,1,0
test,0794,ir,0,,0,0
test,0794,event,0,,0,0
test,0801,rgb,0,,1,0
test,0801,ir,0,,0,0
test,0801,event,0,,0,0
test,0802,rgb,0,,1,0
test,0802,ir,0,,0,0
test,0802,event,0,,0,0
test,0806,rgb,0,,1,0
test,0806,ir,0,,0,0
test,0806,event,0,,0,0
test,0909,rgb,0,,1,0
test,0909,ir,0,,0,0
test,0909,event,0,,0,0
test,0912,rgb,0,,1,0
test,0912,ir,0,,0,0
test,0912,event,0,,0,0
test,0920,rgb,0,,1,0
test,0920,ir,0,,0,0
test,0920,event,0,,0,0
test,0921,rgb,0,,1,0
test,0921,ir,0,,0,0
test,0921,event,0,,0,0
test,0922,rgb,0,,1,0
test,0922,ir,0,,0,0
test,0922,event,0,,0,0
test,0927,rgb,0,,1,0
test,0927,ir,0,,0,0
test,0927,event,0,,0,0
test,0928,rgb,0,,1,0
test,0928,ir,0,,0,0
test,0928,event,0,,0,0
test,0930,rgb,0,,1,0
test,0930,ir,0,,0,0
test,0930,event,0,,0,0
test,0935,rgb,0,,1,0
test,0935,ir,0,,0,0
test,0935,event,0,,0,0
test,0937,rgb,0,,1,0
test,0937,ir,0,,0,0
test,0937,event,0,,0,0
test,0938,rgb,0,,1,0
test,0938,ir,0,,0,0
test,0938,event,0,,0,0
test,0939,rgb,0,,1,0
test,0939,ir,0,,0,0
test,0939,event,0,,0,0
test,0995,rgb,0,,1,0
test,0995,ir,0,,0,0
test,0995,event,0,,0,0
test,0996,rgb,0,,1,0
test,0996,ir,0,,0,0
test,0996,event,0,,0,0
test,0997,rgb,0,,1,0
test,0997,ir,0,,0,0
test,0997,event,0,,0,0
test,0998,rgb,0,,1,0
test,0998,ir,0,,0,0
test,0998,event,0,,0,0
test,0999,rgb,0,,1,0
test,0999,ir,0,,0,0
test,0999,event,0,,0,0
test,1014,rgb,0,,1,0
test,1014,ir,0,,0,0
test,1014,event,0,,0,0
test,1017,rgb,0,,1,0
test,1017,ir,0,,0,0
test,1017,event,0,,0,0
test,1023,rgb,0,,1,0
test,1023,ir,0,,0,0
test,1023,event,0,,0,0
test,1060,rgb,0,,1,0
test,1060,ir,0,,0,0
test,1060,event,0,,0,0
test,1082,rgb,0,,1,0
test,1082,ir,0,,0,0
test,1082,event,0,,0,0
test,1083,rgb,0,,1,0
test,1083,ir,0,,0,0
test,1083,event,0,,0,0
test,1084,rgb,0,,1,0
test,1084,ir,0,,0,0
test,1084,event,0,,0,0
test,1085,rgb,0,,1,0
test,1085,ir,0,,0,0
test,1085,event,0,,0,0
test,1086,rgb,0,,1,0
test,1086,ir,0,,0,0
test,1086,event,0,,0,0
test,1087,rgb,0,,1,0
test,1087,ir,0,,0,0
test,1087,event,0,,0,0
test,1088,rgb,0,,1,0
test,1088,ir,0,,0,0
test,1088,event,0,,0,0
test,1089,rgb,0,,1,0
test,1089,ir,0,,0,0
test,1089,event,0,,0,0
test,1090,rgb,0,,1,0
test,1090,ir,0,,0,0
test,1090,event,0,,0,0
test,1091,rgb,0,,1,0
test,1091,ir,0,,0,0
test,1091,event,0,,0,0
test,1092,rgb,0,,1,0
test,1092,ir,0,,0,0
test,1092,event,0,,0,0
test,1093,rgb,0,,1,0
test,1093,ir,0,,0,0
test,1093,event,0,,0,0
test,1097,rgb,0,,1,0
test,1097,ir,0,,0,0
test,1097,event,0,,0,0
test,1098,rgb,0,,1,0
test,1098,ir,0,,0,0
test,1098,event,0,,0,0
test,1099,rgb,0,,1,0
test,1099,ir,0,,0,0
test,1099,event,0,,0,0
test,1100,rgb,0,,1,0
test,1100,ir,0,,0,0
test,1100,event,0,,0,0
test,1101,rgb,0,,1,0
test,1101,ir,0,,0,0
test,1101,event,0,,0,0
test,1200,rgb,0,,1,0
test,1200,ir,0,,0,0
test,1200,event,0,,0,0
test,1397,rgb,0,,1,0
test,1397,ir,0,,0,0
test,1397,event,0,,0,0
test,1811,rgb,0,,1,0
test,1811,ir,0,,0,0
test,1811,event,0,,0,0
test,1816,rgb,0,,1,0
test,1816,ir,0,,0,0
test,1816,event,0,,0,0
test,1836,rgb,0,,1,0
test,1836,ir,0,,0,0
test,1836,event,0,,0,0
test,1840,rgb,0,,1,0
test,1840,ir,0,,0,0
test,1840,event,0,,0,0
test,1842,rgb,0,,1,0
test,1842,ir,0,,0,0
test,1842,event,0,,0,0
test,1846,rgb,0,,1,0
test,1846,ir,0,,0,0
test,1846,event,0,,0,0
test,1859,rgb,0,,1,0
test,1859,ir,0,,0,0
test,1859,event,0,,0,0
test,1863,rgb,0,,1,0
test,1863,ir,0,,0,0
test,1863,event,0,,0,0
test,1866,rgb,0,,1,0
test,1866,ir,0,,0,0
test,1866,event,0,,0,0
train,0002,rgb,0,,1,0
train,0002,ir,0,,0,0
train,0002,event,0,,0,0
train,0006,rgb,0,,1,0
train,0006,ir,0,,0,0
train,0006,event,0,,0,0
train,0007,rgb,0,,1,0
train,0007,ir,0,,0,0
train,0007,event,0,,0,0
train,0008,rgb,0,,1,0
train,0008,ir,0,,0,0
train,0008,event,0,,0,0
train,0009,rgb,0,,1,0
