split,sequence,rgb_count,ir_count,event_count,index_min,index_max,exact_filename_index_match,interval20_samples,rgb_annotated_frames,ir_annotated_frames
train,0007,1941,1941,1941,1,1941,True,98,21,21
train,0008,1948,1948,1948,1,1948,True,98,21,21
devval,0011,2151,2151,2151,1,2151,True,108,23,23
devval,0027,2190,2190,2190,1,2190,True,110,23,23
train,0032,2212,2212,2212,1,2212,True,111,24,24
train,0039,2157,2157,2157,1,2157,True,108,23,23
train,0040,2088,2088,2088,1,2088,True,105,22,22
train,0044,2265,2265,2265,1,2265,True,114,24,24
train,0050,2157,2157,2157,1,2157,True,108,23,23
devval,0052,2206,2206,2206,1,2206,True,111,24,24
train,0056,2008,2008,2008,1,2008,True,101,22,22
train,0072,2334,2334,2334,1,2334,True,117,25,25
train,0075,2175,2175,2175,1,2175,True,109,23,23
train,0076,2166,2166,2166,1,2166,True,109,23,23
devval,0080,2199,2199,2199,1,2199,True,110,23,23
devval,0089,2143,2143,2143,1,2143,True,108,23,23
devval,0091,2100,2100,2100,1,2100,True,105,22,22
devval,0092,2100,2100,2100,1,2100,True,105,22,22
devval,0094,2196,2196,2196,1,2196,True,110,23,23
devval,0096,2676,2676,2676,1,2676,True,134,28,28
train,0097,2148,2148,2148,1,2148,True,108,23,23
train,0099,2140,2140,2140,1,2140,True,107,23,23
train,0101,2167,2167,2167,1,2167,True,109,23,23
train,0102,2109,2109,2109,1,2109,True,106,23,23
devval,0105,2125,2125,2125,1,2125,True,107,23,23
devval,0111,2091,2091,2091,1,2091,True,105,22,22
train,0112,2136,2136,2136,1,2136,True,107,23,23
train,0117,2118,2118,2118,1,2118,True,106,23,23
devval,0133,2388,2388,2388,1,2388,True,120,25,25
train,0134,2035,2035,2035,1,2035,True,102,22,22
train,0138,2131,2131,2131,1,2131,True,107,23,23
train,0139,2158,2158,2158,1,2158,True,108,23,23
devval,0141,2151,2151,2151,1,2151,True,108,23,23
devval,0145,2427,2427,2427,1,2427,True,122,26,26
train,0147,2116,2116,2116,1,2116,True,106,23,22
train,0150,2233,2233,2233,1,2233,True,112,24,24
devval,0153,2302,2302,2302,1,2302,True,116,25,25
train,0157,2157,2157,2157,1,2157,True,108,23,23
train,0162,2226,2226,2226,1,2226,True,112,24,24
train,0164,2160,2160,2160,1,2160,True,108,23,23
train,0177,2178,2178,2178,1,2178,True,109,23,23
devval,0179,2142,2142,2142,1,2142,True,108,23,23
train,0188,2214,2214,2214,1,2214,True,111,24,24
train,0193,2097,2097,2097,1,2097,True,105,22,22
train,0201,2146,2146,2146,1,2146,True,108,23,23
train,0204,2136,2136,2136,1,2136,True,107,23,23
devval,0205,2376,2376,2376,1,2376,True,119,25,25
train,0206,2325,2325,2325,1,2325,True,117,25,25
train,0211,2397,2397,2397,1,2397,True,120,25,25
train,0214,2121,2121,2121,1,2121,True,107,23,23
train,0216,2142,2142,2142,1,2142,True,108,23,23
train,0218,2151,2151,2151,1,2151,True,108,23,23
train,0219,2139,2139,2139,1,2139,True,107,23,23
devval,0221,2112,2112,2112,1,2112,True,106,23,23
train,0222,2121,2121,2121,1,2121,True,107,23,23
train,0224,2127,2127,2127,1,2127,True,107,23,23
train,0232,2142,2142,2142,1,2142,True,108,23,23
train,0233,2115,2115,2115,1,2115,True,106,23,23
train,0239,2098,2098,2098,1,2098,True,105,22,22
train,0240,2109,2109,2109,1,2109,True,106,23,23
train,0242,2130,2130,2130,1,2130,True,107,23,23
train,0244,2154,2154,2154,1,2154,True,108,23,23
devval,0245,2112,2112,2112,1,2112,True,106,23,22
train,0246,2128,2128,2128,1,2128,True,107,23,23
devval,0250,2112,2112,2112,1,2112,True,106,23,23
devval,0259,2137,2137,2137,1,2137,True,107,23,23
train,0260,2154,2154,2154,1,2154,True,108,23,23
train,0279,2262,2262,2262,1,2262,True,114,24,24
train,0286,2124,2124,2124,1,2124,True,107,23,23
train,0288,2215,2215,2215,1,2215,True,111,24,23
train,0291,2211,2211,2211,1,2211,True,111,24,24
train,0299,2482,2482,2482,1,2482,True,125,26,26
devval,0301,2206,2206,2206,1,2206,True,111,24,24
train,0303,2136,2136,2136,1,2136,True,107,23,23
train,0310,2325,2325,2325,1,2325,True,117,25,25
train,0311,2196,2196,2196,1,2196,True,110,23,24
train,0312,2136,2136,2136,1,2136,True,107,23,23
train,0315,2223,2223,2223,1,2223,True,112,24,24
