original_row_id	split	sequence	frame_index	rgb	ir	event	gt_rgb	gt_ir	rgb_annotation_rows	ir_annotation_rows	source_annotation_state	supervision_state	common_track_ids
devval:00000001	devval	0011	1	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000006	devval	0011	101	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000011	devval	0011	201	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000016	devval	0011	301	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000021	devval	0011	401	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000026	devval	0011	501	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000031	devval	0011	601	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000036	devval	0011	701	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000041	devval	0011	801	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
devval:00000046	devval	0011	901	E:\MM-UAV_extracted\MMMUAV\train\0011\rgb_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\ir_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\event_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0011\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
