original_row_id	split	sequence	frame_index	rgb	ir	event	gt_rgb	gt_ir	rgb_annotation_rows	ir_annotation_rows	source_annotation_state	supervision_state	common_track_ids
train:00000001	train	0007	1	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000006	train	0007	101	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000011	train	0007	201	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000016	train	0007	301	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000021	train	0007	401	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000026	train	0007	501	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000031	train	0007	601	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000036	train	0007	701	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000041	train	0007	801	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000046	train	0007	901	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000051	train	0007	1001	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000056	train	0007	1101	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000061	train	0007	1201	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000066	train	0007	1301	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000071	train	0007	1401	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000076	train	0007	1501	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000081	train	0007	1601	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000086	train	0007	1701	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000091	train	0007	1801	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000096	train	0007	1901	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000098	train	0007	1941	E:\MM-UAV_extracted\MMMUAV\train\0007\rgb_frame\1941.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\ir_frame\1941.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\event_frame\1941.jpg	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000099	train	0008	1	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000104	train	0008	101	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000109	train	0008	201	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000114	train	0008	301	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000119	train	0008	401	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000124	train	0008	501	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0501.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000129	train	0008	601	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0601.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000134	train	0008	701	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0701.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000139	train	0008	801	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0801.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000144	train	0008	901	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\0901.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000149	train	0008	1001	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\1001.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000154	train	0008	1101	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\1101.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000159	train	0008	1201	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\1201.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000164	train	0008	1301	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\1301.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
train:00000169	train	0008	1401	E:\MM-UAV_extracted\MMMUAV\train\0008\rgb_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\ir_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\event_frame\1401.jpg	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_rgb\gt.txt	E:\MM-UAV_extracted\MMMUAV\train\0008\gt_ir\gt.txt	3	3	SOURCE_GT_ROW_PRESENT	RGB_SOURCE_GT_PRESENT	1;2;3
