step,modality,theta_mean,theta_std,theta_min,theta_max,theta_max_abs_deviation,determinant_mean,determinant_min,determinant_max,grid_oob_fraction,finite
0,ir,0.3333333432674408,0.4714045226573944,0.0,1.0,0.0,1.0,1.0,1.0,0.0,True
0,event,0.3333333432674408,0.4714045226573944,0.0,1.0,0.0,1.0,1.0,1.0,0.0,True
1,ir,0.3328844904899597,0.47077101469039917,-0.001346604316495359,0.9986534118652344,0.001346604316495359,0.9973068237304688,0.9973068237304688,0.9973068237304688,0.0,True
1,event,0.3342228829860687,0.47171998023986816,-0.0013343150494620204,1.001334309577942,0.001334315282292664,1.0026721954345703,1.0026721954345703,1.0026721954345703,0.0,True
10,ir,0.3326393961906433,0.47003787755966187,-0.0073626358062028885,1.001412272453308,0.0073626358062028885,0.9946516156196594,0.9946516156196594,0.9946516156196594,0.00015624999650754035,True
10,event,0.3346908986568451,0.47251948714256287,-0.0029386652167886496,1.009099006652832,0.009099006652832031,1.0057798624038696,1.0057798624038696,1.0057798624038696,0.0,True
50,ir,0.3309638202190399,0.4706777334213257,-0.011418746784329414,1.0023787021636963,0.011418746784329414,0.9930090308189392,0.9930090308189392,0.9930090308189392,0.0017187499906867743,True
50,event,0.33519482612609863,0.47000283002853394,-0.00863223522901535,1.0033462047576904,0.009968502447009087,0.9996974468231201,0.9996974468231201,0.9996974468231201,0.006874999962747097,True
100,ir,0.33100321888923645,0.4701783061027527,-0.01131210196763277,1.0038809776306152,0.012216567993164062,0.9915327429771423,0.9915327429771423,0.9915327429771423,0.003281249897554517,True
100,event,0.33789873123168945,0.4663623571395874,-0.0110451839864254,0.9986332654953003,0.017759032547473907,0.9947804808616638,0.9947804808616638,0.9947804808616638,0.012343749403953552,True
150,ir,0.333660364151001,0.4716133177280426,-0.005618175026029348,1.01032292842865,0.015036970376968384,1.0008726119995117,1.0008726119995117,1.0008726119995117,0.0073437499813735485,True
150,event,0.33741068840026855,0.46295177936553955,-0.02132052555680275,0.9976457953453064,0.03226865082979202,0.9840579032897949,0.9840579032897949,0.9840579032897949,0.01249999925494194,True
200,ir,0.3315654695034027,0.4750311076641083,-0.011723953299224377,1.0160942077636719,0.016094207763671875,1.006136178970337,1.006136178970337,1.006136178970337,0.016874998807907104,True
200,event,0.3396066427230835,0.46081697940826416,-0.021124647930264473,1.0002747774124146,0.040188610553741455,0.982297420501709,0.982297420501709,0.982297420501709,0.015468749217689037,True
