step,allocated_bytes,reserved_bytes,max_allocated_bytes,max_reserved_bytes
1,130360832,329252864,300915712,329252864
2,130360832,394264576,354884608,394264576
3,130360832,394264576,354884608,394264576
4,130360832,394264576,354884608,394264576
5,130360832,394264576,354884608,394264576
6,130360832,394264576,354884608,394264576
7,130360832,394264576,354884608,394264576
8,130360832,394264576,354884608,394264576
9,130360832,394264576,354884608,394264576
10,130360832,394264576,354884608,394264576
11,130360832,394264576,354884608,394264576
12,130360832,394264576,354884608,394264576
13,130360832,394264576,354884608,394264576
14,130360832,394264576,354884608,394264576
15,130360832,394264576,354884608,394264576
16,130360832,394264576,354884608,394264576
17,130360832,394264576,354884608,394264576
18,130360832,394264576,354884608,394264576
19,130360832,394264576,354884608,394264576
20,130360832,394264576,354884608,394264576
21,130360832,394264576,354884608,394264576
22,130360832,394264576,354884608,394264576
23,130360832,394264576,354884608,394264576
24,130360832,394264576,354884608,394264576
25,130360832,394264576,354884608,394264576
26,130360832,394264576,354884608,394264576
27,130360832,394264576,354884608,394264576
28,130360832,394264576,354884608,394264576
29,130360832,394264576,354884608,394264576
30,130360832,394264576,354884608,394264576
31,130360832,394264576,354884608,394264576
32,130360832,394264576,354884608,394264576
33,130360832,394264576,354884608,394264576
34,130360832,394264576,354884608,394264576
35,130360832,394264576,354884608,394264576
36,130360832,394264576,354884608,394264576
37,130360832,394264576,354884608,394264576
38,130360832,394264576,354884608,394264576
39,130360832,394264576,354884608,394264576
40,130360832,394264576,354884608,394264576
41,130360832,394264576,354884608,394264576
42,130360832,394264576,354884608,394264576
43,130360832,394264576,354884608,394264576
44,130360832,394264576,354884608,394264576
45,130360832,394264576,354884608,394264576
46,130360832,394264576,354884608,394264576
47,130360832,394264576,354884608,394264576
48,130360832,394264576,354884608,394264576
49,130360832,394264576,354884608,394264576
50,130360832,394264576,354884608,394264576
51,130360832,394264576,354884608,394264576
52,130360832,394264576,354884608,394264576
53,130360832,394264576,354884608,394264576
54,130360832,394264576,354884608,394264576
55,130360832,394264576,354884608,394264576
56,130360832,394264576,354884608,394264576
57,130360832,394264576,354884608,394264576
58,130360832,394264576,354884608,394264576
59,130360832,394264576,354884608,394264576
60,130360832,394264576,354884608,394264576
61,130360832,394264576,354884608,394264576
62,130360832,394264576,354884608,394264576
63,130360832,394264576,354884608,394264576
64,130360832,394264576,354884608,394264576
65,130360832,394264576,354884608,394264576
66,130360832,394264576,354884608,394264576
67,130360832,394264576,354884608,394264576
68,130360832,394264576,354884608,394264576
69,130360832,394264576,354884608,394264576
70,130360832,394264576,354884608,394264576
71,130360832,394264576,354884608,394264576
72,130360832,394264576,354884608,394264576
73,130360832,394264576,354884608,394264576
74,130360832,394264576,354884608,394264576
75,130360832,394264576,354884608,394264576
76,130360832,394264576,354884608,394264576
77,130360832,394264576,354884608,394264576
78,130360832,394264576,354884608,394264576
79,130360832,394264576,354884608,394264576
80,130360832,394264576,354884608,394264576
81,130360832,394264576,354884608,394264576
82,130360832,394264576,354884608,394264576
83,130360832,394264576,354884608,394264576
84,130360832,394264576,354884608,394264576
85,130360832,394264576,354884608,394264576
86,130360832,394264576,354884608,394264576
87,130360832,394264576,354884608,394264576
88,130360832,394264576,354884608,394264576
89,130360832,394264576,354884608,394264576
90,130360832,394264576,354884608,394264576
91,130360832,394264576,354884608,394264576
92,130360832,394264576,354884608,394264576
93,130360832,394264576,354884608,394264576
94,130360832,394264576,354884608,394264576
95,130360832,394264576,354884608,394264576
96,130360832,394264576,354884608,394264576
97,130360832,394264576,354884608,394264576
98,130360832,394264576,354884608,394264576
99,130360832,394264576,354884608,394264576
100,130360832,394264576,354884608,394264576
101,130360832,394264576,354884608,394264576
102,130360832,394264576,354884608,394264576
103,130360832,394264576,354884608,394264576
104,130360832,394264576,354884608,394264576
105,130360832,394264576,354884608,394264576
106,130360832,394264576,354884608,394264576
107,130360832,394264576,354884608,394264576
108,130360832,394264576,354884608,394264576
109,130360832,394264576,354884608,394264576
110,130360832,394264576,354884608,394264576
111,130360832,394264576,354884608,394264576
112,130360832,394264576,354884608,394264576
113,130360832,394264576,354884608,394264576
114,130360832,394264576,354884608,394264576
115,130360832,394264576,354884608,394264576
116,130360832,394264576,354884608,394264576
117,130360832,394264576,354884608,394264576
118,130360832,394264576,354884608,394264576
119,130360832,394264576,354884608,394264576
120,130360832,394264576,354884608,394264576
121,130360832,394264576,354884608,394264576
122,130360832,394264576,354884608,394264576
123,130360832,394264576,354884608,394264576
124,130360832,394264576,354884608,394264576
125,130360832,394264576,354884608,394264576
126,130360832,394264576,354884608,394264576
127,130360832,394264576,354884608,394264576
128,130360832,394264576,354884608,394264576
129,130360832,394264576,354884608,394264576
130,130360832,394264576,354884608,394264576
131,130360832,394264576,354884608,394264576
132,130360832,394264576,354884608,394264576
133,130360832,394264576,354884608,394264576
134,130360832,394264576,354884608,394264576
135,130360832,394264576,354884608,394264576
136,130360832,394264576,354884608,394264576
137,130360832,394264576,354884608,394264576
138,130360832,394264576,354884608,394264576
139,130360832,394264576,354884608,394264576
140,130360832,394264576,354884608,394264576
141,130360832,394264576,354884608,394264576
142,130360832,394264576,354884608,394264576
143,130360832,394264576,354884608,394264576
144,130360832,394264576,354884608,394264576
145,130360832,394264576,354884608,394264576
146,130360832,394264576,354884608,394264576
147,130360832,394264576,354884608,394264576
148,130360832,394264576,354884608,394264576
149,130360832,394264576,354884608,394264576
150,130360832,394264576,354884608,394264576
151,130360832,394264576,354884608,394264576
152,130360832,394264576,354884608,394264576
153,130360832,394264576,354884608,394264576
154,130360832,394264576,354884608,394264576
155,130360832,394264576,354884608,394264576
156,130360832,394264576,354884608,394264576
157,130360832,394264576,354884608,394264576
158,130360832,394264576,354884608,394264576
159,130360832,394264576,354884608,394264576
160,130360832,394264576,354884608,394264576
161,130360832,394264576,354884608,394264576
162,130360832,394264576,354884608,394264576
163,130360832,394264576,354884608,394264576
164,130360832,394264576,354884608,394264576
165,130360832,394264576,354884608,394264576
166,130360832,394264576,354884608,394264576
167,130360832,394264576,354884608,394264576
168,130360832,394264576,354884608,394264576
169,130360832,394264576,354884608,394264576
170,130360832,394264576,354884608,394264576
171,130360832,394264576,354884608,394264576
172,130360832,394264576,354884608,394264576
