seed,variant,step,original_row_id,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,ir_alignment_gradient_norm,event_alignment_gradient_norm,ir_theta_max_abs_deviation,ir_determinant_mean,ir_grid_oob_fraction,event_theta_max_abs_deviation,event_determinant_mean,event_grid_oob_fraction,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
1,alignment_off_equal,1,train:00009879,0.0338251031935215,0.0338251031935215,0.0,0.0,0.0001,1.614954763973445,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120923648,325058560,0.038990500000000594,0.4322892000000005,0.19430939999999985,0.1750765999999997,0.8419540999999997
1,alignment_off_equal,2,train:00028906,0.010437794029712677,0.010437794029712677,0.0,0.0,0.0001,0.4510332692581091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.05901170000000011,0.04072459999999989,0.04881950000000046,0.14169149999999942,0.28396750000000015
1,alignment_off_equal,3,train:00012397,0.005305351689457893,0.005305351689457893,0.0,0.0,0.0001,0.2213793852477179,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04758249999999986,0.04773140000000087,0.04940759999999944,0.15370690000000042,0.2999395000000007
1,alignment_off_equal,4,train:00003260,0.0036839228123426437,0.0036839228123426437,0.0,0.0,0.0001,0.1313182247683993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.038636799999999916,0.0402863,0.0459738999999999,0.14422619999999942,0.2700009999999997
1,alignment_off_equal,5,train:00013837,2.956533193588257,1.3282455205917358,0.9677872657775879,0.6605002880096436,0.0001,19.930697754863562,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04430400000000034,0.046312099999999745,0.05287850000000027,0.15783159999999974,0.30220119999999984
1,alignment_off_equal,6,train:00027473,3.0014219284057617,1.2581520080566406,1.0046899318695068,0.738580048084259,0.0001,19.601373674027823,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03100270000000016,0.03627749999999974,0.04712039999999984,0.12610290000000024,0.24151909999999965
1,alignment_off_equal,7,train:00020869,3.160562515258789,1.3097785711288452,1.1477723121643066,0.7030115127563477,0.0001,76.52948608051395,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.043642399999999526,0.03541699999999892,0.04820840000000004,0.1320174000000005,0.2601635000000009
1,alignment_off_equal,8,train:00032741,2.8508553504943848,1.1928555965423584,0.9557278156280518,0.7022718787193298,0.0001,29.643364751784976,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03692889999999949,0.03425960000000039,0.06343949999999943,0.13395120000000027,0.2695489000000002
1,alignment_off_equal,9,train:00013457,0.004003755748271942,0.004003755748271942,0.0,0.0,0.0001,0.18593597915153162,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.034126799999999236,0.044261399999999895,0.04676560000000052,0.13982519999999887,0.26594049999999925
1,alignment_off_equal,10,train:00007075,2.799262285232544,1.1584023237228394,0.9380348324775696,0.7028250098228455,0.0001,11.252048194733714,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.037051100000001114,0.03631910000000005,0.05319699999999905,0.14530960000000093,0.27272430000000014
1,alignment_off_equal,11,train:00023018,0.006273526232689619,0.006273526232689619,0.0,0.0,0.0001,0.32484521348650586,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.047910899999999756,0.03491429999999873,0.05146080000000097,0.13340400000000052,0.26220710000000125
1,alignment_off_equal,12,train:00029556,2.2443652153015137,1.1022840738296509,0.5703006982803345,0.5717805624008179,0.0001,62.13882143326121,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.039698899999999426,0.03663599999999967,0.05361309999999975,0.13083620000000096,0.2617129000000009
1,alignment_off_equal,13,train:00024573,2.6856689453125,1.0573705434799194,0.9228483438491821,0.7054500579833984,0.0001,78.5775073420267,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.033479999999999066,0.03581080000000014,0.051685600000000775,0.13257980000000025,0.25513530000000095
1,alignment_off_equal,14,train:00014166,2.5368337631225586,1.0665336847305298,0.7739117741584778,0.6963881254196167,0.0001,38.1074682295905,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04364290000000004,0.037939200000000284,0.050070699999999135,0.13147159999999936,0.2641814999999994
1,alignment_off_equal,15,train:00032973,2.4292306900024414,1.0248215198516846,0.6729294657707214,0.7314796447753906,0.0001,25.081112467383633,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.028881200000000717,0.03778330000000096,0.052262499999999434,0.13957000000000086,0.25940210000000086
