row_type,method,seed,AP,AP50,AP75,AR@1,AR@10,AR@100
seed,equal,0,0.0363043928,0.1493416683,0.0035733839,0.0501429252,0.0753692234,0.0815388280
seed,equal,1,0.0030357792,0.0174066630,0.0003960396,0.0109337780,0.0180323964,0.0195569319
mean,equal,both,0.0196700860,0.0833741656,0.0019847118,0.0305383516,0.0467008099,0.0505478799
sample_std,equal,both,0.0235244622,0.0932921369,0.0022467217,0.0277250539,0.0405432592,0.0438278191
seed,reliability,0,0.0404763204,0.1567504662,0.0056653983,0.0518818485,0.0829680800,0.0890424011
seed,reliability,1,0.0025823958,0.0139110456,0.0002883784,0.0115292997,0.0188661267,0.0203191996
mean,reliability,both,0.0215293581,0.0853307559,0.0029768883,0.0317055741,0.0509171034,0.0546808004
sample_std,reliability,both,0.0267950511,0.1010027229,0.0038021272,0.0285335609,0.0453269259,0.0485946418
matched_delta,reliability-minus-equal,0,+0.0041719276,+0.0074087979,+0.0020920143,+0.0017389233,+0.0075988566,+0.0075035731
matched_delta,reliability-minus-equal,1,-0.0004533834,-0.0034956174,-0.0001076613,+0.0005955217,+0.0008337303,+0.0007622677
mean_matched_delta,reliability-minus-equal,both,+0.0018592721,+0.0019565902,+0.0009921765,+0.0011672225,+0.0042162935,+0.0041329204
