epoch=1 mean_loss=1.58064467 project_ap50=0.28941473 project_ap75=0.08005564
epoch=2 mean_loss=1.43527491 project_ap50=0.33406976 project_ap75=0.18073057
epoch=3 mean_loss=1.37573642 project_ap50=0.33467874 project_ap75=0.13611561
epoch=4 mean_loss=1.33182927 project_ap50=0.36114073 project_ap75=0.19246264
epoch=5 mean_loss=1.29244331 project_ap50=0.35209078 project_ap75=0.18767920
epoch=6 mean_loss=1.25541386 project_ap50=0.35920781 project_ap75=0.16880435
epoch=7 mean_loss=1.22847384 project_ap50=0.33897382 project_ap75=0.19082259
epoch=8 mean_loss=1.19561851 project_ap50=0.32297856 project_ap75=0.17933871
epoch=9 mean_loss=1.16546273 project_ap50=0.33699748 project_ap75=0.18565956
epoch=10 mean_loss=1.14322596 project_ap50=0.33398047 project_ap75=0.18851128
epoch=11 mean_loss=1.11994744 project_ap50=0.29577684 project_ap75=0.16641071
epoch=12 mean_loss=1.09942467 project_ap50=0.28753179 project_ap75=0.15497640
epoch=13 mean_loss=1.07810387 project_ap50=0.30212751 project_ap75=0.16840993
epoch=14 mean_loss=1.05921676 project_ap50=0.30776706 project_ap75=0.18649286
epoch=15 mean_loss=1.04459028 project_ap50=0.28038058 project_ap75=0.18017225
epoch=16 mean_loss=1.03068526 project_ap50=0.28308842 project_ap75=0.17173298
epoch=17 mean_loss=1.01400467 project_ap50=0.29863599 project_ap75=0.17542239
epoch=18 mean_loss=1.00274026 project_ap50=0.29728669 project_ap75=0.18076694
epoch=19 mean_loss=0.99099355 project_ap50=0.28454989 project_ap75=0.16483548
epoch=20 mean_loss=0.97818404 project_ap50=0.26538646 project_ap75=0.15977341
epoch=21 mean_loss=0.96679431 project_ap50=0.25872529 project_ap75=0.15428242
epoch=22 mean_loss=0.95628396 project_ap50=0.27388439 project_ap75=0.17008090
epoch=23 mean_loss=0.94660893 project_ap50=0.30060166 project_ap75=0.18389845
epoch=24 mean_loss=0.93788915 project_ap50=0.27242664 project_ap75=0.17226723
epoch=25 mean_loss=0.93174900 project_ap50=0.26571828 project_ap75=0.15886073
epoch=26 mean_loss=0.92387466 project_ap50=0.27752453 project_ap75=0.16789600
epoch=27 mean_loss=0.91569709 project_ap50=0.24584720 project_ap75=0.15327168
epoch=28 mean_loss=0.90743145 project_ap50=0.27866447 project_ap75=0.16048266
epoch=29 mean_loss=0.90193732 project_ap50=0.22126490 project_ap75=0.13401560
epoch=30 mean_loss=0.89751359 project_ap50=0.29880512 project_ap75=0.18666664
epoch=31 mean_loss=0.88725260 project_ap50=0.24016117 project_ap75=0.14694041
epoch=32 mean_loss=0.88282468 project_ap50=0.26548764 project_ap75=0.16630656
epoch=33 mean_loss=0.87923065 project_ap50=0.26348481 project_ap75=0.17159133
epoch=34 mean_loss=0.87250366 project_ap50=0.28112501 project_ap75=0.17230494
epoch=35 mean_loss=0.86568042 project_ap50=0.26351613 project_ap75=0.15776332
epoch=36 mean_loss=0.86310993 project_ap50=0.23938204 project_ap75=0.16052607
epoch=37 mean_loss=0.85732305 project_ap50=0.28021955 project_ap75=0.18832354
epoch=38 mean_loss=0.85090985 project_ap50=0.25877354 project_ap75=0.16672862
epoch=39 mean_loss=0.84735452 project_ap50=0.25802952 project_ap75=0.16599241
epoch=40 mean_loss=0.84383357 project_ap50=0.24499601 project_ap75=0.16275966
epoch=41 mean_loss=0.83975062 project_ap50=0.21291755 project_ap75=0.14883834
epoch=42 mean_loss=0.83647455 project_ap50=0.26344186 project_ap75=0.16885926
epoch=43 mean_loss=0.83228743 project_ap50=0.22667454 project_ap75=0.14733416
epoch=44 mean_loss=0.82769397 project_ap50=0.22796604 project_ap75=0.14172427
epoch=45 mean_loss=0.82448469 project_ap50=0.22406080 project_ap75=0.15057044
epoch=46 mean_loss=0.81993724 project_ap50=0.25040254 project_ap75=0.16666743
epoch=47 mean_loss=0.81672704 project_ap50=0.24708956 project_ap75=0.16211131
epoch=48 mean_loss=0.81265916 project_ap50=0.23658921 project_ap75=0.15616056
epoch=49 mean_loss=0.80928660 project_ap50=0.24588187 project_ap75=0.16633494
epoch=50 mean_loss=0.80818880 project_ap50=0.27661654 project_ap75=0.18494357
