epoch=1 mean_loss=1.39697530 project_ap50=0.61896348 project_ap75=0.26518047
epoch=2 mean_loss=1.12022303 project_ap50=0.69668633 project_ap75=0.33894905
epoch=3 mean_loss=1.02534945 project_ap50=0.75552744 project_ap75=0.38784140
epoch=4 mean_loss=0.96913977 project_ap50=0.74834019 project_ap75=0.39040506
epoch=5 mean_loss=0.92906169 project_ap50=0.75101572 project_ap75=0.40509054
epoch=6 mean_loss=0.89719474 project_ap50=0.75482225 project_ap75=0.40977582
epoch=7 mean_loss=0.87380762 project_ap50=0.74793136 project_ap75=0.41843206
epoch=8 mean_loss=0.85022320 project_ap50=0.76144236 project_ap75=0.42362860
epoch=9 mean_loss=0.83175168 project_ap50=0.75799578 project_ap75=0.42271653
epoch=10 mean_loss=0.81701510 project_ap50=0.75207132 project_ap75=0.43874478
epoch=11 mean_loss=0.80471412 project_ap50=0.75348896 project_ap75=0.44146991
epoch=12 mean_loss=0.79300564 project_ap50=0.76309025 project_ap75=0.45022413
epoch=13 mean_loss=0.78251355 project_ap50=0.74731052 project_ap75=0.42935738
epoch=14 mean_loss=0.77356053 project_ap50=0.72753096 project_ap75=0.42592275
epoch=15 mean_loss=0.76613577 project_ap50=0.72380817 project_ap75=0.42485681
epoch=16 mean_loss=0.75994003 project_ap50=0.75076079 project_ap75=0.42876348
epoch=17 mean_loss=0.75311058 project_ap50=0.73631507 project_ap75=0.43359613
epoch=18 mean_loss=0.74821066 project_ap50=0.74927133 project_ap75=0.43641126
epoch=19 mean_loss=0.74166822 project_ap50=0.73957545 project_ap75=0.43620470
epoch=20 mean_loss=0.73704323 project_ap50=0.71751142 project_ap75=0.42489183
epoch=21 mean_loss=0.73151935 project_ap50=0.70937109 project_ap75=0.42143542
epoch=22 mean_loss=0.72779749 project_ap50=0.72061229 project_ap75=0.42582524
epoch=23 mean_loss=0.72630940 project_ap50=0.72212404 project_ap75=0.41303170
epoch=24 mean_loss=0.72152182 project_ap50=0.71590006 project_ap75=0.42035478
epoch=25 mean_loss=0.71768689 project_ap50=0.70740223 project_ap75=0.42466649
epoch=26 mean_loss=0.71540853 project_ap50=0.70940030 project_ap75=0.41963708
epoch=27 mean_loss=0.71337927 project_ap50=0.72175163 project_ap75=0.41668400
epoch=28 mean_loss=0.70991463 project_ap50=0.70526224 project_ap75=0.42770478
epoch=29 mean_loss=0.70656812 project_ap50=0.69925374 project_ap75=0.41579205
epoch=30 mean_loss=0.70535132 project_ap50=0.67319161 project_ap75=0.41390511
epoch=31 mean_loss=0.70231577 project_ap50=0.68573833 project_ap75=0.40964502
epoch=32 mean_loss=0.69988330 project_ap50=0.71434051 project_ap75=0.42136958
epoch=33 mean_loss=0.69925064 project_ap50=0.67779583 project_ap75=0.40120947
epoch=34 mean_loss=0.69519729 project_ap50=0.71167850 project_ap75=0.42038769
epoch=35 mean_loss=0.69520826 project_ap50=0.70737618 project_ap75=0.41262355
epoch=36 mean_loss=0.69148102 project_ap50=0.67749596 project_ap75=0.40505368
epoch=37 mean_loss=0.69310922 project_ap50=0.71678978 project_ap75=0.42369759
epoch=38 mean_loss=0.69050619 project_ap50=0.70257515 project_ap75=0.41125998
epoch=39 mean_loss=0.68842721 project_ap50=0.69121319 project_ap75=0.40830266
epoch=40 mean_loss=0.68692888 project_ap50=0.69709045 project_ap75=0.41667402
epoch=41 mean_loss=0.68535547 project_ap50=0.69406933 project_ap75=0.40755886
epoch=42 mean_loss=0.68646160 project_ap50=0.66417640 project_ap75=0.40327966
epoch=43 mean_loss=0.68378825 project_ap50=0.65875638 project_ap75=0.40372938
epoch=44 mean_loss=0.68050823 project_ap50=0.68837917 project_ap75=0.40619472
epoch=45 mean_loss=0.68141984 project_ap50=0.67998809 project_ap75=0.41030598
epoch=46 mean_loss=0.68028416 project_ap50=0.69954610 project_ap75=0.41653287
epoch=47 mean_loss=0.67960687 project_ap50=0.68595123 project_ap75=0.41327128
epoch=48 mean_loss=0.67875170 project_ap50=0.71192777 project_ap75=0.42370415
epoch=49 mean_loss=0.67754959 project_ap50=0.71081269 project_ap75=0.42780948
epoch=50 mean_loss=0.67687325 project_ap50=0.70955491 project_ap75=0.42031118
