epoch=1 mean_loss=1.26130853 project_ap50=0.77114493 project_ap75=0.41805711
epoch=2 mean_loss=1.03735121 project_ap50=0.84876931 project_ap75=0.59742600
epoch=3 mean_loss=0.96709420 project_ap50=0.84009552 project_ap75=0.61873627
epoch=4 mean_loss=0.92275948 project_ap50=0.83536416 project_ap75=0.60241789
epoch=5 mean_loss=0.88862541 project_ap50=0.82699054 project_ap75=0.58849460
epoch=6 mean_loss=0.86075924 project_ap50=0.83516383 project_ap75=0.61460018
epoch=7 mean_loss=0.83401768 project_ap50=0.82984084 project_ap75=0.60543227
epoch=8 mean_loss=0.80835590 project_ap50=0.80305797 project_ap75=0.58944857
epoch=9 mean_loss=0.79030185 project_ap50=0.82087541 project_ap75=0.57953280
epoch=10 mean_loss=0.77390477 project_ap50=0.81301975 project_ap75=0.59527189
epoch=11 mean_loss=0.76018718 project_ap50=0.80175340 project_ap75=0.58270097
epoch=12 mean_loss=0.74959058 project_ap50=0.79842669 project_ap75=0.57255822
epoch=13 mean_loss=0.74063950 project_ap50=0.79953676 project_ap75=0.58523846
epoch=14 mean_loss=0.73062725 project_ap50=0.79544884 project_ap75=0.57905155
epoch=15 mean_loss=0.72340151 project_ap50=0.76686269 project_ap75=0.55594057
epoch=16 mean_loss=0.71945303 project_ap50=0.75600272 project_ap75=0.56398457
epoch=17 mean_loss=0.71173173 project_ap50=0.76945531 project_ap75=0.55772120
epoch=18 mean_loss=0.70874338 project_ap50=0.79601324 project_ap75=0.56763142
epoch=19 mean_loss=0.70296910 project_ap50=0.76584750 project_ap75=0.57015908
epoch=20 mean_loss=0.70172966 project_ap50=0.78853512 project_ap75=0.56966501
epoch=21 mean_loss=0.69774423 project_ap50=0.78639603 project_ap75=0.56096590
epoch=22 mean_loss=0.69285187 project_ap50=0.77407670 project_ap75=0.56624079
epoch=23 mean_loss=0.69180050 project_ap50=0.78935236 project_ap75=0.57701373
epoch=24 mean_loss=0.68773372 project_ap50=0.78345400 project_ap75=0.56093782
epoch=25 mean_loss=0.68585857 project_ap50=0.78670913 project_ap75=0.56757367
epoch=26 mean_loss=0.68360458 project_ap50=0.75767845 project_ap75=0.56351489
epoch=27 mean_loss=0.68138013 project_ap50=0.78828937 project_ap75=0.57438457
epoch=28 mean_loss=0.68106340 project_ap50=0.73470765 project_ap75=0.55950171
epoch=29 mean_loss=0.67754948 project_ap50=0.77491343 project_ap75=0.56907403
epoch=30 mean_loss=0.67691943 project_ap50=0.76535177 project_ap75=0.56375986
epoch=31 mean_loss=0.67286230 project_ap50=0.76469207 project_ap75=0.55677897
epoch=32 mean_loss=0.67386220 project_ap50=0.77299821 project_ap75=0.56435370
epoch=33 mean_loss=0.67240869 project_ap50=0.77797019 project_ap75=0.57172680
epoch=34 mean_loss=0.66910606 project_ap50=0.76970756 project_ap75=0.56138396
epoch=35 mean_loss=0.66969147 project_ap50=0.75818962 project_ap75=0.56233644
epoch=36 mean_loss=0.66775716 project_ap50=0.76285839 project_ap75=0.55397099
epoch=37 mean_loss=0.66690889 project_ap50=0.76581031 project_ap75=0.56374568
epoch=38 mean_loss=0.66662916 project_ap50=0.75174761 project_ap75=0.55937243
epoch=39 mean_loss=0.66435728 project_ap50=0.75834763 project_ap75=0.55453366
epoch=40 mean_loss=0.66218859 project_ap50=0.77945507 project_ap75=0.56905699
epoch=41 mean_loss=0.66112878 project_ap50=0.73038423 project_ap75=0.55718404
epoch=42 mean_loss=0.66209035 project_ap50=0.75770146 project_ap75=0.55443048
epoch=43 mean_loss=0.66144328 project_ap50=0.77347535 project_ap75=0.56206411
epoch=44 mean_loss=0.66236807 project_ap50=0.77027625 project_ap75=0.56094956
epoch=45 mean_loss=0.65605089 project_ap50=0.74171716 project_ap75=0.55048543
epoch=46 mean_loss=0.65772469 project_ap50=0.77736443 project_ap75=0.56624812
epoch=47 mean_loss=0.65644042 project_ap50=0.76196849 project_ap75=0.56689525
epoch=48 mean_loss=0.65642692 project_ap50=0.74249893 project_ap75=0.55531341
epoch=49 mean_loss=0.65707765 project_ap50=0.78095669 project_ap75=0.56817603
epoch=50 mean_loss=0.65534766 project_ap50=0.75439984 project_ap75=0.56228507
