run_id,family,group,seed,input_channels,input_shape,precision,total_params,trainable_params,operator_flops,derived_macs,mean_latency_ms,median_latency_ms,p95_latency_ms,throughput_fps,peak_allocated_memory_mib,peak_reserved_memory_mib,checkpoint,checkpoint_sha256,warmup_iterations,measured_iterations
event_seed0,single_modality,event,0,1,1x1x640x640,float32,6591597,6591597,104752610753,52376305376.5,22.46873749999996,22.19615000000008,25.39200000000008,44.50628345273079,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\event_seed0\weights\best.pt,0f8768448cc857e78db1151726f30f77ada4867492c37d66c58c1a1204278039,50,200
event_seed1,single_modality,event,1,1,1x1x640x640,float32,6591597,6591597,104752619063,52376309531.5,22.044308999999895,21.84955000000066,23.793900000001145,45.36318194414734,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\event_seed1\weights\best.pt,94522d1dadc5e513c4a0664d30609f83a1d2cbb7dad45c69a28bbfac9e478d83,50,200
event_seed2,single_modality,event,2,1,1x1x640x640,float32,6591597,6591597,104752604476,52376302238.0,21.867494999999835,21.734349999999125,23.266299999999518,45.729975015428494,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\event_seed2\weights\best.pt,958088e173d4d6c8b0ed5185e061710f6ae33cb6f10a9e3d81d71734c59d6cb7,50,200
rgb_seed0,single_modality,rgb,0,3,1x3x640x640,float32,6591603,6591603,104757515549,52378757774.5,22.23239399999983,22.090150000000364,23.5766000000055,44.97941157394061,115.49072265625,176.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\rgb_seed0\weights\best.pt,b9cc8c5a8a22cab4f47273d15958fa995a918da5a3dd7a334415d7db03379ad4,50,200
rgb_seed1,single_modality,rgb,1,3,1x3x640x640,float32,6591603,6591603,104757519906,52378759953.0,21.909656000000055,21.815099999997756,23.214100000004123,45.6419763048766,115.49072265625,176.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\rgb_seed1\weights\best.pt,09ac2f854f5f14bb33a1b13a911492ebb11e43cb2ed3ed744af073182a7056af,50,200
rgb_seed2,single_modality,rgb,2,3,1x3x640x640,float32,6591603,6591603,104757513887,52378756943.5,22.055458999999864,22.008149999997784,23.439100000004487,45.34024886990591,115.49072265625,176.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\rgb_seed2\weights\best.pt,014dcc30e9d3dba658ef0d412473f974d1674e39c049c60646e20747f4d2648c,50,200
thermal_seed0,single_modality,thermal,0,1,1x1x640x640,float32,6591597,6591597,104752603681,52376301840.5,21.868023999999693,21.647149999999726,23.303800000000763,45.72886878119459,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\thermal_seed0\weights\best.pt,c156ffece27c76475464444fdf27d2964d154a96aeb84dbf198b2c3d5bff6c4b,50,200
thermal_seed1,single_modality,thermal,1,1,1x1x640x640,float32,6591597,6591597,104752604978,52376302489.0,22.615213500000237,22.38125000000224,24.10030000000063,44.21802164281976,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\thermal_seed1\weights\best.pt,4b4fb5efc3722545f4f04347d3255ba42689bcbfaf45da825afb3ef22abaafe5,50,200
thermal_seed2,single_modality,thermal,2,1,1x1x640x640,float32,6591597,6591597,104752600036,52376300018.0,22.10837350000002,21.828349999996277,24.75220000000178,45.231730864326096,109.24072265625,162.0,E:\RepViT-v74-clean\runs\v76_triair_single_modality_ablation\training\thermal_seed2\weights\best.pt,4a6d685b66094025416368e3b7f8b8bf636dc075f50bb559d00426b95ff209e8,50,200
matched_early_seed0,multimodal_fusion,matched_early,0,5,1x5x640x640,float32,6591609,6591609,104762430035,52381215017.5,21.834111000000007,21.640350000005526,24.065500000006068,45.799895402198864,122.49072265625,176.0,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\matched_early_seed0\weights\best.pt,23331a6e668634f5f1ca1c7dfaddd23e9ee5445c0558e325621e8f454a0b1602,50,200
