effect,variant,seed,condition,metric,delta
dynamic_gate_main,,0,full,ap50_95,0.030623526100944765
modality_dropout_main,,0,full,ap50_95,-0.00795742376071329
gate_x_dropout_interaction,,0,full,ap50_95,0.049370929958748366
dynamic_gate_main,,0,full,ap50,0.006840046357587504
modality_dropout_main,,0,full,ap50,0.006016681988251782
gate_x_dropout_interaction,,0,full,ap50,0.0004789524369881448
dynamic_gate_main,,0,full,ap75,0.0530610737645128
modality_dropout_main,,0,full,ap75,0.0004780318853127574
gate_x_dropout_interaction,,0,full,ap75,0.04936840558727973
dynamic_gate_main,,0,full,ar100,0.022038520538605832
modality_dropout_main,,0,full,ar100,-0.008385887165501982
gate_x_dropout_interaction,,0,full,ar100,0.041111300494290126
dynamic_gate_main,,0,no_rgb,ap50_95,0.0210259650064466
modality_dropout_main,,0,no_rgb,ap50_95,0.12308523857365083
gate_x_dropout_interaction,,0,no_rgb,ap50_95,0.021077960632925885
dynamic_gate_main,,0,no_rgb,ap50,0.00721971375716296
modality_dropout_main,,0,no_rgb,ap50,0.17757519010428874
gate_x_dropout_interaction,,0,no_rgb,ap50,0.03488893270261351
dynamic_gate_main,,0,no_rgb,ap75,0.03643277079511287
modality_dropout_main,,0,no_rgb,ap75,0.1501256741998267
gate_x_dropout_interaction,,0,no_rgb,ap75,0.012331240472988503
dynamic_gate_main,,0,no_rgb,ar100,0.0023606613260609977
modality_dropout_main,,0,no_rgb,ar100,0.10576955854780995
gate_x_dropout_interaction,,0,no_rgb,ar100,0.04583262314641223
dynamic_gate_main,,0,no_thermal,ap50_95,0.02154166048412756
modality_dropout_main,,0,no_thermal,ap50_95,0.1529563053858458
gate_x_dropout_interaction,,0,no_thermal,ap50_95,0.017651204456320124
dynamic_gate_main,,0,no_thermal,ap50,-0.01481423234005702
modality_dropout_main,,0,no_thermal,ap50,0.36824189597475804
gate_x_dropout_interaction,,0,no_thermal,ap50,-0.003540974539456898
dynamic_gate_main,,0,no_thermal,ap75,0.039329014286411085
modality_dropout_main,,0,no_thermal,ap75,0.09141453863994045
gate_x_dropout_interaction,,0,no_thermal,ap75,0.03334380918081653
dynamic_gate_main,,0,no_thermal,ar100,0.004550877791034608
modality_dropout_main,,0,no_thermal,ar100,0.23412306118970513
gate_x_dropout_interaction,,0,no_thermal,ar100,0.03197545594000334
dynamic_gate_main,,0,no_event,ap50_95,-0.16824247747451948
modality_dropout_main,,0,no_event,ap50_95,0.19416126213812523
gate_x_dropout_interaction,,0,no_event,ap50_95,0.44980242036495377
dynamic_gate_main,,0,no_event,ap50,-0.19575628767468695
modality_dropout_main,,0,no_event,ap50,0.21107755402958822
gate_x_dropout_interaction,,0,no_event,ap50,0.4086302451689424
dynamic_gate_main,,0,no_event,ap75,-0.22086130394603526
modality_dropout_main,,0,no_event,ap75,0.26880654109209884
gate_x_dropout_interaction,,0,no_event,ap75,0.6101968436937398
dynamic_gate_main,,0,no_event,ar100,-0.1306885972387932
modality_dropout_main,,0,no_event,ar100,0.14471620930628945
gate_x_dropout_interaction,,0,no_event,ar100,0.3428157491051644
removal_minus_full,matched_early,0,no_rgb,ap50_95,-0.23115972945479857
removal_minus_full,matched_early,0,no_rgb,ap50,-0.22704996048687942
removal_minus_full,matched_early,0,no_rgb,ap75,-0.3158801688772507
removal_minus_full,matched_early,0,no_rgb,ar100,-0.17020623828191583
removal_minus_full,matched_early,0,no_thermal,ap50_95,-0.46198693787137296
removal_minus_full,matched_early,0,no_thermal,ap50,-0.5788764129463895
