variant,condition,n,ap50_95_mean,ap50_95_sample_sd,ap50_mean,ap50_sample_sd,ap75_mean,ap75_sample_sd,ar100_mean,ar100_sample_sd
matched_early,full,3,0.680255156839423,0.022049568753091206,0.9372451937738123,0.004660483397389119,0.8090323693938453,0.025091482879735755,0.7577694449179024,0.018374638529850815
matched_early,no_rgb,3,0.49467180001384164,0.02436504318297665,0.7636485858751247,0.05329657098578359,0.5365309408566237,0.018336581621733756,0.6231293676495654,0.01886411157315879
matched_early,no_thermal,3,0.2269999774317435,0.01659631228727582,0.375346727658995,0.0161657745842373,0.2452731403761049,0.04004996228635289,0.332469746037157,0.009702205985190027
matched_early,no_event,3,0.6348676007168615,0.07033858714205683,0.9131055397859307,0.03037669493955607,0.7487910476726175,0.09591035792404426,0.7300437475143458,0.046728360413179515
early_moddrop,full,3,0.6840097064820851,0.010124620806467617,0.9437355528040237,0.002847646612883893,0.8211211331005236,0.006972680822785653,0.7607067780239759,0.009359088883413741
early_moddrop,no_rgb,3,0.5967702867107171,0.011887301111373563,0.8826969574156044,0.0073925917930513785,0.6840760656324418,0.02574154944089255,0.7040338617124027,0.01203123821117523
early_moddrop,no_thermal,3,0.38871837320701025,0.009156817298133765,0.7025914481729371,0.031507258037455056,0.37103265084134335,0.009116243011749405,0.5519288676779729,0.012865644338312254
early_moddrop,no_event,3,0.6802669785404003,0.01040829635891844,0.9433344524068289,0.0033213589027800824,0.8122040760939976,0.010141822124524228,0.7581444236122948,0.008468508512209623
ra_no_moddrop,full,3,0.7251478470429465,0.012111890367362365,0.9475466989427793,0.0002830752736000077,0.874167459572663,0.008120322819618551,0.7916709277881938,0.009793571476120018
ra_no_moddrop,no_rgb,3,0.48294188515987624,0.0029802230783438238,0.6739424108421214,0.028673997620877276,0.5588924964481846,0.006412801370786979,0.5751377762627122,0.015330890719743782
ra_no_moddrop,no_thermal,3,0.27088484095657794,0.01946065315733635,0.37959067213693476,0.058540590857470876,0.31057660604574694,0.0017838525249807365,0.33791261860121585,0.051524952446475335
ra_no_moddrop,no_event,3,0.3094189753548092,0.012063602034512485,0.5029587711394155,0.034218089470441415,0.3214219769844701,0.015720374222976122,0.4527697289926709,0.03974600569056109
ra_full_p015,full,3,0.7156055407632191,0.017211874764015134,0.9534118763500689,0.0016594323134505235,0.8728763635024613,0.019187250894846655,0.7825691722061247,0.016079666778109805
ra_full_p015,no_rgb,3,0.6139479689153611,0.01287287518584427,0.8936651148932192,0.0045464232084537525,0.7089375323914552,0.011361579829787158,0.7153514004886086,0.01103175094191949
ra_full_p015,no_thermal,3,0.39616748017716663,0.02200268036767285,0.6960589134269306,0.017008292832011322,0.39045876996911655,0.027352532420569533,0.5533776489972161,0.01530812480123261
ra_full_p015,no_event,3,0.7069107090625493,0.02233082054564203,0.9523504139817726,0.002717996943429655,0.8568720255556553,0.03076514275676424,0.7756661553320834,0.01807773530256654
