modality,severity,operator,rgb_weight_mean,thermal_weight_mean,event_weight_mean,ap50_95,ap50,ap75,ar100,runtime_seconds,seed,run_id,checkpoint_sha256,split_sha256
clean,0,none,0.3602418457719733,0.46916630260235603,0.17059185221569062,0.7112447552783334,0.947746927354984,0.8661636017503372,0.7803647520027271,44.525192737579346,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,1,box_blur_kernel_3,0.36175527178017036,0.4676243803243776,0.170620347403909,0.710936769391289,0.9478837954448237,0.8645676473643471,0.7798704619055735,45.21694254875183,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,2,box_blur_kernel_7,0.36397067714487596,0.46517578728069453,0.1708535366484174,0.6994600755701019,0.9430957618255461,0.8500754470918911,0.7715016192261803,47.1899619102478,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,3,box_blur_kernel_11,0.3651345143497825,0.463830660628824,0.17103482567706477,0.6869596074891013,0.9354681247850875,0.8360246762765698,0.7638145559911369,50.0421986579895,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,1,box_blur_kernel_3,0.35876434763503784,0.4700297795739437,0.17120587155795236,0.7112446083747623,0.9446943230943191,0.8620552482103203,0.7806715527526845,43.845216035842896,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,2,box_blur_kernel_7,0.357184122867421,0.4704912139319129,0.17232466269228935,0.6779172410303103,0.9265939296122223,0.811456913731984,0.7577296744503152,44.56110167503357,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,3,box_blur_kernel_11,0.35645499952908455,0.47050151961337533,0.17304348249713922,0.6261949632325364,0.9007174196155833,0.7391537411554655,0.7199761377194477,46.79031324386597,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,1,attenuation_0.75,0.36837666792819473,0.4305999634885917,0.20102336878185081,0.7115403430689662,0.947580423889083,0.8641110897629976,0.7803988409749446,43.02461886405945,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,2,attenuation_0.50,0.4345501324560003,0.3281439922537892,0.2373058762665631,0.6953476824780362,0.9416087512688168,0.8499019777905948,0.7684506562127152,43.29165577888489,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,3,attenuation_0.25,0.5786608734445446,0.1779070100395646,0.2434321168491973,0.5528453853115771,0.8471962762265591,0.6364032854376134,0.677910346003068,43.276753664016724,0,ra_no_moddrop_seed0,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
