seed,descriptor,gate_weight,quantile_bin,descriptor_mean,weight_mean,n
0,rgb_mean_luminance,rgb_weight,1,0.04245507405570479,0.07727086283350637,443
0,rgb_mean_luminance,rgb_weight,2,0.09466339667952088,0.09682901649321714,443
0,rgb_mean_luminance,rgb_weight,3,0.1606457154045794,0.1664807713226863,443
0,rgb_mean_luminance,rgb_weight,4,0.45683131168061253,0.7244429526285888,442
0,rgb_mean_luminance,rgb_weight,5,0.5232951076052308,0.7378601615245526,442
0,rgb_std_luminance,rgb_weight,1,0.054404405885403365,0.07866951581889566,443
0,rgb_std_luminance,rgb_weight,2,0.09566973835969886,0.09468665338094025,443
0,rgb_std_luminance,rgb_weight,3,0.1303256734465638,0.23378327660447587,443
0,rgb_std_luminance,rgb_weight,4,0.17514355467185716,0.6537105565325977,442
0,rgb_std_luminance,rgb_weight,5,0.23225759165319382,0.7418831769562415,442
0,rgb_entropy32_normalized,rgb_weight,1,0.3189098409484256,0.07689960090691564,443
0,rgb_entropy32_normalized,rgb_weight,2,0.5814777382609537,0.09735000804571212,443
0,rgb_entropy32_normalized,rgb_weight,3,0.6846778715706302,0.2542350089375106,443
0,rgb_entropy32_normalized,rgb_weight,4,0.7887756999801186,0.6276875000565031,442
0,rgb_entropy32_normalized,rgb_weight,5,0.8830541159232818,0.7465127691019714,442
0,thermal_mean,thermal_weight,1,0.41346952884245675,0.32733542459089787,443
0,thermal_mean,thermal_weight,2,0.48093566951041294,0.5002716736022896,443
0,thermal_mean,thermal_weight,3,0.5244518713542086,0.4903116156778069,443
0,thermal_mean,thermal_weight,4,0.5479187657930192,0.5554019827732808,442
0,thermal_mean,thermal_weight,5,0.5887752496279203,0.4727134864895322,442
0,thermal_std,thermal_weight,1,0.1240975540257469,0.7384340974331979,443
0,thermal_std,thermal_weight,2,0.1533017327365703,0.7395494942202256,443
0,thermal_std,thermal_weight,3,0.18860969048321383,0.6577609675530656,443
0,thermal_std,thermal_weight,4,0.25835493995862846,0.11576759375682379,442
0,thermal_std,thermal_weight,5,0.2834401294521617,0.09267174545254103,442
0,thermal_entropy32_normalized,thermal_weight,1,0.759211252290024,0.745367935764063,443
0,thermal_entropy32_normalized,thermal_weight,2,0.8322122652697509,0.7330469542916688,443
0,thermal_entropy32_normalized,thermal_weight,3,0.8829473757582378,0.6725532517139853,443
0,thermal_entropy32_normalized,thermal_weight,4,0.9461645876390362,0.11178177426573378,442
0,thermal_entropy32_normalized,thermal_weight,5,0.969199533376219,0.08139953988591606,442
0,event_nonzero_fraction,event_weight,1,1.0,0.1811677956150563,443
0,event_nonzero_fraction,event_weight,2,1.0,0.18540015786415298,443
0,event_nonzero_fraction,event_weight,3,1.0,0.1576698296293448,443
0,event_nonzero_fraction,event_weight,4,1.0,0.16575950508878243,442
0,event_nonzero_fraction,event_weight,5,1.0,0.1629337777986246,442
0,event_mean_magnitude,event_weight,1,0.14516080175915366,0.1583845768771376,443
0,event_mean_magnitude,event_weight,2,0.1454258699718501,0.1586100860555608,443
0,event_mean_magnitude,event_weight,3,0.14710517399198045,0.17375380976407306,443
0,event_mean_magnitude,event_weight,4,0.1969012339258086,0.19839002974162814,442
0,event_mean_magnitude,event_weight,5,0.2355672477394747,0.1638683312281764,442
0,event_entropy32_normalized,event_weight,1,0.001983696327644083,0.15836201739365038,443
0,event_entropy32_normalized,event_weight,2,0.005739245382421408,0.15724421807188482,443
0,event_entropy32_normalized,event_weight,3,0.023648499008730627,0.17509125218501748,443
0,event_entropy32_normalized,event_weight,4,0.3280104779010445,0.197159672113835,442
0,event_entropy32_normalized,event_weight,5,0.46792108980239244,0.16514978925297163,442
1,rgb_mean_luminance,rgb_weight,1,0.04245507405570479,0.25034745663202645,443
1,rgb_mean_luminance,rgb_weight,2,0.09466339667952088,0.29458143002023546,443
1,rgb_mean_luminance,rgb_weight,3,0.1606457154045794,0.35864313676717857,443
1,rgb_mean_luminance,rgb_weight,4,0.45683131168061253,0.8632456393263459,442
1,rgb_mean_luminance,rgb_weight,5,0.5232951076052308,0.8713241468997023,442
1,rgb_std_luminance,rgb_weight,1,0.054404405885403365,0.25130890881638496,443
1,rgb_std_luminance,rgb_weight,2,0.09566973835969886,0.29495762587939106,443
1,rgb_std_luminance,rgb_weight,3,0.1303256734465638,0.4144747913152854,443
1,rgb_std_luminance,rgb_weight,4,0.17514355467185716,0.7908586520549938,442
1,rgb_std_luminance,rgb_weight,5,0.23225759165319382,0.8864124892658778,442
1,rgb_entropy32_normalized,rgb_weight,1,0.3189098409484256,0.25063564737682686,443
1,rgb_entropy32_normalized,rgb_weight,2,0.5814777382609537,0.29425296678500035,443
1,rgb_entropy32_normalized,rgb_weight,3,0.6846778715706302,0.43732160915101354,443
1,rgb_entropy32_normalized,rgb_weight,4,0.7887756999801186,0.766121584096106,442
1,rgb_entropy32_normalized,rgb_weight,5,0.8830541159232818,0.8896320877571451,442
1,thermal_mean,thermal_weight,1,0.41346952884245675,0.20743073937356993,443
1,thermal_mean,thermal_weight,2,0.48093566951041294,0.32695881654792225,443
1,thermal_mean,thermal_weight,3,0.5244518713542086,0.31460363869702457,443
1,thermal_mean,thermal_weight,4,0.5479187657930192,0.3500347248050995,442
1,thermal_mean,thermal_weight,5,0.5887752496279203,0.3018766298565626,442
1,thermal_std,thermal_weight,1,0.1240975540257469,0.49525042924332024,443
1,thermal_std,thermal_weight,2,0.1533017327365703,0.4803597035714789,443
1,thermal_std,thermal_weight,3,0.18860969048321383,0.41643548045732065,443
1,thermal_std,thermal_weight,4,0.25835493995862846,0.06366621259161655,442
1,thermal_std,thermal_weight,5,0.2834401294521617,0.04396409803487327,442
1,thermal_entropy32_normalized,thermal_weight,1,0.759211252290024,0.5007463242883876,443
1,thermal_entropy32_normalized,thermal_weight,2,0.8322122652697509,0.47176186811035964,443
1,thermal_entropy32_normalized,thermal_weight,3,0.8829473757582378,0.42843625124051965,443
1,thermal_entropy32_normalized,thermal_weight,4,0.9461645876390362,0.06004170793723905,442
1,thermal_entropy32_normalized,thermal_weight,5,0.969199533376219,0.03866963922172549,442
1,event_nonzero_fraction,event_weight,1,1.0,0.0842293538027033,443
1,event_nonzero_fraction,event_weight,2,1.0,0.09368129067005207,443
1,event_nonzero_fraction,event_weight,3,1.0,0.22061277044680533,443
1,event_nonzero_fraction,event_weight,4,1.0,0.23320872687241612,442
1,event_nonzero_fraction,event_weight,5,1.0,0.23114211081919087,442
1,event_mean_magnitude,event_weight,1,0.14516080175915366,0.2330186674476477,443
1,event_mean_magnitude,event_weight,2,0.1454258699718501,0.23090555678641017,443
1,event_mean_magnitude,event_weight,3,0.14710517399198045,0.22646473055499403,443
1,event_mean_magnitude,event_weight,4,0.1969012339258086,0.11174953627775158,442
1,event_mean_magnitude,event_weight,5,0.2355672477394747,0.060075432268641385,442
1,event_entropy32_normalized,event_weight,1,0.001983696327644083,0.23306553001866653,443
1,event_entropy32_normalized,event_weight,2,0.005739245382421408,0.2308098706111951,443
1,event_entropy32_normalized,event_weight,3,0.023648499008730627,0.22645083399443272,443
1,event_entropy32_normalized,event_weight,4,0.3280104779010445,0.11041636795344935,442
1,event_entropy32_normalized,event_weight,5,0.46792108980239244,0.061471462658526405,442
2,rgb_mean_luminance,rgb_weight,1,0.04245507405570479,0.10640985168869824,443
2,rgb_mean_luminance,rgb_weight,2,0.09466339667952088,0.13793841436606227,443
2,rgb_mean_luminance,rgb_weight,3,0.1606457154045794,0.2067960458670997,443
2,rgb_mean_luminance,rgb_weight,4,0.45683131168061253,0.7191059668274487,442
2,rgb_mean_luminance,rgb_weight,5,0.5232951076052308,0.729607499562777,442
2,rgb_std_luminance,rgb_weight,1,0.054404405885403365,0.10777654848639637,443
2,rgb_std_luminance,rgb_weight,2,0.09566973835969886,0.1390182348830167,443
2,rgb_std_luminance,rgb_weight,3,0.1303256734465638,0.26456698035278925,443
2,rgb_std_luminance,rgb_weight,4,0.17514355467185716,0.6524867202361785,442
2,rgb_std_luminance,rgb_weight,5,0.23225759165319382,0.7358730557749714,442
2,rgb_entropy32_normalized,rgb_weight,1,0.3189098409484256,0.10637442654936362,443
2,rgb_entropy32_normalized,rgb_weight,2,0.5814777382609537,0.13791294976160703,443
2,rgb_entropy32_normalized,rgb_weight,3,0.6846778715706302,0.2897096029051809,443
2,rgb_entropy32_normalized,rgb_weight,4,0.7887756999801186,0.6255182065912501,442
2,rgb_entropy32_normalized,rgb_weight,5,0.8830541159232818,0.7401551430311678,442
2,thermal_mean,thermal_weight,1,0.41346952884245675,0.3238056024734107,443
2,thermal_mean,thermal_weight,2,0.48093566951041294,0.46145410919835284,443
2,thermal_mean,thermal_weight,3,0.5244518713542086,0.44759773553830506,443
2,thermal_mean,thermal_weight,4,0.5479187657930192,0.4948211302854357,442
2,thermal_mean,thermal_weight,5,0.5887752496279203,0.42964365000402494,442
2,thermal_std,thermal_weight,1,0.1240975540257469,0.6525760020547742,443
2,thermal_std,thermal_weight,2,0.1533017327365703,0.6472534425640752,443
2,thermal_std,thermal_weight,3,0.18860969048321383,0.5807111830225647,443
2,thermal_std,thermal_weight,4,0.25835493995862846,0.14954803923642204,442
2,thermal_std,thermal_weight,5,0.2834401294521617,0.1257682140596312,442
2,thermal_entropy32_normalized,thermal_weight,1,0.759211252290024,0.6584935608755116,443
2,thermal_entropy32_normalized,thermal_weight,2,0.8322122652697509,0.6391696414613831,443
2,thermal_entropy32_normalized,thermal_weight,3,0.8829473757582378,0.5945678112469193,443
2,thermal_entropy32_normalized,thermal_weight,4,0.9461645876390362,0.14603722100546457,442
2,thermal_entropy32_normalized,thermal_weight,5,0.969199533376219,0.11756219751121502,442
2,event_nonzero_fraction,event_weight,1,1.0,0.15132026774619556,443
2,event_nonzero_fraction,event_weight,2,1.0,0.15316283331162237,443
2,event_nonzero_fraction,event_weight,3,1.0,0.2074568179471767,443
2,event_nonzero_fraction,event_weight,4,1.0,0.2176916616130199,442
2,event_nonzero_fraction,event_weight,5,1.0,0.21500754939619773,442
2,event_mean_magnitude,event_weight,1,0.14516080175915366,0.2139511041124572,443
2,event_mean_magnitude,event_weight,2,0.1454258699718501,0.2128936980028992,443
2,event_mean_magnitude,event_weight,3,0.14710517399198045,0.21642359105647282,443
2,event_mean_magnitude,event_weight,4,0.1969012339258086,0.16158305051235053,442
2,event_mean_magnitude,event_weight,5,0.2355672477394747,0.13949056308531113,442
2,event_entropy32_normalized,event_weight,1,0.001983696327644083,0.21400022483168013,443
2,event_entropy32_normalized,event_weight,2,0.005739245382421408,0.21169366544579277,443
2,event_entropy32_normalized,event_weight,3,0.023648499008730627,0.2175195837733977,443
2,event_entropy32_normalized,event_weight,4,0.3280104779010445,0.16023149385171778,442
2,event_entropy32_normalized,event_weight,5,0.46792108980239244,0.1408971631183074,442
